1 00:00:24,989 --> 00:00:31,278 主持人 SPEAKER_02：我非常荣幸，能够介绍今天的演讲者。
2 00:00:32,301 --> 00:00:35,165 主持人 SPEAKER_02：杰夫·辛顿来自多伦多大学。
3 00:00:36,106 --> 00:00:45,883 主持人 SPEAKER_02：他于 1970 年毕业于剑桥大学，获得实验心理学学士学位，并于 1978 年毕业于爱丁堡大学，获得人工智能博士学位。
4 00:00:46,353 --> 00:00:51,887 主持人 SPEAKER_02：我们这些位于加拿大边境以南的野蛮人并不太重视血统。
5 00:00:52,750 --> 00:01:00,168 说话人 SPEAKER_02：但作为一名计算机科学家，我不得不注意到，Jeff 是逻辑学家乔治·布尔（George Boole）的曾曾孙。
6 00:01:01,633 --> 00:01:02,454 说话人 SPEAKER_02：非常酷。
7 00:01:02,789 --> 00:01:18,031 说话人 SPEAKER_02：在他的众多成就中，Jeff 与 Terry Sosnowski 共同发明了玻尔兹曼机，并与 Paul Wehrbusch、David Rumelhart 和 Ron Williams 一起引入了反向传播算法来训练多层神经网络。
8 00:01:18,852 --> 00:01:30,028 说话人 SPEAKER_02：他是伦敦大学学院 Gatsby 计算神经科学单元的创始主任，这是世界上研究计算神经科学的一流场所之一。
9 00:01:30,430 --> 00:01:35,719 讲者 SPEAKER_02：他的学生名单上都是机器学习和计算机视觉领域的杰出计算机科学家。
10 00:01:36,480 --> 00:01:48,102 讲者 SPEAKER_02：他们包括里克·塞尔斯基、理查德·泽梅尔、拉达福·尼尔、卡尔·拉斯穆森、布伦丹·弗雷和 EYT，这些研究科学家在我们许多人中都是众所周知的。
11 00:01:48,891 --> 00:01:57,069 讲者 SPEAKER_02：他在 1998 年当选为皇家学会会员，2005 年获得了 IJCAI 研究卓越终身成就奖。
12 00:01:58,513 --> 00:02:08,335 讲者 SPEAKER_02：尽管他获得了众多奖项，并且作为受邀演讲者和论文导师广受欢迎，但他仍然保持着惊人的生产力和创新精神。
13 00:02:09,395 --> 00:02:25,530 讲者 SPEAKER_02：如果你还没有听说过深度信念网络、对比散度、专家乘积、唤醒-睡眠算法、语义哈希，或者其他杰夫的众多发明，那么你可能也不知道 ICML 或 NIPS 是什么。
14 00:02:26,472 --> 00:02:37,403 讲者 SPEAKER_02：回到一月份，Yann LeCun，众多受杰夫影响的计算机科学家之一，发起了一个与机器学习相关的梗，写下了“杰夫·辛顿的事实”。
15 00:02:38,025 --> 00:02:45,752 讲者 SPEAKER_02：这是“杰夫·诺里斯的事实”的类比，我在得知这个之前并不知道。
16 00:02:47,155 --> 00:02:48,977 讲者 SPEAKER_02：所以，这里有一些。
17 00:02:49,076 --> 00:02:51,399 说话人 SPEAKER_02：Jeff Hinton 不需要创建隐藏单元。
18 00:02:51,639 --> 00:02:53,981 说话人 SPEAKER_02：当他靠近时，它们会自行隐藏。
19 00:02:55,008 --> 00:02:58,793 说话人 SPEAKER_02：Jeff Hinton 曾经构建了一个神经网络，在 MNIST 上打败了 Chuck Norris。
20 00:03:01,497 --> 00:03:05,001 说话人 SPEAKER_02：与 Jeff Hinton 的遭遇后，支持向量变得不稳定。
21 00:03:07,645 --> 00:03:11,330 说话人 SPEAKER_02：今天的介绍中，我制作了一个由 Jan 的两个事实组成的混搭。
22 00:03:11,629 --> 00:03:14,493 说话人 SPEAKER_02：它说，永远不要打断 Jeff Hinton 的演讲。
23 00:03:14,794 --> 00:03:16,796 说话人 SPEAKER_02：他会让你后悔不已。
24 00:03:18,463 --> 00:03:22,110 说话人 SPEAKER_02：这真的很不公平，因为 Jeff 是我认识的最甜的人之一。
25 00:03:22,129 --> 00:03:24,394 说话人 SPEAKER_02：他体内没有平均场。
26 00:03:25,395 --> 00:03:31,926 说话人 SPEAKER_02：你们将有充足的机会来测试这一点，因为他将在我们身边度过整个夏天的大部分时间。
27 00:03:32,868 --> 00:03:34,532 说话人 SPEAKER_02：那么，无需多言，杰夫。
28 00:03:41,330 --> 00:03:52,730 说话人 SPEAKER_00：所以今天，我将讨论机器学习中的一个新想法，它也对生物学中的几个主要问题有影响。
29 00:03:53,853 --> 00:04:04,131 说话人 说话人_00：所以，本次演讲的主题将围绕机器学习中的这个新想法展开，但它在一定程度上受到了进化论理论的一些工作的启发。
30 00:04:04,110 --> 00:04:08,375 说话人 说话人_00：我以前研究过这个，但后来放弃了，因为我没有做好实验。
31 00:04:08,935 --> 00:04:11,317 说话人 说话人_00：然后，Dimitri 爸爸来到了多伦多并做了一场演讲。
32 00:04:11,758 --> 00:04:13,019 说话人 说话人_00：我想，那是一个相同的概念。
33 00:04:13,378 --> 00:04:14,800 说话人 说话人_00: 因此我回去做了正确的实验。
34 00:04:14,820 --> 00:04:15,640 说话人 说话人_00: 它确实工作得很好。
35 00:04:18,903 --> 00:04:23,288 说话人 说话人_00: 为了解释进化论中的某个理论，它也解释了神经元如何通信。
36 00:04:24,990 --> 00:04:28,312 说话人 说话人_00: 在进化论中，有关于有性繁殖的问题。
37 00:04:28,872 --> 00:04:33,257 说话人 说话人_00: 问题在于，要既好又合适，你的基因需要协同工作得很好。
38 00:04:33,641 --> 00:04:36,728 说话人 说话人_00: 所以你找到了一组很好的基因，它们相互适应得很好。
39 00:04:37,750 --> 00:04:38,471 说话人 说话人_00: 然后你进行交配。
40 00:04:39,012 --> 00:04:40,156 说话人 说话人_00: 然后一半的基因消失了。
