1 00:00:04,823 --> 00:00:06,466 演讲者 SPEAKER_02：我们的下一位演讲者是 Jeff Hinton。
2 00:00:07,609 --> 00:00:11,076 演讲者 SPEAKER_02：Jeff 是一位科学家，我认为他几乎不需要介绍。
3 00:00:11,237 --> 00:00:18,832 演讲者 SPEAKER_02：他是机器学习领域的绝对支柱，他的贡献比我能够在这里列举的要多。
4 00:00:19,167 --> 00:00:30,682 演讲者 SPEAKER_02：你知道，David 提到了 Jeff 对他的科学生涯产生的深远影响，这也是我想表达的，我想在场的很多人也会这么说。
5 00:00:31,504 --> 00:00:43,521 说话人 SPEAKER_02：事实上，我认为，随着近年来对神经网络兴趣的复苏，以及 Jeff 对在线学习的贡献，他激发了一代机器学习研究者的灵感。
6 00:00:43,500 --> 00:00:49,087 说话人 SPEAKER_02：今天，按照 Jeff 的习惯，我期待他会向我们解释大脑是如何工作的。
7 00:00:51,549 --> 00:00:52,030 说话人 SPEAKER_02：请开始吧，Jeff。
8 00:01:00,479 --> 00:01:03,243 说话人 SPEAKER_01：好的，既然 Ryan 已经沉默了，我猜现在该我说了。
9 00:01:06,245 --> 00:01:08,989 说话人 SPEAKER_01：在开始之前，我想说几句关于大卫的话。
10 00:01:10,811 --> 00:01:11,652 说话人 SPEAKER_01：瑞恩，你能听到我说话吗？
11 00:01:11,671 --> 00:01:12,832 说话人 SPEAKER_01：如果你能听到我说话，请点头。
12 00:01:14,399 --> 00:01:15,260 说话人 SPEAKER_01：好的，很好。
13 00:01:16,941 --> 00:01:19,625 说话人 SPEAKER_01：我第一次在 NIPS 展板上见到 David。
14 00:01:21,406 --> 00:01:26,012 说话人 SPEAKER_01：这个孩子走到展板前看了整整一分钟，然后说，你们为什么不这样呢？
15 00:01:26,591 --> 00:01:28,635 说话人 SPEAKER_01：我当时心想，该死，我们为什么不那样做呢？
16 00:01:29,334 --> 00:01:33,819 说话人 SPEAKER_01：所以我立刻想到，我最好让他来做博士后。
17 00:01:33,960 --> 00:01:36,864 说话人 SPEAKER_01：我试图让他成为博士后，但他说他不喜欢美国。
18 00:01:38,885 --> 00:01:44,371 说话人 SPEAKER_01：然而，他在 20 世纪 90 年代经常访问多伦多。
19 00:01:44,891 --> 00:01:49,698 说话人 SPEAKER_01：当时，我正在研究变分方法，我提出了这个疯狂的 bits-back 论点。
20 00:01:50,159 --> 00:01:53,123 说话人 SPEAKER_01：当我尝试解释 bits-back 论点时，大多数人都会感到困惑。
21 00:01:53,724 --> 00:01:55,668 说话人 SPEAKER_01: 大卫立刻明白了，并且很喜欢。
22 00:01:56,188 --> 00:01:58,572 说话人 SPEAKER_01: 那真是太好了，我们谈论了很多关于变分方法的事情。
23 00:02:00,275 --> 00:02:05,843 说话人 SPEAKER_01: 我最后想说的是，大卫不仅是一位杰出的学者，而且他还是一个有所作为的人。
24 00:02:06,924 --> 00:02:12,132 说话人 SPEAKER_01: 因此，他的书籍以及作为政府首席科学家的实际工作可能帮助拯救了世界。
25 00:02:12,532 --> 00:02:15,256 说话人 SPEAKER_01：你不能对许多学者这样说。
26 00:02:16,456 --> 00:02:17,518 说话人 SPEAKER_01：好的，接下来是演讲。
27 00:02:19,360 --> 00:02:21,722 说话人 SPEAKER_01：我将要谈论与 Timothy Lillicrap 的合作研究。
28 00:02:21,902 --> 00:02:23,824 说话人 SPEAKER_01：我在剑桥已经谈论过一些这方面的内容了。
29 00:02:24,444 --> 00:02:26,848 说话人 SPEAKER_01：最后，我会有些新内容。
30 00:02:28,649 --> 00:02:29,150 说话人 SPEAKER_01：接下来是下一页幻灯片。
31 00:02:31,431 --> 00:02:32,233 说话人 SPEAKER_01：我们能翻到下一页吗？
32 00:02:37,198 --> 00:02:41,021 说话人 SPEAKER_01：好的。
33 00:02:41,423 --> 00:02:46,409 讲者 SPEAKER_01：神经科学家长期以来一直声称反向传播作为皮层的模型是荒谬的。
34 00:02:48,132 --> 00:02:57,044 讲者 SPEAKER_01：我认为他们并没有真正理解早期特征检测器适应的重要性，以便为系统后续部分提供所需的东西。
35 00:02:58,326 --> 00:03:01,131 讲者 SPEAKER_01：他们并没有真正理解这一点在计算上的重要性。
36 00:03:02,573 --> 00:03:07,919 讲者 SPEAKER_01：他们需要理解这一点，因为我们现在知道这种监督学习效果非常好。
37 00:03:08,574 --> 00:03:10,516 说话人 SPEAKER_01：那么我们应该问，他们为什么认为这是不可能的？
38 00:03:10,818 --> 00:03:11,318 说话人 SPEAKER_01：下一页。
39 00:03:18,046 --> 00:03:18,728 说话人 SPEAKER_02：你明白了。
40 00:03:18,747 --> 00:03:21,531 说话人 SPEAKER_01：我认为有四个主要原因。
41 00:03:22,292 --> 00:03:24,455 说话人 SPEAKER_01：首先，没有明显的监督信号来源。
42 00:03:25,336 --> 00:03:30,883 说话人 SPEAKER_01：第二个原因是弗朗西斯·克里克所相信的。
43 00:03:30,923 --> 00:03:34,347 说话人 SPEAKER_01：这是弗朗西斯·克里克认为反向传播荒谬的原因。
44 00:03:34,799 --> 00:03:41,425 说话人 SPEAKER_01：是因为皮层神经元不能传递实值活动，这对于反向传播似乎是必要的。
第三点是，反向传播中的神经元需要将误差导数向后发送，并将检测到的特征信号向前发送。
46 00:03:52,937 --> 00:03:56,300 发言人 SPEAKER_01：因此，神经元的输出需要传达两种信息。
现在很多人说，嗯，我们将有两个不同的神经元来完成这个任务。
48 00:03:59,423 --> 00:04:01,245 发言人 SPEAKER_01：但如果你能用一个神经元做到这一点，那就太好了。
49 00:04:01,832 --> 00:04:09,465 讲者 SPEAKER_01：本次演讲的主要观点是，如果你坚持一种特定的方式来表示误差导数，你可以用一个神经元来完成。
50 00:04:09,485 --> 00:04:22,105 讲者 SPEAKER_01：最后一个问题是，尽管一个皮层区域连接到另一个区域时，总是存在反向连接，但这些反向连接实际上并不是来自发送正向连接的相同神经元，它们的权重也绝对不是对称的。
51 00:04:22,464 --> 00:04:28,654 讲者 SPEAKER_01：所以，如果你打算使用正向矩阵的转置，你不会拥有这种点对点的对称性。
52 00:04:28,675 --> 00:04:29,375 讲者 SPEAKER_01：下一页。
53 00:04:35,194 --> 00:04:35,716 说话人 SPEAKER_01: 下一页。
54 00:04:38,338 --> 00:04:43,244 说话人 SPEAKER_01: 好的，所以有很多可能的监督来源。
55 00:04:43,824 --> 00:04:46,367 说话人 SPEAKER_01: 在 80 年代和 90 年代，我花了很多时间去思考这个问题。
56 00:04:47,608 --> 00:04:51,733 说话人 SPEAKER_01: 显然的一个例子是像自编码器这样的东西，你可以重建当前帧的所有或部分。
57 00:04:52,413 --> 00:04:57,560 说话人 SPEAKER_01：你也可以有一个预测未来的自编码器，也就是说，你尝试重建下一帧。
58 00:04:58,120 --> 00:05:02,225 说话人 SPEAKER_01：这是一种将无监督学习转化为监督学习形式的方法。
59 00:05:03,987 --> 00:05:04,947 说话人 SPEAKER_01：我认为
60 00:05:05,249 --> 00:05:13,742 说话人 SPEAKER_01：大脑皮层可能使用的方法是使局部提取的特征与从局部上下文或另一模态预测的特征相一致。
61 00:05:14,504 --> 00:05:22,216 说话人 SPEAKER_01：所以如果给你展示这个句子，她用平底锅砸了他，这个词“砸了”的上下文能让你感受到它的意思。
62 00:05:22,255 --> 00:05:27,764 说话人 SPEAKER_01：所以在一次试验中，你可以很好地理解“砸了”的意思。
63 00:05:28,285 --> 00:05:32,471 说话人 SPEAKER_01：我的意思是，你有一些不确定性，但可能意味着她用平底锅以某种方式砸了他。
64 00:05:35,658 --> 00:05:36,559 说话人 SPEAKER_01：好的，下一页。
