1 00:00:00,031 --> 00:00:01,552 说话人 SPEAKER_00: 我叫艾伦·伯恩斯坦。
2 00:00:02,535 --> 00:00:12,228 说话人 SPEAKER_00: 我是 CIFAR 的董事长兼首席执行官，今晚我有幸欢迎各位参加 CIFAR 年度晚宴。
3 00:00:13,109 --> 00:00:23,304 说话人 SPEAKER_00: 我想花一点时间来认识一位今晚与我们同在的重要人物，即尊敬的伊丽莎白·道斯威尔女士，安大略省副省长。
4 00:00:28,667 --> 00:00:40,487 说话人 SPEAKER_00: 她是一位真正的科学朋友，在其职业生涯中一直强烈倡导科学与科学政策以及公共政策之间联系的重要性。
5 00:00:40,948 --> 00:00:43,652 主持人：再次感谢您加入我们，尊敬的法官。
6 00:00:44,234 --> 00:00:47,799 主持人：每次和您在一起都感到非常高兴，您随时欢迎。
7 00:00:48,481 --> 00:00:50,143 主持人：您把它当作一个公开的邀请。
8 00:00:50,444 --> 00:00:53,950 主持人：只要告诉我，您随时欢迎参加 CFAR 活动。
9 00:00:53,929 --> 00:01:01,057 说话人 说话人_00: 我也想花一点时间来感谢今晚与我们同在的董事会成员。
10 00:01:01,777 --> 00:01:03,899 说话人 说话人_00: CFAR 董事会主席，Barb Stamets。
11 00:01:04,480 --> 00:01:06,623 说话人 说话人_00: 我不知道你们都在哪里，所以请原谅我。
12 00:01:08,584 --> 00:01:10,867 说话人 说话人_00: 哦，原来在这里。
13 00:01:10,887 --> 00:01:12,388 说话人 说话人_00：副主席，布鲁斯·米切尔。
14 00:01:15,430 --> 00:01:19,194 说话人 说话人_00：在我左边，前任主席，大卫·多德。
15 00:01:19,359 --> 00:01:19,921 说话人 说话人_00：大卫在哪里？
16 00:01:20,141 --> 00:01:20,561 说话人 说话人_00：在那里呢。
17 00:01:22,944 --> 00:01:24,367 说话人 说话人_00：导演斯蒂芬·利斯特。
18 00:01:24,387 --> 00:01:25,507 说话人 说话人_00：我看到斯蒂芬正坐着。
19 00:01:25,647 --> 00:01:30,194 说话人 说话人_00：还有那里的帕特·梅里迪斯。
20 00:01:30,213 --> 00:01:36,722 说话人 说话人_00：CIFAR 的董事会，作为 CEO，我有幸拥有如此出色的董事会。
21 00:01:36,822 --> 00:01:48,337 说话人 SPEAKER_00：他们慷慨地贡献了他们的时间、智慧和建议，以帮助确保 CIFAR 能够履行我们的使命，我们的使命是
22 00:01:50,409 --> 00:01:58,180 说话人 SPEAKER_00：我想我刚刚弄糟了幻灯片，推进者 Jeff，对不起，为了对研究做出战略性和变革性的贡献。
23 00:01:59,903 --> 00:02:04,049 说话人 SPEAKER_00：我们生活在一个需要像 CIFAR 这样的组织比以往任何时候都更加需要的时代。
24 00:02:04,531 --> 00:02:17,969 说话人 SPEAKER_00：今天，从气候变化、我们今天众所周知的难民危机、恐怖主义、社会包容性、经济发展等方面来看，机遇和挑战的复杂性和规模
25 00:02:17,949 --> 00:02:36,701 讲者：儿童和大脑发育、我们海洋的健康、疾病的分子基础，所有这些以及更多都需要全世界最优秀研究者的共同努力，无论他们来自哪个国家，属于哪个机构，在哪个学院，在哪个系，
26 00:02:36,681 --> 00:02:39,247 讲者：还是他们所从事的学科。
27 00:02:39,266 --> 00:02:43,955 讲者：这正是 CIFAR 过去 30 年所做的事情。
