1 00:00:01,786 --> 00:00:05,562 主持人：欢迎，Jeff，感谢您接受 deeplearning.ai 的采访。
2 00:00:07,451 --> 00:00:09,079 主持人：感谢您的邀请。
3 00:00:09,311 --> 00:00:38,137 主持人：我认为在这个世界上，您比任何人都更多地发明了深度学习背后的许多想法，很多人称您为深度学习的教父，尽管直到我们几分钟前的聊天中我才意识到，您是第一个这样称呼您的人，我很高兴能这样做，但我想要问的是，很多人知道您是一位传奇人物，我想了解您作为传奇背后的个人故事。
4 00:00:38,118 --> 00:00:44,689 主持人：那么，您是如何涉足人工智能、机器学习和神经网络的，可以追溯到很久以前吗？
5 00:00:46,051 --> 00:00:51,279 说话人 SPEAKER_02：所以我上高中时，有一个同学在所有事情上都比我做得更好。
6 00:00:52,540 --> 00:00:53,823 说话人 SPEAKER_02：他是一位杰出的数学家。
7 00:00:54,704 --> 00:01:00,154 说话人 SPEAKER_02：有一天他来到学校，说，你知道吗，大脑使用全息图？
8 00:01:01,676 --> 00:01:05,221 说话人 SPEAKER_02：我想那是在 1966 年左右。
9 00:01:05,826 --> 00:01:07,368 说话人 SPEAKER_02：我说，嗯，什么是全息图？
10 00:01:07,388 --> 00:01:12,275 说话人 SPEAKER_02：他解释说，在全息图中，你砍掉一半，仍然能看到整个画面。
11 00:01:13,036 --> 00:01:15,840 说话人 SPEAKER_02：大脑中的记忆可能分布在整个大脑中。
12 00:01:16,680 --> 00:01:24,852 说话人 SPEAKER_02：我想他可能阅读过 Lashley 的实验，其中你砍掉老鼠大脑的一部分，发现很难找到存储特定记忆的一个特定部分。
13 00:01:27,975 --> 00:01:32,120 说话人 SPEAKER_02：这就是最初让我对大脑如何存储记忆产生兴趣的原因。
14 00:01:33,367 --> 00:01:38,493 说话人 SPEAKER_02：然后我上大学，最初学习生理学和物理学。
15 00:01:39,655 --> 00:01:43,379 说话人 SPEAKER_02：我想我在剑桥的时候，是唯一一个同时学习生理学和物理学的本科生。
16 00:01:44,260 --> 00:01:52,191 说话人 SPEAKER_02：然后我放弃了这个想法，尝试学习哲学，因为我认为这可能会给我带来更多的洞察力。
17 00:01:52,432 --> 00:01:59,540 说话人 SPEAKER_02：但实际上我觉得他们在说谎时缺乏区分方式。
18 00:02:00,581 --> 00:02:02,665 说话人 SPEAKER_02：所以我转到了心理学。
19 00:02:03,269 --> 00:02:08,094 说话人 SPEAKER_02：在心理学中，他们有非常简单的理论。
20 00:02:08,515 --> 00:02:12,099 说话人 SPEAKER_02：在我看来，这些理论对于解释大脑的工作是极其不充分的。
21 00:02:12,860 --> 00:02:14,824 说话人 SPEAKER_02：然后我休息了一段时间，成为了一名木匠。
22 00:02:15,664 --> 00:02:18,027 说话人 SPEAKER_02：然后我决定尝试人工智能。
23 00:02:18,628 --> 00:02:21,992 说话人 SPEAKER_02：然后我去了爱丁堡，和 Longit Higgins 一起学习人工智能。
24 00:02:22,854 --> 00:02:24,977 说话人 SPEAKER_02：他在神经网络方面做了很多出色的工作。
25 00:02:25,418 --> 00:02:30,424 说话人 SPEAKER_02：他已经放弃了神经网络，并对 Winograd 的论文印象深刻。
26 00:02:30,961 --> 00:02:36,828 说话人 SPEAKER_02：所以我到的时候，他认为我正在做这种过时的东西，我应该开始做符号 AI。
27 00:02:37,449 --> 00:02:40,592 说话人 SPEAKER_02：我们为此争论了很多，但我一直坚持自己的信念。
28 00:02:41,413 --> 00:02:42,254 说话人 SPEAKER_02：然后呢？
29 00:02:43,516 --> 00:02:49,463 说话人 SPEAKER_02：我最终获得了人工智能的博士学位，然后在英国找不到工作。
30 00:02:51,507 --> 00:02:56,152 说话人 SPEAKER_02：但我看到了加州斯隆奖学金的一个非常好的广告。
31 00:02:57,593 --> 00:02:58,975 说话人 SPEAKER_02：我设法得到了其中一个。
32 00:02:59,377 --> 00:03:00,478 说话人 SPEAKER_02：然后我去了加州。
33 00:03:00,762 --> 00:03:02,223 说话人 SPEAKER_02：在那里，一切都不同了。
34 00:03:04,106 --> 00:03:09,253 说话人 SPEAKER_02：在英国，神经网络被认为有点愚蠢。
35 00:03:09,294 --> 00:03:19,870 说话人 SPEAKER_02：而在加利福尼亚，Don Norman 和 David Ronald Hart 对神经网络的想法非常开放。
36 00:03:19,930 --> 00:03:26,179 说话人 SPEAKER_02：这是我第一次去一个地方，那里的人们在思考大脑是如何工作的，以及这如何可能与心理学相关。
37 00:03:26,479 --> 00:03:28,542 说话人 SPEAKER_02：被视为一件非常积极的事情。
38 00:03:28,902 --> 00:03:30,304 说话人 SPEAKER_02：在那里有很多乐趣。
39 00:03:30,324 --> 00:03:32,646 说话人 SPEAKER_02：特别是与 David Rommelhardt 合作很棒。
40 00:03:33,106 --> 00:03:33,427 说话人 SPEAKER_02：我明白了。
41 00:03:33,448 --> 00:03:33,647 说话人 说话人_00: 对。
42 00:03:33,728 --> 00:03:42,997 所以这是你还在加州大学圣地亚哥分校的时候，你和 Rommelhardt，大约在 1982 年，完成了那篇开创性的背景论文，对吧？
43 00:03:43,337 --> 00:03:45,520 说话人 说话人_: 实际上，情况比这更复杂。
44 00:03:46,801 --> 00:03:48,343 说话人 说话人_02: 发生了什么？
45 00:03:48,364 --> 00:03:55,812 说话人 SPEAKER_02：我想，在 1982 年初，大卫·罗梅尔哈特和我
46 00:03:56,197 --> 00:04:02,227 说话人 SPEAKER_02：还有罗恩·威廉姆斯，我们俩共同开发了反向传播算法。
47 00:04:02,426 --> 00:04:04,550 说话人 SPEAKER_02：这主要是大卫·鲁梅尔哈特的想法。
48 00:04:05,772 --> 00:04:08,796 说话人 SPEAKER_02：后来我们发现，还有很多人已经发明了它。
49 00:04:09,558 --> 00:04:14,646 说话人 SPEAKER_02：大卫·帕克发明了它，可能在我们之后，但在我们发表之前。
50 00:04:16,290 --> 00:04:21,478 说话人 SPEAKER_02：保罗·韦伯斯多年前就已经发表了，但没有人过多关注。
51 00:04:22,031 --> 00:04:25,357 说话人 SPEAKER_02：还有其他人开发了非常类似的算法。
52 00:04:25,416 --> 00:04:30,985 说话人 SPEAKER_02：反向传播的含义并不明确，但使用链式法则来获取导数并不是一个新颖的想法。
