1 00:00:01,415 --> 00:00:04,479 主持人 主持人_00：请欢迎杰弗里·辛顿和凯德·梅茨。
2 00:00:09,625 --> 00:00:25,126 主持人 主持人_01：与所有走上舞台的其他人不同，我们将保持站立，但这是有原因的。
3 00:00:25,512 --> 00:00:35,182 主持人 主持人_01：由于背部问题，杰弗里·辛顿最后一次坐下是在2005年6月，他说那是一个错误。
4 00:00:36,685 --> 00:00:38,546 主持人 主持人_01：所以今天我们不会犯同样的错误。
5 00:00:38,587 --> 00:00:39,328 说话人 SPEAKER_01：我们要站起来。
6 00:00:40,348 --> 00:00:51,942 说话人 SPEAKER_01：而且，今天我们讨论的几乎所有内容，我认为并不夸张，都可以追溯到杰夫的工作。
7 00:00:52,462 --> 00:01:06,917 说话人 SPEAKER_01：他并没有发明神经网络，但早在 80 年代，他所进行的研究对这一技术的演变至关重要，现在它正在重新发明图像识别、语音识别和语言翻译。
8 00:01:08,838 --> 00:01:12,582 说话人 SPEAKER_01：这正是过去五年所发生的事情。
9 00:01:13,504 --> 00:01:20,611 说话人 SPEAKER_01: 但因为我们把你请到这里，也许你可以向观众解释一下，因为我认为这有助于我们接下来讨论的方向，
10 00:01:20,828 --> 00:01:22,450 说话人 SPEAKER_01: 什么是神经网络。
11 00:01:24,052 --> 00:01:24,472 说话人 SPEAKER_00: 好的。
12 00:01:25,834 --> 00:01:31,082 说话人 SPEAKER_00: 大家都知道神经网络是如何工作的，但大家对此的了解程度各不相同。
13 00:01:32,004 --> 00:01:34,186 说话人 SPEAKER_00: 所以如果你知道，就关掉你的耳朵。
14 00:01:34,908 --> 00:01:40,536 说话人 SPEAKER_00: 神经网络基本上是一个你可以向它展示输入的系统。
15 00:01:42,058 --> 00:01:46,584 说话人 SPEAKER_00: 在这个系统中，有很多类似脑细胞的小过程。
16 00:01:47,206 --> 00:01:48,548 说话人 SPEAKER_00: 它们的工作方式有点像脑细胞。
17 00:01:48,947 --> 00:01:50,751 说话人 SPEAKER_00: 它们之间有联系。
18 00:01:51,018 --> 00:01:53,180 说话人 SPEAKER_00: 你会学习这些联系上的权重。
19 00:01:54,724 --> 00:01:58,790 说话人 SPEAKER_00: 通过改变联系上的权重，你改变了系统会给出的输出。
20 00:01:59,932 --> 00:02:03,296 说话人 SPEAKER_00: 所以神经网络的基本问题是我给你一个输入。
21 00:02:03,918 --> 00:02:05,962 说话人 SPEAKER_00: 我给你展示你应该产生的输出。
22 00:02:06,582 --> 00:02:10,549 说话人 SPEAKER_00: 神经网络需要找出如何改变所有这些连接强度。
23 00:02:10,568 --> 00:02:15,877 说话人 SPEAKER_00: 这有一个明显的算法来做这件事，就是你随机改变一个，看看它是否变得更好。
24 00:02:16,478 --> 00:02:17,699 说话人 SPEAKER_00: 这非常低效。
25 00:02:18,844 --> 00:02:28,475 说话者 SPEAKER_00：有一种稍微不那么明显的算法，就是你观察当前连接强度下输出的结果和你希望得到的结果之间的差异。
26 00:02:29,037 --> 00:02:34,842 说话者 SPEAKER_00：然后你进行一些微积分运算，确定对于每一个连接强度，应该如何调整它，以使输出更接近你想要的。
27 00:02:35,484 --> 00:02:38,608 说话者 SPEAKER_00：然后你稍微调整所有连接强度，以使输出更好。
28 00:02:39,108 --> 00:02:43,332 说话者 SPEAKER_00：你只需对成千上万或数百万个例子这样做。
29 00:02:43,752 --> 00:02:45,774 说话人 SPEAKER_00：你可能认为它会陷入困境，但它不会。
30 00:02:46,936 --> 00:02:49,397 说话人 SPEAKER_00：最终它会陷入困境，但最终它会陷入一个好的解决方案中。
31 00:02:50,199 --> 00:02:56,526 说话人 SPEAKER_00：对于传统人工智能中的人来说，认为这些事情永远不会成功是完全可以理解的。
32 00:02:57,347 --> 00:03:01,230 说话人 SPEAKER_00：但结果是我们获得了大数据集和大型计算机，它们工作得非常出色。
33 00:03:02,652 --> 00:03:09,681 主持人：为了让我们了解您目前的工作，请具体描述一下我们目前是如何进行图像识别的。
34 00:03:09,841 --> 00:03:11,682 主持人：您使用了不同的神经网络技术。
35 00:03:12,051 --> 00:03:13,334 主持人：用于不同的任务。
36 00:03:13,354 --> 00:03:18,423 主持人：那么，请描述一下我们今天用于图像识别的方法。
37 00:03:18,502 --> 00:03:21,247 说话人 SPEAKER_00: 好吧，我将以一种不寻常的方式描述。
38 00:03:21,307 --> 00:03:27,399 说话人 SPEAKER_00: 对于图像识别，我们使用一种叫做卷积神经网络的东西。
39 00:03:28,721 --> 00:03:34,431 说话人 SPEAKER_00: 我将描述一个不用于图像识别的卷积网络，因为它很容易理解。
40 00:03:35,237 --> 00:03:49,336 说话人 SPEAKER_00: 这是一种由多伦多大学的 David Duvenoe 教授等人开发出的网络。假设你有一个分子，你想预测它的性质。
41 00:03:49,757 --> 00:03:51,360 说话人 说话人_00: 我只给你分子结构。
42 00:03:51,379 --> 00:03:53,042 说话人 说话人_00: 我只给你原子链。
43 00:03:53,883 --> 00:03:57,106 说话人 说话人_00: 假设你有一个碳和一个碳和一个氮和一个氧。
44 00:03:58,229 --> 00:04:02,814 说话人 说话人_00: 所以我们将有一个第一层描述，就是我刚才给出的，这是在每个原子。
45 00:04:03,335 --> 00:04:05,118 说话人 SPEAKER_00: 我可以告诉你那个原子的信息。
46 00:04:05,800 --> 00:04:07,122 说话人 SPEAKER_00: 那就是第一层特征。
47 00:04:08,063 --> 00:04:14,657 说话人 SPEAKER_00: 也许我会用一串数字而不是一个词来告诉你，但这串数字是针对那个原子的特定数字。
48 00:04:14,676 --> 00:04:19,487 说话人 SPEAKER_00: 在下一层，我对那个原子的描述更加丰富。
49 00:04:19,720 --> 00:04:26,007 说话者 说话者_00：我的更详细的描述是一系列数字，这些数字不仅告诉我那个原子的信息，还告诉我它的邻居是什么。
50 00:04:26,908 --> 00:04:33,495 说话者 说话者_00：所以在更高一级的水平上，我有一系列数字，表明这是一个碳原子，一边是一个碳原子，另一边是一个氮原子。
51 00:04:34,235 --> 00:04:37,779 说话者 说话者_00：我还说在氮原子上，这是一个氮原子，一边是一个碳原子，另一边是一个氧原子。
52 00:04:38,841 --> 00:04:48,192 说话者 说话者_00：然后在更高一级的水平上，我得到这是一个碳原子，它的一边是一个带有氧原子的氮原子，以此类推。
53 00:04:49,083 --> 00:04:59,495 说话人 说话人_00：当你达到相当高的水平时，你会有一个包含大量数字的大向量，它实际上能告诉你很多关于那个原子的信息，因为它逐渐将上下文信息融入对那个原子的描述中。
54 00:05:00,557 --> 00:05:03,319 说话人 说话人_00：好的，现在让我们转向用于视觉的卷积神经网络。
55 00:05:04,281 --> 00:05:07,805 说话人 说话人_00：你开始，我会简化，但这正是这个想法的本质。
56 00:05:08,545 --> 00:05:10,267 说话人 说话人_00：你从像素网格开始。
57 00:05:10,848 --> 00:05:13,572 说话人 SPEAKER_00: 你所知道的就是这些像素的 RGB 值。
58 00:05:14,310 --> 00:05:17,233 说话人 SPEAKER_00: 这就是像素的底层描述。
59 00:05:17,254 --> 00:05:27,444 说话人 SPEAKER_00: 然后，我将得到一个更丰富的像素描述，可能会说，这是一个具有这些 RGB 值的像素，但它这一侧有更亮的像素，另一侧有更暗的像素。
60 00:05:27,463 --> 00:05:30,766 说话人 SPEAKER_00: 至少在红通道中是这样，但在绿通道中，它有更亮的像素，等等。
61 00:05:31,307 --> 00:05:36,211 说话人 SPEAKER_00：因此，您可以得到关于该像素周围像素的描述。
62 00:05:36,733 --> 00:05:40,976 说话人 SPEAKER_00：您正在获取上下文信息并将其放入该像素的描述中。
63 00:05:41,834 --> 00:05:47,423 说话人 SPEAKER_00：然后您进入下一个层次，此时邻居已经从他们的邻居那里获得了一些上下文信息。
64 00:05:47,944 --> 00:05:49,086 说话人 SPEAKER_00：然后您将这个信息加入其中。
65 00:05:49,125 --> 00:06:04,490 说话者 说话者_00: 因此，你将得到越来越丰富的描述，描述每个像素中发生的事情，它逐渐吸收周围环境中的更多信息，经过几层或现在可能经过100层后，你将得到每个像素的非常丰富的描述。
66 00:06:04,730 --> 00:06:08,836 说话者 说话者_00: 从那个描述中，你可以开始猜测图像中的物体。
67 00:06:10,267 --> 00:06:13,151 说话者 说话者_01: 话虽如此，现在这种方法效果相当不错。
68 00:06:13,230 --> 00:06:22,279 说话者 说话者_01: 现在我们有了计算能力和数据，在某些衡量标准下，在识别照片中的物体时，例如，比人类做得更好。
69 00:06:22,300 --> 00:06:26,884 讲者 SPEAKER_01: 但你现在已公开表示这是有缺陷的，确实如此。
70 00:06:27,786 --> 00:06:28,807 讲者 SPEAKER_01: 为什么它是有缺陷的？
71 00:06:28,826 --> 00:06:32,370 讲者 SPEAKER_01: 这个概念的限制是什么？
72 00:06:32,389 --> 00:06:33,190 讲者 SPEAKER_00: 好的。
73 00:06:33,211 --> 00:06:37,035 说话人 说话人_00：很久以前，我曾是位心理学家。
74 00:06:37,095 --> 00:06:40,257 说话人 说话人_00：我对心理意象非常感兴趣。
75 00:06:41,420 --> 00:06:45,064 说话人 说话人_00：我提出了一些关于人们进行心理意象时发生什么的理论。
76 00:06:46,365 --> 00:06:58,156 说话人 说话人_00：很明显，当一个人理解一个形状时，他们是通过建立一个坐标系并理解形状的各个部分相对于坐标系的位置来做到这一点的。
77 00:07:00,240 --> 00:07:05,384 说话人 说话人_00：例如，如果我们拿一个字母 H，如果我采用一个垂直坐标系，
78 00:07:05,483 --> 00:07:17,562 说话人 说话人_00：这是一个大写字母 H。如果我旋转我的坐标系，相信 H 的位置没有变，这样从上方看，这是一个顶部和底部都有较大横杠的大写字母 I。
79 00:07:18,043 --> 00:07:21,608 说话人 说话人_00：所以当我改变坐标系时，它改变了形状的属性。
80 00:07:22,970 --> 00:07:24,413 说话人 说话人_00：现在，卷积神经网络无法做到这一点。
81 00:07:24,492 --> 00:07:33,567 说话人 说话人_00：这是一种卷积 MET，你给它展示一些东西，它进行一些处理，并且不会根据它选择的坐标系得到不同的表示。
82 00:07:34,254 --> 00:07:40,526 说话人 说话人_00：为了展示这种现象有多么强烈，我将向您展示一个三维拼图。
83 00:07:42,370 --> 00:07:48,903 说话人 说话人_00：而这个三维拼图，只有两块拼图。
84 00:07:49,043 --> 00:07:50,846 说话人 说话人_00：而且这些拼图并不复杂。
85 00:07:51,988 --> 00:07:54,372 说话人 SPEAKER_00: 你需要把它们放在一起组成一个四面体。
86 00:07:55,636 --> 00:08:02,646 说话人 SPEAKER_00: 以免你说你不知道什么是四面体，大多数金字塔都有正方形底座，就像埃及金字塔一样。
87 00:08:03,288 --> 00:08:05,411 说话人 SPEAKER_00: 想象一个底座是三角形的金字塔。
88 00:08:05,432 --> 00:08:08,896 说话人 SPEAKER_00: 所以它的底座是三角形，它的侧面也是三角形。
89 00:08:09,358 --> 00:08:11,240 说话者 说话者_00：它有三个三角形面和一个底面。
90 00:08:11,762 --> 00:08:12,862 说话者 说话者_00：并且它顶部有一个尖角。
91 00:08:13,504 --> 00:08:15,427 说话者 说话者_00：这就是你思考四面体的方式。
92 00:08:16,369 --> 00:08:21,997 说话者 说话者_00：所以你使用一个坐标系，其中有一个垂直向上的轴指向顶点。
93 00:08:22,314 --> 00:08:27,120 说话人 说话人_00: 然后在另一个轴上，你必须做出一些决定，关于你要把那些轴放在哪个方向。
94 00:08:27,721 --> 00:08:28,884 说话人 说话人_00: 但是你确实做出了那个决定。
95 00:08:29,464 --> 00:08:31,507 说话人 说话人_00: 你会看到那样一个四面体。
96 00:08:33,149 --> 00:08:42,682 说话人 说话人_00: 如果我给你两块，每块都是四面体的一半，会发生一件令人难以置信的事情，那就是你无法拼成四面体。
97 00:08:42,701 --> 00:08:45,164 说话人 SPEAKER_00: 我把它给了 Cade Metz。
98 00:08:45,706 --> 00:08:48,109 说话人 SPEAKER_00: 他花了一两分钟试图拼成四面体，但做不到。
99 00:08:48,690 --> 00:08:50,111 说话人 SPEAKER_00: 他完全正常。
100 00:08:51,913 --> 00:08:57,000 说话人 SPEAKER_00: 偶尔会遇到一些特别烦人的人，他们立刻就能做到。
101 00:08:58,143 --> 00:09:02,368 说话人 SPEAKER_00: 一个特别烦人的家伙是约翰·吉安德里亚，他是谷歌的高级副总裁。
102 00:09:02,769 --> 00:09:05,552 说话人 SPEAKER_00: 我在向他解释这件事，并展示这个别人都做不到的巧妙技巧。
103 00:09:05,572 --> 00:09:07,335 说话人 SPEAKER_00: 他问，哦，问题是什么？
104 00:09:07,355 --> 00:09:11,200 说话人 SPEAKER_00: 太烦人了。
105 00:09:11,220 --> 00:09:12,743 说话人 说话人_00：我现在将向您展示这两件东西。
106 00:09:16,408 --> 00:09:17,149 说话人 说话人_00：这是这两件东西。
107 00:09:17,188 --> 00:09:17,769 说话人 说话人_00：它们是一样的。
108 00:09:17,809 --> 00:09:21,094 说话人 说话人_00：您可能已经看到了它们的样子。
109 00:09:21,664 --> 00:09:23,087 说话人 说话人_00：这些非常简单，它们是相同的。
