1 00:00:02,561 --> 00:00:06,495 说话人 SPEAKER_03: 这是杰夫·辛顿。
2 00:00:07,378 --> 00:00:12,977 说话人 SPEAKER_03: 由于背部疾病，他已经 12 年多不能长时间坐着。
3 00:00:14,137 --> 00:00:14,958 说话人 SPEAKER_02: 我讨厌站着。
4 00:00:15,019 --> 00:00:17,382 说话人 SPEAKER_02: 我更愿意坐着，但如果我坐着，我的椎间盘就会突出。
5 00:00:18,402 --> 00:00:18,643 说话人 SPEAKER_02: 好吧。
6 00:00:19,123 --> 00:00:21,507 说话人 SPEAKER_03: 至少现在站立式办公桌很时尚。
7 00:00:21,527 --> 00:00:22,687 说话人 SPEAKER_03: 是的，但我已经领先了。
8 00:00:23,489 --> 00:00:25,911 说话人 SPEAKER_03: 当它们还不时尚的时候，我就已经开始站了。
9 00:00:27,814 --> 00:00:33,140 说话人 SPEAKER_03：由于他不能坐在车里或公交车上，Hinton 总是步行。
10 00:00:39,628 --> 00:00:42,491 说话人 SPEAKER_03：这种步行方式充分展现了 Hinton 和他的决心。
11 00:00:43,146 --> 00:00:55,420 说话人 SPEAKER_03：近 40 年来，Hinton 一直在尝试让计算机像人类一样学习，这个几乎所有人都认为疯狂或至少无望的追求，直到它彻底改变了这个领域。
12 00:00:56,881 --> 00:00:58,743 说话人 SPEAKER_02：谷歌认为这是公司的未来。
13 00:00:58,765 --> 00:01:00,326 说话人 SPEAKER_02: 亚马逊认为这是公司的未来。
14 00:01:00,807 --> 00:01:02,128 说话人 SPEAKER_02: 苹果认为这是公司的未来。
15 00:01:02,609 --> 00:01:06,072 说话人 SPEAKER_02: 我自己的部门认为这些可能都是胡说，我们不应该再继续这样做。
16 00:01:09,195 --> 00:01:12,579 说话人 SPEAKER_02: 所以我让所有人都同意了，除了我自己的部门。
17 00:01:19,765 --> 00:01:27,096 说话人 SPEAKER_03：你显然在英国长大，你有一个充满著名数学家和经济学家的非常显赫的家庭。
18 00:01:27,177 --> 00:01:29,421 说话人 SPEAKER_03：我很想知道那对你来说是什么样的。
19 00:01:29,460 --> 00:01:31,364 说话人 SPEAKER_02：是的，压力很大。
20 00:01:32,745 --> 00:01:36,552 说话人 SPEAKER_02：我想在我大约七岁的时候，我就意识到我必须获得博士学位。
21 00:01:38,656 --> 00:01:41,260 说话人 SPEAKER_03: 你反抗过那个，还是随波逐流了？
22 00:01:41,280 --> 00:01:42,602 说话人 SPEAKER_02: 我时不时地辍学。
23 00:01:42,843 --> 00:01:44,305 说话人 SPEAKER_02: 我曾经当过一段时间的木匠。
