1 00:00:00,858 --> 00:00:03,944 说话人 SPEAKER_00: 好的，我说过要谈论智能的本质。
2 00:00:07,812 --> 00:00:08,955 说话人 SPEAKER_00: 我做了一张幻灯片。
3 00:00:10,439 --> 00:00:13,044 说话人 SPEAKER_00: 智能有两种范式。
4 00:00:13,505 --> 00:00:16,992 说话人 SPEAKER_00: 有基于逻辑的范式，
5 00:00:17,496 --> 00:00:25,695 说话人 SPEAKER_00：在你的头脑中，你有符号表达式和推理规则，你使用推理规则操作符号表达式，从而得到新的符号表达式。
6 00:00:26,236 --> 00:00:27,778 说话人 SPEAKER_00：这就是思考的工作方式。
7 00:00:27,798 --> 00:00:31,347 说话人 SPEAKER_00：然后是生物范式，其中存在大型的神经网络活动模式。
8 00:00:35,655 --> 00:00:38,121 说话人 SPEAKER_00：它们直接导致其他大型神经网络活动模式。
9 00:00:41,728 --> 00:00:45,154 说话人 SPEAKER_00: 很明显，这些范例中哪一个是正确的。
10 00:00:46,195 --> 00:00:53,386 说话人 SPEAKER_00: 然后我工作中的某个人向我解释说，杰夫，30 岁以下的人对第一个范例不感兴趣。
11 00:00:53,405 --> 00:00:54,487 说话人 SPEAKER_00: 所以这场演讲是白费力气。
12 00:00:54,508 --> 00:01:01,457 说话人 SPEAKER_00: 因此我决定再进行一场演讲。
13 00:01:01,478 --> 00:01:08,108 说话人 SPEAKER_00: 我将讨论适应不同时间尺度的相互作用
14 00:01:08,459 --> 00:01:09,902 说话人 SPEAKER_00: 在生物学中这种情况很常见。
15 00:01:10,362 --> 00:01:12,347 说话人 SPEAKER_00: 在神经网络中这种情况并不多见。
16 00:01:12,367 --> 00:01:17,078 说话人 SPEAKER_00: 所以在大多数神经网络中，我们都有神经活动，也有权重。
17 00:01:17,920 --> 00:01:20,165 说话人 SPEAKER_00：神经活动变化迅速，权重变化缓慢。
18 00:01:20,185 --> 00:01:23,531 说话人 SPEAKER_00：基本上就是这样。
19 00:01:23,512 --> 00:01:40,052 说话人 SPEAKER_00：在生物学中，我们有很多不同时间尺度的适应，我可以给你举几个例子，并展示生物学中反复出现的一个基本原理，那就是在快速时间尺度上的适应可以使慢速时间尺度上的适应工作得更好、更快。
20 00:01:42,896 --> 00:01:48,823 说话人 SPEAKER_00：所以我将要讨论的第一个例子是如何让进化过程变得更快。
21 00:01:48,843 --> 00:01:49,704 说话人 说话人_00：下一个例子。
22 00:01:50,512 --> 00:01:58,284 说话人 说话人_00：下一个例子是当你阅读东西时如何更快地使反馈平均。
23 00:01:58,304 --> 00:02:00,766 说话人 说话人_00：我将在最后进行推测。
24 00:02:04,091 --> 00:02:10,320 说话人 说话人_00：所以人们认为进化很慢，其实确实如此。
25 00:02:11,163 --> 00:02:14,948 说话人 说话人_00：人们常常认为解释大脑为什么进化得如此之快太慢了。
26 00:02:15,909 --> 00:02:18,813 说话人 说话人_00：如果你只是做直接的进化，我认为可能确实是这样的。
27 00:02:19,586 --> 00:02:28,062 说话人 说话人_00：但我向你展示的是，如果你有一个会学习的生物体，它的脑部可以比不会学习的生物体进化得更快。
28 00:02:28,342 --> 00:02:37,819 说话人 说话人_00：我所说的进化得更快是指由于学习，关于大脑结构的知识可以进入指定大脑发育的 DNA 中。
29 00:02:38,401 --> 00:02:42,608 说话人 说话人_00：这听起来很了不起，但我向你展示这是可以用一种新颖的方式做到的。
30 00:02:44,596 --> 00:02:47,751 说话人 说话人_00：所以我会用一个非常简单的尝试所有方法来做这件事。
31 00:02:47,771 --> 00:02:49,419 说话人 说话人_00：尤其是在一个生物体上。
32 00:02:49,439 --> 00:02:51,770 说话人 说话人_00：而这个生物体包含着令人惊奇的东西。
33 00:02:52,526 --> 00:02:54,469 说话人 说话人_00：配对电路中有20个开关。
34 00:02:55,131 --> 00:03:03,423 说话人 说话人_00：如果你将其中10个设置为大的，如果你打开右手端并关闭另一端，那么它将非常有效地配对，会有很多后代。
35 00:03:04,305 --> 00:03:05,026 说话人 说话人_00：如果不这样做，就不会。
36 00:03:05,986 --> 00:03:09,932 说话人 说话人_00：所以你必须打开10个并关闭10个，有很多历史时刻可以见证。
37 00:03:10,514 --> 00:03:15,622 说话人 说话人_00: 你可能认为只有百万分之一的生物会拥有大量后代。
38 00:03:15,641 --> 00:03:19,227 说话人 说话人_00: 所以你可能认为至少需要构建一百万个生物才能进化出这样的特性。
39 00:03:19,206 --> 00:03:28,939 说话人 说话人_00: 即使你构建了一百万个生物，由于交叉变异，你可能会再次失去它们。
40 00:03:28,960 --> 00:03:33,165 说话人 说话人_00: 我很快就会向你展示如何更快地将信息输入到 DNA 中。
41 00:03:35,008 --> 00:03:37,451 说话人 SPEAKER_00: 但我们的想法是我们要有一个会学习的生物体。
42 00:03:39,219 --> 00:03:41,905 说话人 SPEAKER_00: 所以我们将有三个等位基因，而不是两个等位基因。
43 00:03:42,566 --> 00:03:43,287 说话人 SPEAKER_00: 有三个可以切换。
44 00:03:43,347 --> 00:03:46,532 说话人 SPEAKER_00: 我们将有一个等位基因表示它应该是开启的。
45 00:03:46,954 --> 00:03:48,516 说话人 SPEAKER_00: 另一个说应该关掉。
46 00:03:49,078 --> 00:03:50,640 说话人 SPEAKER_00: 接下来将有八个决定。
47 00:03:51,122 --> 00:03:52,944 说话人 SPEAKER_00: 我们将会有第三个说我们需要加载。
48 00:03:54,086 --> 00:04:01,379 说话人 SPEAKER_00: 然后我们将组织我们的种群，大约一半的等位基因是开着的，另一半是需要的加载。
49 00:04:02,693 --> 00:04:10,923 说话者 说话者_00：现在，当一个生物体出生时，它有千分之一的机会十个预先设定的决策是正确的。
50 00:04:10,943 --> 00:04:25,482 说话者 说话者_00：而对于其他的，如果它运行大约一千次学习试验，只是随机地反映它们，这不是一个好的学习算法，但是看看这些网站，如果第一个是正确的，即预先设定的那些是正确的，它最终会击中其他千分之一正确的设置。
51 00:04:25,922 --> 00:04:27,925 说话者 说话者_00：这意味着它将会有很多后代。
52 00:04:29,406 --> 00:04:34,093 说话者 说话者_00：所以，这些生物体中有一千分之一具有高适应性，而不是一百万分之一。
53 00:04:36,557 --> 00:04:41,963 说话人 SPEAKER_00：这是一张 20 层深度的细胞树图片，如果你仔细看这些图片。
54 00:04:43,125 --> 00:04:50,274 说话人 SPEAKER_00：我们通过进化搜索前 10 层，然后通过学习搜索后 10 层。
55 00:04:50,295 --> 00:04:52,076 说话人 SPEAKER_00：在前 10 层，有 1000 个我们。
