1 00:00:06,275 --> 00:00:07,517 说话人 SPEAKER_01: 你好，我是尼古拉斯·汤普森。
2 00:00:07,597 --> 00:00:09,038 说话人 SPEAKER_01: 我是《连线》杂志的编辑。
3 00:00:09,359 --> 00:00:13,544 说话人 SPEAKER_01: 今天能有机会采访杰弗里·辛顿，我感到非常荣幸。
4 00:00:13,564 --> 00:00:18,289 说话人 SPEAKER_01: 他有很多优点，嗯，我想在介绍中只提两点。
5 00:00:19,111 --> 00:00:21,152 说话人 SPEAKER_01：首先是他坚持不懈。
6 00:00:21,213 --> 00:00:28,242 说话人 SPEAKER_01：他有一个真正相信的想法，其他人说这个想法不好，但他一直坚持。
7 00:00:28,742 --> 00:00:32,146 说话人 SPEAKER_01：这给了所有持有不良想法的人，包括我自己，很大的信心。
8 00:00:32,228 --> 00:00:36,774 说话人 SPEAKER_01：然后第二个人，他把自己的一半时间花在作为管理者裁决职位名称上。
9 00:00:37,494 --> 00:00:43,301 说话人 SPEAKER_01：在介绍之前，我看了他的职位名称，这是历史上最不虚荣的职位名称。
10 00:00:43,362 --> 00:00:47,188 说话人 SPEAKER_01：所以请欢迎杰弗里·辛顿，谷歌的工程研究员。
11 00:00:55,978 --> 00:00:56,298 说话人 SPEAKER_01：欢迎。
12 00:00:56,840 --> 00:00:57,740 说话人 SPEAKER_01：很高兴和你们在这里。
13 00:00:58,281 --> 00:01:02,067 说话人 SPEAKER_01: 好的，那么让我们回到 20 年前。
14 00:01:02,570 --> 00:01:12,870 说话人 SPEAKER_01: 当你写下你早期的一些非常有影响力的论文时，每个人都开始说，这是个好主意，但我们实际上无法用这种方式设计计算机。
15 00:01:13,751 --> 00:01:18,941 说话人 SPEAKER_01: 解释一下你为什么坚持下来，为什么你对找到的东西如此自信。
16 00:01:19,799 --> 00:01:22,283 说话人 SPEAKER_00: 实际上是 40 年前。
17 00:01:23,825 --> 00:01:27,209 说话人 SPEAKER_00：在我看来，大脑似乎没有其他工作方式。
18 00:01:27,349 --> 00:01:30,433 说话人 SPEAKER_00：它必须通过学习连接的优势来工作。
19 00:01:31,555 --> 00:01:35,221 说话人 SPEAKER_00：如果你想让一个设备做些智能的事情，你有两种选择。
20 00:01:35,260 --> 00:01:36,722 说话人 SPEAKER_00：你可以编程它，或者让它学习。
21 00:01:37,103 --> 00:01:40,929 说话人 SPEAKER_00：我们当然没有被编程，所以我们必须学习。
22 00:01:41,010 --> 00:01:42,751 说话人 SPEAKER_00：所以这一定是正确的方向。
23 00:01:43,052 --> 00:01:45,376 说话人 SPEAKER_01：那么，请解释一下，嗯，让我们这么做。
24 00:01:45,736 --> 00:01:46,938 说话人 SPEAKER_01：解释一下神经网络是什么。
25 00:01:46,978 --> 00:01:52,546 这里的大部分人可能都很熟悉，但请解释一下最初的洞察力以及它在您心中的发展过程。
