1 00:00:03,710 --> 00:00:04,351 说话者 SPEAKER_02：晚上好。
2 00:00:04,391 --> 00:00:07,155 说话人 SPEAKER_02：这成功了。
3 00:00:08,416 --> 00:00:24,097 说话人 SPEAKER_02：众所周知，而且现在我们所有的院长、教务长、高科技经理都知道，我们的会议是您找到计算机科学研究前沿的地方。
4 00:00:24,397 --> 00:00:37,335 说话人 SPEAKER_02：正如我们所知，在这个时候，我们所有的院长、教务长、高科技经理都知道，我们的会议是您找到计算机科学研究前沿的地方。
5 00:00:38,256 --> 00:00:48,972 说话人 SPEAKER_02：FCRC 成立于 1993 年，其理念是每三到四年举办一次联邦活动，届时主要会议可以联合举办。
今年，我们在30个主要会议和许多相关研讨会和教程中，有创纪录的2,700名参与者。
7 00：01：01,429 --> 00：01：04,233 演讲者 SPEAKER_02：这比我们计划的多了大约 20%。
实际上，在这个话题上，如果今晚你的手机响了，那意味着有2,700人会记住你，包括所有在直播中的人。
9 00：01：17,537 --> 00：01：23,063 演讲者 SPEAKER_02：让我花点时间读出所有会议的名称，以提醒您谁都在场。
10 00:01:23,605 --> 00:01:39,421 说话人 SPEAKER_02：所以我们有 COLT、eEnergy、EC、HPDC、ICS、ISCA、ISMM、IWQOS、LCTES、PLDI、SIGMETRICS、SPAR 和 STOC。
11 00:01:40,522 --> 00:01:47,510 说话人 SPEAKER_02：正如您所知，这些会议涵盖了计算机科学研究的广泛基础领域，
12 00:01:47,844 --> 00:02:11,608 说话人 SPEAKER_02：包括计算机架构、经济学与计算、嵌入式系统、高性能与超级计算、机器学习理论、测量与建模、编译器和编程语言、内存管理、并行算法、服务质量、智能能源系统、计算理论以及许多相关主题。
13 00:02:12,212 --> 00:02:17,986 说话人 SPEAKER_02：从出席率的角度来看，我特别高兴地看到我们也创下了记录数量的
14 00:02:18,102 --> 00:02:21,067 主持人 SPEAKER_02：今年有超过 1,100 名学生参加。
15 00:02:21,927 --> 00:02:38,014 主持人 SPEAKER_02：我想鼓励大家，尤其是利用 FCRC 提供的独特机会的学生们，也要参加你研究领域之外的会议和研讨会，这样你可以接触到计算机科学其他领域的最新思想。
16 00:02:38,675 --> 00:02:43,924 主持人 SPEAKER_02：只需查看 Hoover 应用或在线日程，了解同期活动的安排。
17 00:02:45,118 --> 00:03:00,360 主持人 SPEAKER_02：现在，FCRC 的一个主要亮点是你们有机会聆听来自计算机科学不同领域的杰出领导者的全体会议演讲，当然，今晚的图灵讲座将由杰夫·辛顿和杨立昆主持。
18 00:03:00,948 --> 00:03:04,895 讲者 SPEAKER_02：所有全体会议将在这个美丽的交响乐厅空间举行。
19 00:03:05,798 --> 00:03:13,634 讲者 SPEAKER_02：下周的会议安排在每天上午 11:20，没有冲突活动，所以请务必参加。
20 00:03:13,995 --> 00:03:15,478 讲者 SPEAKER_02：您没有理由错过它们。
21 00:03:16,379 --> 00:03:21,471 讲者 SPEAKER_02：提醒一下，下周的全体会议演讲者有 Jim Smith、Cynthia Dwork、
22 00:03:21,771 --> 00:03:31,426 演讲者 SPEAKER_02：Sriram Krishnamurthy、Jeanette Wing 和 Eric Lindau，他们将由大会主席 Mary Hall 介绍。
23 00:03:32,014 --> 00:03:50,051 演讲者 SPEAKER_02：虽然我将在周五会议结束时有机会向所有人表达更全面的感谢，但我一定要向所有会议的赞助商，尤其是这里列出的 FCRC 全体赞助商表示最深切的感谢。
24 00:03:50,072 --> 00:03:59,540 演讲者 SPEAKER_02：这是一个独一无二的四年一度的事件，没有这里列出的公司站出来支持 FCRC，这是不可能实现的。
25 00:03:59,875 --> 00:04:01,295 演讲者 SPEAKER_02：所以感谢他们所有人。
26 00:04:02,197 --> 00:04:07,581 说话人 SPEAKER_02：此外，整个 ACM 团队一直在努力确保这周圆满成功。
27 00:04:08,242 --> 00:04:14,688 说话人 SPEAKER_02：我想特别感谢 Donna Capo，她在会议行政团队中的不懈领导。
28 00:04:15,430 --> 00:04:25,579 说话人 SPEAKER_02：Donna 自 1993 年 FCRC 首次举办以来就参与组织工作，对 FCRC 的成功至关重要。
29 00:04:25,899 --> 00:04:26,721 说话人 SPEAKER_02：所以，感谢你，Donna。
30 00:04:27,841 --> 00:04:28,262 说话人 SPEAKER_02: 嗯。
31 00:04:33,406 --> 00:04:38,535 说话人 SPEAKER_02: 最后，感谢大家来到凤凰城参加 FCRC，并使这个房间座无虚席。
32 00:04:39,456 --> 00:04:46,009 说话人 SPEAKER_02: 希望你们有一个愉快的会议，并享受与所有计算机科学研究同事的众多互动。
33 00:04:46,790 --> 00:04:53,642 说话人 SPEAKER_02: 就这样，我想邀请 ACM 主席 Sherry Pancake 上台介绍图灵讲座。
34 00:04:57,069 --> 00:04:57,269 说话人 SPEAKER_02: 谢谢。
35 00:05:02,853 --> 00:05:03,473 说话人 SPEAKER_00: 谢谢。
36 00:05:03,533 --> 00:05:06,276 说话人 SPEAKER_00: 我很高兴来到 FCRC。
37 00:05:06,857 --> 00:05:14,964 说话人 SPEAKER_00: 正如 Vivek 提到的，我有幸担任 ACM 的主席，这是世界上最大的计算机专业人士协会。
38 00:05:15,545 --> 00:05:19,810 说话人 SPEAKER_00：你知道吗？ACM 在全球拥有近 10 万名会员。
39 00:05:20,610 --> 00:05:27,898 说话人 SPEAKER_00：我们通过像这样的会议，在 190 个国家为计算社区提供服务。
