1 00:00:00,031 --> 00:00:04,503 众所周知，这是计算机世界的诺贝尔奖。
2 00:00:04,604 --> 00:00:07,833 它被称为图灵奖，以艾伦·图灵的名字命名。
3 00:00:08,253 --> 00:00:12,787 你肯定听说过这个名字，也许看过关于这位人物的影片。
4 00:00:12,807 --> 00:00:15,053 他创造了图灵测试，用以判断
5 00:00:15,032 --> 00:00:20,481 说话人 SPEAKER_00：当人工智能以一种无法与人类思维区分的方式工作时。
6 00:00:20,562 --> 00:00:21,603 说话人 SPEAKER_00：这就是背景。
7 00:00:21,864 --> 00:00:23,306 说话人 SPEAKER_00：但你可能没有听说过这个奖项。
8 00:00:23,646 --> 00:00:31,237 说话人 SPEAKER_00：它非常具有声望，正如你可能猜到的，每年都会授予在高级计算机科学领域的最佳人才。
9 00:00:31,559 --> 00:00:39,670 说话人 SPEAKER_00: 这次，第一次，有两个加拿大人获奖，并且他们分享了奖金，奖金是 100 万美元。
10 00:00:40,591 --> 00:00:40,972 说话人 SPEAKER_00: 检查。
11 00:00:40,953 --> 00:00:43,536 说话人 SPEAKER_00: 我在这里见到了三位获奖者中的两位，那两位加拿大人。
12 00:00:43,896 --> 00:00:44,537 说话人 SPEAKER_00: 多么荣幸。
13 00:00:44,899 --> 00:00:53,271 主持人：在我身边的嘉宾是 Geoffrey Hinton 教授，他是 Vector 研究所的首席科学顾问，但他的成就远不止于此。
14 00:00:53,371 --> 00:00:59,100 主持人：他是多伦多大学的荣誉教授，同时也是谷歌的首席工程研究员，并在那里担任副总裁。
15 00:00:59,540 --> 00:01:00,341 主持人：欢迎您。
16 00:01:00,502 --> 00:01:01,863 主持人：很高兴见到您。
17 00:01:01,844 --> 00:01:10,914 说话人 说话人_00：在旧金山，我有约书亚·本吉奥，他是魁北克人工智能研究所所长，同时也是蒙特利尔大学的教授。
18 00:01:11,414 --> 00:01:13,917 说话人 说话人_00：欢迎您，教授，在旧金山。
19 00:01:13,956 --> 00:01:16,719 说话人 说话人_00：两位先生，恭喜你们。
20 00:01:16,799 --> 00:01:17,561 说话人 说话人_00：太好了。
21 00:01:17,600 --> 00:01:19,242 说话人 说话人_00：让我先从您开始。
22 00:01:19,281 --> 00:01:23,126 说话人 说话人_00：我想抛开左脑的分析反应。
23 00:01:23,387 --> 00:01:25,308 说话人 说话人_00：我想要右脑的情感。
24 00:01:25,629 --> 00:01:30,213 说话人 说话人_00：当您得知自己获得了这个最负盛名的奖项时，您的反应是什么？
25 00:01:30,515 --> 00:01:34,224 说话人 SPEAKER_02：我的意思是这真的很感人，我简直不敢相信。
26 00:01:35,727 --> 00:01:41,519 说话人 SPEAKER_02：这对我们来说是一种荣誉，但对我们为之努力整个领域来说也是一种荣誉。
27 00:01:41,721 --> 00:01:44,828 说话人 SPEAKER_02：我真的觉得这是一个令人难以置信的时刻。
28 00:01:45,061 --> 00:01:47,905 说话人 SPEAKER_00：你在机场。
29 00:01:47,924 --> 00:01:49,465 说话人 说话人_00：我们可能需要澄清一下。
30 00:01:49,546 --> 00:01:54,371 说话人 说话人_00：我们将会有一些，谁知道，计算机生成的声音或其他东西加入我们的访谈。
31 00:01:54,712 --> 00:01:58,798 说话人 说话人_00：但是无论如何，Bengio 教授那边非常激动，这是可以理解的。
32 00:01:59,158 --> 00:02:06,968 说话人 说话人_00：帮我们解释一下，Hinton 教授，用简单的话让我们这些非科学家理解一下，你到底开发了什么？
33 00:02:07,504 --> 00:02:11,569 说话人 SPEAKER_01：通常情况下，如果你想让电脑做某件事，你需要告诉它具体要做什么。
34 00:02:11,629 --> 00:02:14,013 说话人 SPEAKER_01：你需要编写一个程序来详细说明它要做什么。
35 00:02:14,193 --> 00:02:14,413 说话人 SPEAKER_01：没错。
36 00:02:15,093 --> 00:02:25,987 说话人 SPEAKER_01：在过去 40 年左右的时间里，我们一直在努力打造一个更接近大脑的东西，其中包含许多简单的处理单元，就像大脑细胞一样，它们之间有连接。
37 00:02:26,889 --> 00:02:31,334 说话人 SPEAKER_01：系统通过给出示例来学习做事情。
38 00:02:31,875 --> 00:02:35,419 说话人 SPEAKER_01：它内部所做的是改变连接的强度，就像大脑一样。
39 00:02:35,516 --> 00:02:36,038 说话人 SPEAKER_00：哇。
40 00:02:36,057 --> 00:02:40,024 说话人 SPEAKER_00：所以这不是我在编程，这是你要做的。
41 00:02:40,564 --> 00:02:43,569 说话人 说话人_00：这就是你们所说的神经网络。
42 00:02:43,629 --> 00:02:46,234 说话人 说话人_00：这就像我们大脑中的神经元一样，是神经网络学习。
43 00:02:46,253 --> 00:02:46,354 说话人 说话人_00：是的。
44 00:02:47,295 --> 00:02:49,419 说话人 说话人_00：你已经从事这项工作40年了。
45 00:02:49,438 --> 00:02:53,205 说话人 说话人_00：在那些早期，我的意思是，人们可能会认为你可能有点不正常，40年前可能就是这样。
46 00:02:53,472 --> 00:02:56,620 说话人 说话人_00：可能有点疯狂，40年前可能就是这样。
47 00:02:56,659 --> 00:02:59,246 说话人 说话人_01：是的，长期以来人们认为这些东西永远不会成功。
48 00:02:59,387 --> 00:03:06,705 说话人 说话人_01：他们认为这是一种浪漫的幻想，你可以拿一个大型的神经网络，只从例子中训练它，它就会学会一切。
49 00:03:06,937 --> 00:03:08,118 说话人 SPEAKER_00: 但实际上并非如此。
50 00:03:08,158 --> 00:03:09,040 说话人 SPEAKER_00: 这不是幻想。
51 00:03:09,200 --> 00:03:10,481 说话人 SPEAKER_00: 它正在显现。
52 00:03:10,502 --> 00:03:18,572 说话人 SPEAKER_00: 我们有一些例子，本尼戈教授，请跟我一起，因为我将从一个真正属于辛顿教授专业领域的例子开始。
53 00:03:19,052 --> 00:03:24,038 说话人 说话人_00：我最近在 Gmail 的交流中注意到，让我们在电脑上打开这个。
54 00:03:24,058 --> 00:03:26,801 说话人 说话人_00：我写了个笔记，看看这些底部的东西。
55 00:03:27,103 --> 00:03:33,890 说话人 说话人_00：有人写了个笔记，然后我甚至不需要写，是电脑在建议我应该怎么回复吗？
