1 00:00:00,318 --> 00:00:05,626 早上好，下午好，晚上好，取决于你在世界的哪个地方。
2 00:00:06,647 --> 00:00:09,772 首先，欢迎来到 SIGAR 2020。
3 00:00:10,794 --> 00:00:18,745 我非常荣幸和自豪地向大家介绍我们的第一位主题演讲嘉宾，教授 Geoffrey Hinton。
4 00:00:18,765 --> 00:00:20,667 我相信大家都很熟悉教授 Hinton。
5 00:00:21,408 --> 00:00:29,801 讲者 SPEAKER_02：他是图灵奖得主，最被引用的计算机科学家，被认为是深度学习的金牌。
6 00:00:30,219 --> 00:00:38,231 讲者 SPEAKER_02：Hinton 教授于 1978 年获得爱丁堡大学人工智能博士学位。
7 00:00:40,154 --> 00:00:58,320 讲者 SPEAKER_02：在卡内基梅隆大学担任五年教职后，他成为加拿大高级研究学院院士，随后移至多伦多大学计算机科学系，现在是一位杰出的教授。
8 00:00:58,924 --> 00:01:08,018 讲者 SPEAKER_02：他还是谷歌的副总裁和工程院士，以及 Vector 研究所的首席科学顾问。
9 00:01:08,938 --> 00:01:20,234 讲者 SPEAKER_02：我第一次认识Hinton 教授是通过 Karen Spock Jones，我在那里 1990 年代在英国攻读博士学位。
10 00:01:20,316 --> 00:01:24,882 讲者 SPEAKER_02： Hinton 教授因其在深度学习领域的工作而享誉国际。
11 00:01:25,385 --> 00:01:38,001 讲者 SPEAKER_02：他是引入反向传播算法的研究者之一，并首次将反向传播用于学习世界吸收。
12 00:01:38,021 --> 00:01:53,079 讲者 SPEAKER_02：他对神经网络研究的其他贡献包括贝尔曼机、分布式表示、时间延迟神经网络、专家混合、变分学习和深度学习。
13 00:01:54,680 --> 00:02:10,140 讲者 SPEAKER_02：与 Yann LeCun 和 Yoshua Bengio 教授一起，Hinton 教授因在概念和工程上的突破性贡献而获得 2018 年图灵奖，这些贡献使深度神经网络成为计算的关键组成部分。
14 00:02:10,842 --> 00:02:16,849 讲者 SPEAKER_02：2018 年，他被授予加拿大勋章。
15 00:02:18,513 --> 00:02:22,358 讲者 SPEAKER_02：最后，让我们热烈欢迎 Hinton 教授。
16 00:02:24,127 --> 00:02:29,413 讲者 SPEAKER_01：好的，非常感谢您的热情介绍，欢迎来到本次会议。
17 00:02:30,574 --> 00:02:41,128 演讲者 SPEAKER_01：我将要谈论神经网络的未来，但为了做到这一点，我将会大量谈论神经网络的历史。
18 00:02:41,149 --> 00:02:43,412 演讲者 SPEAKER_01：特别是，我将要谈论无监督学习。
19 00:02:45,033 --> 00:02:46,695 演讲者 SPEAKER_01：所以存在各种学习任务。
20 00:02:47,056 --> 00:02:51,602 演讲者 SPEAKER_01：最明显的是监督学习，其中你会在给定输入向量时学习预测输出。
21 00:02:52,104 --> 00:02:56,310 讲者 SPEAKER_01：有强化学习，你学习选择动作，比如在下围棋时选择哪一步走。
22 00:02:57,412 --> 00:03:02,418 讲者 SPEAKER_01：然后是无监督学习，其目的是发现输入的良好内部表示。
23 00:03:04,120 --> 00:03:07,604 讲者 SPEAKER_01：在数学上找到这种表示意味着什么，即什么是好的表示，这要困难得多。
24 00:03:10,868 --> 00:03:14,112 讲者 SPEAKER_01：首先，我将解释为什么我认为我们需要无监督学习。
