1 00:00:00,908 --> 00:00:02,549 演讲者 演讲者_06: 大家好。
2 00:00:03,111 --> 00:00:09,941 演讲者 演讲者_00: 我们非常激动能够举办这次活动，向图灵奖获得者致敬和庆祝。
3 00:00:11,141 --> 00:00:15,528 演讲者 演讲者_00: 如你所知，他们的故事是一段非凡的坚韧和毅力。
4 00:00:16,388 --> 00:00:28,045 演讲者 演讲者_00: 今天很难想象，但杰夫、简和约书亚在做出许多关键贡献时，神经网络是一个极其不受欢迎的研究课题。
5 00:00:28,486 --> 00:00:29,768 说话人 说话人_00：看看我们现在在哪里。
6 00:00:30,489 --> 00:00:37,679 说话人 说话人_00：他们的贡献是现代计算机视觉、自然语言处理、语音识别等领域的核心。
7 00:00:38,621 --> 00:00:43,268 说话人 说话人_00：这一点不仅反映在 AAAI 的程序中，也反映在我们的日常生活中。
8 00:00:44,069 --> 00:00:49,417 说话人 说话人_00：我们与手机交谈，我们拍摄外文文本的照片，并立即获得翻译。
9 00:00:50,378 --> 00:00:55,826 讲者 SPEAKER_00: 他们的故事是追随你的科学之心而不是追随当下流行的东西的榜样。
10 00:00:57,008 --> 00:00:59,451 讲者 SPEAKER_00: 请和我一起欢迎图灵奖获得者。
11 00:01:15,918 --> 00:01:20,088 讲者 SPEAKER_00: 他们的演讲将是 30 分钟的讲座形式。
12 00:01:20,308 --> 00:01:21,692 讲者 SPEAKER_00: 在那个时刻不会有提问。
13 00:01:22,134 --> 00:01:25,281 主持人 主持人_00：最后，我们将有一个圆桌讨论，然后也会接受提问。
14 00:01:25,843 --> 00:01:29,352 主持人 主持人_00：同时，如果您想在线提交问题，请查看屏幕上的说明。
15 00:01:31,932 --> 00:01:34,715 主持人 主持人_03：好的，我很高兴介绍 Geoff Hinton。
16 00:01:35,176 --> 00:01:42,406 主持人 主持人_03：Geoff 曾担任多伦多大学计算机科学教授和谷歌研究科学家。
17 00:01:43,027 --> 00:01:56,825 讲者 SPEAKER_03：杰夫因其在人工智能领域的根本性贡献而闻名，并与他的合作者发现了反向传播，发明了 AlexNet、玻尔兹曼机、胶囊网络以及许多我们现在使用的模型和算法。
18 00:01:58,021 --> 00:02:03,728 讲者 SPEAKER_03：我本想讲一个关于杰夫的小笑话和一件关于他的私事，希望这不会冒犯到你们。
19 00:02:06,031 --> 00:02:20,771 讲者 SPEAKER_03：杰夫曾经告诉我，也许很久以前还告诉过别人，当他告诉他的女儿他发现了大脑的工作原理时，她的反应是，哦，爸爸，又是这样。
20 00:02:22,591 --> 00:02:29,489 讲者 SPEAKER_03：有趣的是，我相信他们每五年或三年，或者可能是五十年，都会进行同样的对话。
21 00:02:29,889 --> 00:02:30,251 说话人 SPEAKER_03: 我不知道。
22 00:02:30,692 --> 00:02:32,597 说话人 SPEAKER_03: 我想知道 Jeff 今天能告诉我们什么。
23 00:02:32,637 --> 00:02:35,604 说话人 SPEAKER_03: 现在，很高兴地欢迎 Jeff。
24 00:02:51,245 --> 00:02:57,237 说话人 SPEAKER_07: 好的，今天我将谈谈与 Adam Kosoriak、Sarah Saboy 在 UIT 上的最新合作研究。
25 00:02:58,259 --> 00:03:04,492 讲者 SPEAKER_07：我不会谈论哲学问题或者为什么我不再来参加 AAAI 会议之类的任何事情。
26 00:03:05,314 --> 00:03:07,919 讲者 SPEAKER_07：我只想谈谈这项工作。
27 00:03:09,300 --> 00:03:11,246 讲者 SPEAKER_07：所以物体识别有两种方法。
28 00:03:11,447 --> 00:03:19,990 讲者 SPEAKER_07：有一种是传统的基于部件的方法，其中包含合理的模块化表示，但通常需要大量的人工设计。
29 00:03:20,651 --> 00:03:23,580 说话人 SPEAKER_07：它们通常没有深度层次的结构，这些都是通过学习得到的。
30 00:03:25,062 --> 00:03:26,843 说话人 SPEAKER_07：然后是卷积神经网络。
31 00:03:27,364 --> 00:03:30,848 说话人 SPEAKER_07：卷积神经网络是端到端学习的。
32 00:03:31,687 --> 00:03:36,233 说话人 SPEAKER_07：通过将一个特征检测器在一个地方做得很好，它可以在其他地方也做得很好，从而获得了巨大的优势。
33 00:03:37,253 --> 00:03:40,896 演讲者 SPEAKER_07：这使得他们能够结合证据并在位置上很好地推广。
34 00:03:41,318 --> 00:03:42,919 演讲者 SPEAKER_07：但他们与人类感知非常不同。
35 00:03:43,719 --> 00:03:51,086 演讲者 SPEAKER_07：演讲的第一部分完全针对 Jan，内容是关于 CNN 的问题以及为什么它们很糟糕。
36 00:03:54,356 --> 00:03:57,120 演讲者 SPEAKER_07：因此，CNN 被设计用来处理翻译。
37 00:03:57,520 --> 00:04:03,605 讲者 SPEAKER_07：它们在处理视角变化的其他影响方面并不擅长，比如旋转和缩放，尽管比你想的要好一些。
38 00:04:05,747 --> 00:04:11,574 讲者 SPEAKER_07：一个明显的办法是使用 4D 或 6D 地图来代替 2D 地图，但这只会变得极其昂贵。
39 00:04:12,875 --> 00:04:20,483 讲者 SPEAKER_07：所以通常，CNNs 会在许多不同的视角上进行训练，以便它们能够跨视角泛化，但这并不高效。
40 00:04:21,576 --> 00:04:25,024 讲者 SPEAKER_07：我们希望神经网络能够轻松地泛化到新的视角。
41 00:04:25,485 --> 00:04:34,642 讲者 SPEAKER_07：如果它们学会了识别某个东西，然后你把它放大 10 倍，再旋转 60 度，这不应该给它们带来任何问题。
42 00:04:36,567 --> 00:04:40,394 讲者 SPEAKER_07：我们知道计算机图形学就是这样，我们希望神经网络更像这样。
43 00:04:41,995 --> 00:04:44,437 讲者 SPEAKER_07：所以首先让我区分等变性（equivariance）和不变性（invariance）。
44 00:04:45,399 --> 00:04:52,228 讲者 SPEAKER_07：在卷积神经网络中，尤其是当你进行池化操作时，目标是得到对视点变化不变（invariant）的表示。
45 00:04:53,129 --> 00:04:55,954 演讲者 SPEAKER_07：这与获得等变表示不同。
