1 00:00:16,821 --> 00:00:17,463 演讲者 SPEAKER_07: 大家好。
2 00:00:17,542 --> 00:00:19,144 演讲者 SPEAKER_07: 欢迎参加本次讨论小组。
3 00:00:19,204 --> 00:00:23,169 演讲者 SPEAKER_07: 讨论的主题是，是否存在心智的数学模型？
4 00:00:24,109 --> 00:00:27,675 演讲者 SPEAKER_07: 前半部分是讨论小组，随后是观众提问环节。
5 00:00:29,036 --> 00:00:36,283 演讲者 SPEAKER_07: 请使用 Google Meet 聊天或 Dory 链接或 Twitter 话题标签提出您的问题。
6 00:00:36,744 --> 00:00:38,426 演讲者 SPEAKER_07: 您可以在思考问题时提出问题。
7 00:00:38,447 --> 00:00:43,673 演讲者 SPEAKER_07: 您不必等到问答环节开始时再提问。
8 00:00:44,834 --> 00:00:50,222 演讲者 SPEAKER_07: 有幸与来自各自领域的杰出分析师和 luminaries 共同出席，我感到非常荣幸。
9 00:00:50,942 --> 00:01:01,279 讲者 SPEAKER_07：我们有来自卡内基梅隆大学和加州大学伯克利分校的 Lenore Blum，她从事计算理论的研究，并获得了科学、数学和工程领域的总统奖。
10 00:01:01,378 --> 00:01:11,313 讲者 SPEAKER_07：来自加州大学伯克利分校的 Jack Galland，他是一位认知神经科学家，获得了《时代》杂志发明家奖，并经常出现在广播谈话节目和播客中。
11 00:01:11,783 --> 00:01:17,069 讲者 SPEAKER_07：来自谷歌和多伦多大学的 Jeffrey Hinton，他从事深度学习的基础研究，并获得了图灵奖。
12 00:01:17,590 --> 00:01:24,519 讲者 SPEAKER_07：来自斯坦福大学的 Percy Liang，他从事自然语言处理研究，并获得了总统早期职业奖。
13 00:01:25,180 --> 00:01:28,686 讲者 SPEAKER_07：加州大学伯克利分校的袁宇，从事统计学和机器学习研究。
14 00:01:29,126 --> 00:01:34,433 讲者 SPEAKER_07：她是美国国家科学院院士，也是 COPS EL Scott 奖获得者。
15 00:01:34,993 --> 00:01:36,576 讲者 SPEAKER_07：我是谷歌的 Reena Maligray。
16 00:01:36,617 --> 00:01:37,418 讲者 SPEAKER_07：我将担任主持人。
17 00:01:37,438 --> 00:01:40,542 说话人 SPEAKER_07：我从事机器学习算法和理论的研究。
18 00:01:41,146 --> 00:01:42,608 说话人 SPEAKER_07：那么，让我们从第一个问题开始。
19 00:01:43,370 --> 00:01:45,293 说话人 SPEAKER_07：是否存在心智的数学模型？
20 00:01:46,093 --> 00:01:51,001 说话人 SPEAKER_07：在这里，当我提到心智时，我们实际上是在指它的算法能力。
21 00:01:51,022 --> 00:01:57,953 说话人 SPEAKER_07：这不必是人的大脑，但可能是一个具有相同能力或更有能力的智能系统。
22 00:01:58,974 --> 00:02:05,945 说话人 SPEAKER_07：我们能否找到这样的算法，并自信地用数学证明它具有这些能力？
23 00:02:06,525 --> 00:02:08,789 说话人 SPEAKER_07：或者这项研究主要是一门实证科学？
24 00:02:11,807 --> 00:02:15,032 说话人 SPEAKER_07：谁愿意来回答这个问题？
