1 00:00:02,916 --> 00:00:03,258 说话人 SPEAKER_00: 你好。
2 00:00:04,339 --> 00:00:10,288 说话人 SPEAKER_00: 我今天的演讲将围绕一个想法展开，即如何将蒸馏过程应用于大脑。
3 00:00:13,153 --> 00:00:20,164 说话人 SPEAKER_00: 我将关注大脑如何存储形状知识的问题，并考虑三种理论。
4 00:00:21,908 --> 00:00:25,314 说话人 SPEAKER_00: 第一种理论是，我们为所有可能的角度学习一个单独的外观模型。
5 00:00:26,195 --> 00:00:27,277 说话人 SPEAKER_00: 这显然是荒谬的。
6 00:00:28,399 --> 00:00:29,160 说话人 SPEAKER_00: 第二个理论
7 00:00:29,797 --> 00:00:33,344 说话人 SPEAKER_00: 和第一个理论是一样的，但是我们为不同的翻译共享权重。
8 00:00:34,545 --> 00:00:44,142 说话人 SPEAKER_00: 换句话说，我们内置了处理翻译的能力，但我们仍然强迫它学习处理旋转和缩放的能力。
9 00:00:45,463 --> 00:00:55,079 讲者 SPEAKER_00：第三种理论，也就是我将主要讨论的理论，是我们将知识存储在关于整体与部分之间独立于视角的关系的权重中。
10 00:00:56,409 --> 00:01:00,154 讲者 SPEAKER_00：我们使神经活动具有视角等变性。
11 00:01:00,353 --> 00:01:03,917 讲者 SPEAKER_00：也就是说，随着视角的变化，活动也会变化。
12 00:01:03,938 --> 00:01:05,920 讲者 SPEAKER_00：但知识是视角不变的。
13 00:01:06,740 --> 00:01:11,706 讲者 SPEAKER_00: 这灵感来源于计算机图形学，直到最近被深度学习所取代。
14 00:01:16,111 --> 00:01:20,915 讲者 SPEAKER_00: 所以一个问题就是，如果整体与部分关系的知识在权重中，我们如何访问它？
15 00:01:23,528 --> 00:01:31,599 讲者 SPEAKER_00: 我认为的是，我们通过选择一个视角并形成心理图像，将视角无关的知识转化为视角相关的神经活动。
16 00:01:32,620 --> 00:01:43,174 讲者 SPEAKER_00: 所以如果我问你，德国牧羊犬耳朵尖端的距离是比眼睛的距离大还是小，你会形成一个德国牧羊犬头部的心理图像。
