1 00:00:05,245 --> 00:00:10,631 说话人 说话人_00：在我们开始之前，我最近在斯坦福做过同样的演讲。
2 00:00:10,650 --> 00:00:17,839 说话人 说话人_00：我向邀请我的人建议，我可以只做一次演讲，两个听众都来，但他们更愿意将其作为两个单独的演讲。
3 00:00:18,400 --> 00:00:21,785 说话人 说话人_00：所以如果你最近参加过这次演讲，我建议你现在离开。
4 00:00:22,446 --> 00:00:23,367 说话人 说话人_00：你不会学到任何新东西。
5 00:00:24,487 --> 00:00:25,870 说话人 SPEAKER_00: 好的。
6 00:00:28,513 --> 00:00:32,097 说话人 SPEAKER_00: 我打算结合一些最近在神经网络领域的新想法。
7 00:00:32,683 --> 00:00:42,014 说话人 SPEAKER_00: 尝试解释神经网络如何在不违反神经元基本工作原理的情况下表示部分-整体层次结构。
8 00:00:43,875 --> 00:00:49,360 说话人 SPEAKER_00: 我将用一种假想系统来解释这些想法。
9 00:00:50,402 --> 00:00:55,728 说话人 SPEAKER_00：我开始编写一个系统设计文档，最后我决定单独的设计文档本身就很有趣。
10 00:00:56,429 --> 00:00:58,670 说话人 SPEAKER_00：所以这只是一个空想产品，不存在的东西。
11 00:00:58,930 --> 00:01:01,594 说话人 SPEAKER_00：现在有一些部分已经存在，但...
12 00:01:02,030 --> 00:01:05,713 说话人 SPEAKER_00：我发现用虚构系统的背景来解释这些想法很容易。
13 00:01:11,240 --> 00:01:18,308 说话人 SPEAKER_00：现在大多数研究神经网络的人都在做工程，他们并不真正关心它是否与大脑的工作方式完全一致。
14 00:01:18,849 --> 00:01:20,292 说话人 SPEAKER_00：他们并不试图理解大脑是如何工作的。
15 00:01:20,311 --> 00:01:22,034 说话人 SPEAKER_00：他们试图创造酷炫的技术。
16 00:01:22,875 --> 00:01:24,956 说话人 SPEAKER_00：所以在 ResNet 中，100 层是完全可以的。
17 00:01:25,498 --> 00:01:28,981 说话人 SPEAKER_00：在卷积神经网络中，权重共享是可行的。
18 00:01:29,131 --> 00:01:37,918 说话人 SPEAKER_00：一些研究人员，尤其是计算神经科学家，试图研究神经网络、人工神经网络，以了解大脑可能实际上是如何工作的。
19 00:01:38,859 --> 00:01:40,742 说话人 SPEAKER_00：我认为我们还有很多东西要向大脑学习。
20 00:01:41,862 --> 00:01:52,433 说话人 SPEAKER_00：我想我们应该记住，大约半个世纪以来，支撑神经网络研究不断前进的唯一信念就是，必须有可能让这些事物学习复杂事物，因为大脑可以。
21 00:01:55,897 --> 00:01:56,337 说话人 SPEAKER_00: 所以
22 00:01:57,969 --> 00:01:59,852 说话人 SPEAKER_00: 每张图像都有一个不同的解析树。
23 00:02:01,534 --> 00:02:03,617 说话人 SPEAKER_00: 这就是图像中部件的孔的结构。
24 00:02:05,439 --> 00:02:16,814 说话人 SPEAKER_00: 在一个真实的神经网络中，你不能动态分配，你不能只是抓取一些神经元然后说，好的，你现在代表这个，因为你没有随机访问内存。
25 00:02:16,854 --> 00:02:20,139 说话人 SPEAKER_00: 你不能随意设置神经元的权重。
26 00:02:20,560 --> 00:02:24,044 说话人 SPEAKER_00: 神经元的功能由其连接决定，而这些连接只会缓慢改变。
27 00:02:24,598 --> 00:02:27,310 说话人 SPEAKER_00: 最可能的情况是，它们大多数情况下是缓慢改变的。
28 00:02:29,759 --> 00:02:35,502 说话人 SPEAKER_00: 所以问题是，如果你不能快速改变神经元的功能，你该如何表示动态的解析树？
29 00:02:40,444 --> 00:02:42,067 说话人 说话人_00：在符号人工智能中，这不是问题。
30 00:02:42,086 --> 00:02:48,453 说话人 说话人_00：你只需抓取一块内存，这就是它的通常含义，然后说，这将要代表解析树中的一个节点。
31 00:02:48,813 --> 00:02:52,638 说话人 说话人_00：我将给它指向其他节点、代表其他节点的其他内存块的指针。
32 00:02:53,098 --> 00:02:53,838 说话人 说话人_00：所以没有问题。
33 00:02:54,759 --> 00:03:04,789 说话人 SPEAKER_00：大约五年来，我一直在研究一种名为胶囊的理论，即由于无法动态分配神经元，因此我们将提前分配它们。
34 00:03:05,371 --> 00:03:09,675 说话人 SPEAKER_00：所以我们将取一组神经元，并将它们分配到解析树中的不同可能节点。
35 00:03:10,567 --> 00:03:14,570 说话人 SPEAKER_00：对于大多数图像来说，这些神经元组中的大多数都将保持沉默。
36 00:03:15,192 --> 00:03:16,353 说话人 SPEAKER_00：其中一些将会活跃。
37 00:03:17,354 --> 00:03:20,897 说话人 说话人_00: 然后对于活跃的部分，我们必须动态地将它们连接到分析树中。
38 00:03:21,437 --> 00:03:25,002 说话人 说话人_00: 因此，我们需要一种方法在这些神经元组之间进行路由。
39 00:03:26,183 --> 00:03:27,485 说话人 说话人_00: 那就是胶囊理论。
40 00:03:28,366 --> 00:03:34,171 说话人 说话人_00: 我有一些非常能干的同事与我一起工作，他们实际上让这一切都运作起来。
41 00:03:34,352 --> 00:03:36,093 说话人 SPEAKER_00: 但这很艰难。
42 00:03:37,094 --> 00:03:39,897 说话人 SPEAKER_00: 我的观点是科学家们想要工作，而科学家们不想要工作。
43 00:03:40,132 --> 00:03:41,513 说话人 SPEAKER_00: 而胶囊处于中间状态。
