1 00:00:02,072 --> 00:00:09,981 主持人 SPEAKER_07：大家好。
2 00:00:11,064 --> 00:00:11,624 主持人 SPEAKER_07：欢迎回来。
3 00:00:11,644 --> 00:00:12,445 主持人 SPEAKER_07：希望您午餐吃得不错。
4 00:00:13,627 --> 00:00:17,591 主持人 SPEAKER_07：我是 Will Douglas-Hevan，麻省理工学院科技评论 AI 高级编辑。
00:00:18,411 --> 00:00:22,657 说话人 SPEAKER_07：我认为我们所有人都同意，生成式 AI 正是当下的热门话题。
00:00:23,599 --> 00:00:24,940 说话人 SPEAKER_07：但创新从未停止。
00:00:25,300 --> 00:00:29,885 说话人 SPEAKER_07：在本章中，我们将探讨一些正在推动前沿并探索下一步的尖端研究。
00:00:30,507 --> 00:00:35,854 说话人 SPEAKER_07：但首先，我想介绍一位非常特别的虚拟嘉宾。
9 00:00:36,856 --> 00:00:44,067 讲者 SPEAKER_07：杰弗里·辛顿是多伦多大学的荣誉教授，直到本周，他还是谷歌的工程研究员。
10 00:00:44,087 --> 00:00:47,773 讲者 SPEAKER_07：但就在周一，他宣布在谷歌工作了 10 年后，他将辞职。
11 00:00:48,799 --> 00:00:51,203 讲者 SPEAKER_07：杰弗里是现代人工智能领域最重要的人物之一。
12 00:00:52,124 --> 00:01:01,936 讲者 SPEAKER_07：他是深度学习的先驱，开发了一些支撑我们今天所知的人工智能的最基本技术，例如反向传播算法，该算法允许机器学习。
13 00:01:03,457 --> 00:01:07,742 说话人 SPEAKER_07：这种技术是当今几乎所有深度学习的基础。
14 00:01:09,004 --> 00:01:16,713 说话人 SPEAKER_07：2018 年，杰弗里获得了图灵奖，通常被称为计算机科学的诺贝尔奖，与 Jan Lekun 和 Yoshua Bengio 共同获得。
15 00:01:18,347 --> 00:01:24,355 说话人 SPEAKER_07：他今天与我们在这里讨论智能，它的含义，以及将智能构建到机器中的尝试将带我们走向何方。
16 00:01:25,156 --> 00:01:27,019 说话人 SPEAKER_07：杰弗里，欢迎来到 EmTech。
17 00:01:28,140 --> 00:01:28,441 说话人 SPEAKER_07: 谢谢。
18 00:01:29,081 --> 00:01:29,861 说话人 SPEAKER_07: 你这周过得怎么样？
