1 00:00:04,232 --> 00:00:05,354 主持人 SPEAKER_12：感谢介绍。
2 00:00:06,375 --> 00:00:09,217 主持人 SPEAKER_12：标题与广告的不同，但内容是一样的。
3 00:00:09,977 --> 00:00:11,099 主持人 SPEAKER_12：有两个问题。
4 00:00:11,980 --> 00:00:13,420 主持人 SPEAKER_12：如果我戴上眼镜，我能看清楚。
5 00:00:15,682 --> 00:00:20,027 说话人 SPEAKER_12：第一个问题是，人工智能很快就会比我们聪明吗？
6 00:00:21,207 --> 00:00:29,894 说话人 SPEAKER_12：长期以来，大概有 50 年，我一直在努力研究人工神经网络，试图了解真实大脑可能的工作方式。
7 00:00:30,335 --> 00:00:33,277 说话人 SPEAKER_12：我一直认为真实的大脑更好，
8 00:00:33,578 --> 00:00:35,119 说话人 SPEAKER_12：而人工神经网络则更差。
9 00:00:35,159 --> 00:00:36,862 说话人 SPEAKER_12：如果让它们更像大脑，它们会工作得更好。
10 00:00:37,402 --> 00:00:39,164 说话人 SPEAKER_12：几个月前，我突然改变了主意。
11 00:00:40,185 --> 00:00:45,892 说话人 SPEAKER_12：这就是我决定离开谷歌并谈论风险的原因。
12 00:00:46,593 --> 00:00:50,517 说话人 SPEAKER_12：显然，如果有了超级智能的东西，人们还能保持控制吗？
13 00:00:51,177 --> 00:01:00,008 说话人 SPEAKER_12：因为自从拜登赢得选举以来，就没有例子表明一个不那么智能的东西控制了一个更智能的东西。
14 00:01:02,265 --> 00:01:04,287 说话人 SPEAKER_12：我将对此进行一些推测。
15 00:01:05,469 --> 00:01:11,096 说话人 SPEAKER_12：但谈话的主要内容将只是关于我认为这些事物比我们更智能的原因。
16 00:01:12,158 --> 00:01:13,138 说话人 SPEAKER_12：所以第一个问题。
17 00:01:14,180 --> 00:01:15,701 说话人 SPEAKER_12：我对风险了解不多。
18 00:01:15,721 --> 00:01:18,185 说话人 SPEAKER_12：我今天和很多风险专家交谈过，他们知道的比我多得多。
19 00:01:19,787 --> 00:01:20,548 说话人 SPEAKER_12：所以我不打算谈论那个。
20 00:01:22,310 --> 00:01:28,897 说话人 SPEAKER_12：所以，在传统计算中，你使用的是为执行指令而设计的计算机。
21 00:01:29,418 --> 00:01:34,742 说话人 SPEAKER_12：计算机的基本特性是可以在不同的硬件上运行相同的程序。
22 00:01:36,024 --> 00:01:41,028 说话人 SPEAKER_12：因此，程序中的知识在某种意义上是永恒的，即如果一块硬件损坏，知识不会消失。
23 00:01:41,688 --> 00:01:42,989 说话人 SPEAKER_12：你可以在另一块硬件上运行它。
24 00:01:45,212 --> 00:01:51,158 说话人 SPEAKER_12：要做到这一点，需要以非常高的功率运行晶体管，以确保它们以可靠的数字方式运行。
25 00:01:52,117 --> 00:01:59,424 说话人 SPEAKER_12：你不能利用该硬件的模拟特性，即该硬件的模拟和高度可变的特性。
26 00:01:59,775 --> 00:02:02,278 说话人 SPEAKER_12：因为那样的话，你就无法在不同的硬件上做同样的事情。
27 00:02:05,302 --> 00:02:22,061 说话人 SPEAKER_12：所以我对此产生了兴趣，因为这些大型语言模型的高能耗，巨大的能源消耗，我对是否有更便宜的功耗计算方法产生了兴趣，这些方法我们现在可以使用，而以前不能使用。
28 00:02:23,483 --> 00:02:26,526 说话人 SPEAKER_12：数字计算机被设计成由人类编程。
29 00:02:27,586 --> 00:02:29,729 说话人 SPEAKER_12：这就是为什么他们必须精确地遵循指示。
30 00:02:29,990 --> 00:02:35,919 说话人 SPEAKER_12：但现在我们知道了一种不同的方法，让通用计算机执行特定任务，那就是从例子中学习。
31 00:02:37,341 --> 00:02:44,611 说话人 SPEAKER_12：如果它们从例子中学习，也许我们可以摒弃计算机科学的基本原则，那就是你必须将软件与硬件分离。
32 00:02:45,513 --> 00:02:54,066 说话人 SPEAKER_12：也许我们可以使用利用所有这些模拟特性的模拟计算机，它们是不可复制的。
33 00:02:54,417 --> 00:02:57,780 说话人 SPEAKER_12：你根本无法将知识转移到另一台电脑上。
34 00:02:58,381 --> 00:03:00,643 说话人 SPEAKER_12：但是你可以以非常低的功耗运行，比如 30 瓦。
35 00:03:03,705 --> 00:03:08,229 说话人 SPEAKER_12：所以显然将软件与硬件分离有很大的优势。
36 00:03:08,248 --> 00:03:11,793 说话人 SPEAKER_12：你可以编写一个程序，它将在所有你的 iPhone 上运行。
37 00:03:12,592 --> 00:03:19,299 说话人 SPEAKER_12：这也意味着你可以有一个你一无所知的独立部门，而你却自称是计算机科学。
38 00:03:20,020 --> 00:03:23,242 说话人 SPEAKER_12：如果它们都混在一起，你就不能这么做。
39 00:03:26,193 --> 00:03:32,539 说话人 SPEAKER_12：所以当你不将软件与硬件分开时，你就会得到我所说的“致命计算”。
40 00:03:34,322 --> 00:03:45,133 说话人 SPEAKER_12：也就是说，你将在硬件上学习，而你所学到的将只适用于那块特定的硬件，因为你正在利用它所有的奇怪模拟特性。
41 00:03:47,695 --> 00:03:54,663 说话人 SPEAKER_12：现在，这真是太好了，因为我们可以使用低功耗模拟计算，也许我们还能在 3D 中扩展硬件，
42 00:03:55,133 --> 00:04:00,941 说话人 SPEAKER_12：在这种情况下，我们不知道连接性或单个神经元的精确特性，如果它是类似神经网络的硬件。
43 00:04:02,423 --> 00:04:10,914 说话人 SPEAKER_12：但我们显然有一个大问题，那就是我们必须有一个学习过程，这个学习过程可以在不了解硬件的精确特性的情况下在这个硬件中学习。
44 00:04:11,276 --> 00:04:12,858 说话人 SPEAKER_12：我将简要谈谈您可能如何做到这一点。
45 00:04:13,699 --> 00:04:19,927 讲者 SPEAKER_12：这很可能不是反向传播，因为在反向传播中，你需要通过层或时间进行正向传递。
46 00:04:20,788 --> 00:04:24,735 讲者 SPEAKER_12：你必须知道正向传递的性质，才能
47 00:04:25,389 --> 00:04:27,112 讲者 SPEAKER_12：使用反向传播来获取梯度。
48 00:04:27,533 --> 00:04:32,480 讲者 SPEAKER_12：如果你实际上不知道硬件的性质，你需要一种不同的学习算法。
49 00:04:36,166 --> 00:04:40,072 人类计算的优点在于可以使用权重级并行性。
50 00:04:40,112 --> 00:04:42,255 因此可以实现万亿级别的并行。
51 00:04:43,036 --> 00:04:45,540 这意味着您的计算单元不需要非常快。
52 00:04:46,122 --> 00:04:46,923 这就是大脑所做的事情。
53 00:04:47,865 --> 00:04:49,247 说话人 SPEAKER_12：我们可以使用大量更少的能量。
54 00:04:49,968 --> 00:04:53,153 说话人 SPEAKER_12：我们可以扩展硬件。
55 00:04:53,976 --> 00:04:57,401 说话人 SPEAKER_12：可能最好不要从头开始。
56 00:04:58,062 --> 00:05:04,069 说话人 SPEAKER_12：我猜测我们最终会重新设计生物神经元作为硬件。
57 00:05:05,572 --> 00:05:07,394 说话人 SPEAKER_12：但正如您将看到的，我们可能没有时间做那件事。
58 00:05:10,379 --> 00:05:18,088 说话人 SPEAKER_12：所以我只想给您举一个例子，这个计算显然用模拟方式比数字方式更合理。
59 00:05:18,108 --> 00:05:22,514 说话人 SPEAKER_12：假设您想将神经活动向量乘以权重矩阵。
60 00:05:23,153 --> 00:05:24,595 说话人 SPEAKER_12：这正是我们一直想要做的。
61 00:05:24,634 --> 00:05:26,817 说话人 SPEAKER_12：这就是我们主要进行的计算。
62 00:05:28,180 --> 00:05:38,915 说话人 SPEAKER_12：因此你可以以非常高的功率驱动晶体管，并将活动表示为数字，然后对位进行一系列操作以将它们相乘。
63 00:05:40,416 --> 00:05:46,004 说话人 SPEAKER_12：或者你可以将神经活动仅表示为电压，并将权重表示为电导。
64 00:05:46,862 --> 00:05:49,867 说话人 SPEAKER_12：周围有物理学家，所以我希望我得到了正确的单位。
65 00:05:50,408 --> 00:05:55,375 说话人 SPEAKER_12：如果你将电压乘以电导，我认为你会得到每单位时间的电荷。
66 00:05:56,317 --> 00:05:58,901 说话人 SPEAKER_12：电荷可以自行累加。
67 00:05:59,942 --> 00:06:06,913 说话人 SPEAKER_12：所以现在你可以非常简单地乘以一个向量和一个矩阵，而不必将任何东西数字化表示。
68 00:06:07,836 --> 00:06:09,237 说话人 SPEAKER_12：这非常高效。
69 00:06:09,577 --> 00:06:11,300 发言人 SPEAKER_12：现在有一些芯片可以做到这一点。
70 00:06:11,786 --> 00:06:15,732 发言人 SPEAKER_12：他们的问题是，他们试图在做任何其他事情之前将事物数字化。
71 00:06:16,814 --> 00:06:18,877 发言人 SPEAKER_12：但这种特殊的计算可以有效地完成。
72 00:06:23,502 --> 00:06:27,048 发言人 SPEAKER_02：那么，我马上就回到学习问题上。
73 00:06:27,127 --> 00:06:34,057 人类计算面临的另一个大问题是硬件会损坏，然后它所知道的一切都会丢失。
74 00:06:35,660 --> 00:06:40,646 因此，在人类计算中解决这个问题的方法是教师试图将知识提炼给学生。
75 00:06:41,317 --> 00:06:43,220 而在数字计算中，有一个完全不同的解决方案。
76 00:06:43,240 --> 00:06:51,009 但在人类计算中，解决方案是教师试图将知识提炼给学生。
77 00:06:51,591 --> 00:07:00,081 讲师：你这样做的方式是老师向学生展示正确的输入响应，然后学生尝试模仿这些响应。
78 00:07:00,961 --> 00:07:03,225 讲师：这就是特朗普推文发生的事情。
79 00:07:03,762 --> 00:07:08,149 讲师：左翼人士一直抱怨他说的所有事情都是假的。
80 00:07:08,769 --> 00:07:09,851 讲师：这完全无关紧要。
81 00:07:09,872 --> 00:07:10,673 说话人 SPEAKER_12：那不是重点。
82 00:07:11,274 --> 00:07:18,365 说话人 SPEAKER_12：重点是，你展示一个情况，让人们知道如何应对，然后你的追随者尝试那样去反应。
83 00:07:19,266 --> 00:07:21,630 说话人 SPEAKER_12：结果发现，这种方法比与人讲道理更有效。
84 00:07:24,875 --> 00:07:27,339 说话人 SPEAKER_12：这就是消除偏见的工作原理。
85 00:07:30,475 --> 00:07:35,362 说话人 SPEAKER_12：让我们思考一个将图像分类到 1,024 个类别的智能体。
86 00:07:36,725 --> 00:07:42,875 说话人 SPEAKER_12：如果你只告诉智能体正确的答案，你只提供了 10 比特的信息。
87 00:07:43,877 --> 00:07:49,045 说话人 SPEAKER_12：所以当你说你应该为这个输入提供这个类别时，你只限制了 10 比特的权重。
88 00:07:50,627 --> 00:07:52,630 说话人 SPEAKER_12：但假设你已经有一个训练过的老师。
89 00:07:53,833 --> 00:07:56,516 讲师：老师将为所有输出给出概率。
90 00:07:57,862 --> 00:08:00,887 讲师：因为它们加起来是1，023个实数。
91 00:08:01,569 --> 00:08:11,223 讲师：只要这些概率不是太小，如果你训练一个学生模仿老师，每个训练样本就更有价值。
92 00:08:11,704 --> 00:08:17,372 讲师：因为学生试图不仅仅得到最可能正确的答案。
93 00:08:17,952 --> 00:08:22,098 讲者 SPEAKER_12：学生试图匹配教师对所有其他训练样本的概率。
94 00:08:22,619 --> 00:08:30,415 讲者 SPEAKER_12：实际上，在许多情况下，错误答案的相对概率比正确答案包含的信息更多。
95 00:08:30,435 --> 00:08:38,994 讲者 SPEAKER_12：例如，如果我给你看一辆宝马，系统会说，80%是宝马，10%是奥迪。
96 00:08:39,855 --> 00:08:43,243 讲者 SPEAKER_12：而且有一百万分之一的几率它是一辆垃圾车。
97 00:08:44,253 --> 00:08:45,875 说话人 SPEAKER_12：这里没有德国制造商。
98 00:08:47,017 --> 00:08:48,499 说话人 SPEAKER_12：一百万分之一的几率它是一辆垃圾车。
99 00:08:48,519 --> 00:08:52,946 说话人 SPEAKER_12：但重点是，它也会说有一亿分之一的几率它是一根胡萝卜。
100 00:08:54,828 --> 00:08:58,835 说话人 SPEAKER_12：如果你看所有有一百万分之一几率的物品，它们都是其他车辆。
101 00:08:59,196 --> 00:09:04,764 说话者 SPEAKER_12：它通过所有那些概率低但不是完全为零的事物告诉你很多关于事物类别的信息。
102 00:09:05,404 --> 00:09:07,248 说话者 SPEAKER_12：蔬菜不是。
103 00:09:07,447 --> 00:09:09,572 说话者 SPEAKER_12：因此，它们的概率变得非常小。
104 00:09:09,912 --> 00:09:13,197 说话者 SPEAKER_12：垃圾车和胡萝卜之间的这个比率告诉你很多信息。
105 00:09:14,138 --> 00:09:21,148 讲者 SPEAKER_12：训练学生模仿教师的概率是好的，尤其是如果概率不是太小的话。
106 00:09:21,969 --> 00:09:25,774 讲者 SPEAKER_12：我们可以通过使用高温来使概率不是太小。
107 00:09:26,655 --> 00:09:43,200 讲者 SPEAKER_12：通常情况下，如果你有多个替代输出，你会使用 softmax，你可以说每个答案的概率与该答案的 logit 成正比，其中 logit 是该答案的证据量。
108 00:09:44,176 --> 00:09:47,861 讲者 SPEAKER_12：如果你只按温度来缩放，你会得到更柔和的概率。
109 00:09:49,484 --> 00:09:54,831 说话人 SPEAKER_12：所以，我有一个例子，可能会让你们中的有些人感到惊讶，我使用了 MNIST 数字。
110 00:09:56,695 --> 00:10:02,363 说话人 SPEAKER_12：然后我进行了缩放，我有一个好老师，然后我将概率进行了缩放，使它们变得更柔和。
111 00:10:03,524 --> 00:10:05,148 说话人 SPEAKER_12：如果你看这个，这些都是 2。
112 00:10:06,208 --> 00:10:13,440 说话人 SPEAKER_12：但是如果你看中间那一行，老师认为，是的，这是一个 2。
113 00:10:14,028 --> 00:10:16,711 说话人 SPEAKER_12：但这只是略微像 0。
114 00:10:16,792 --> 00:10:19,535 说话人 SPEAKER_12：它比其他任何 2 都更像 0。
115 00:10:20,376 --> 00:10:27,307 说话人 SPEAKER_12：所以你可以在那个训练示例中看到，通过说这是一个看起来有点像 0 的 2，你正在教系统关于 0 的知识。
116 00:10:27,327 --> 00:10:30,873 说话人 SPEAKER_12：或者如果你看第二行，那是一个看起来有点像 8 的 2。
117 00:10:32,014 --> 00:10:34,298 说话人 SPEAKER_12：这非常有用的额外信息。
118 00:10:35,711 --> 00:10:41,118 说话人 SPEAKER_12：所以我经常谈论蒸馏，是因为这是我们获取知识的方式。
119 00:10:41,538 --> 00:10:49,447 说话人 SPEAKER_12：这也是如何在一个数字系统和具有完全不同架构的不同神经网络之间获取知识。
120 00:10:49,907 --> 00:10:56,313 说话人 SPEAKER_12：所以，通常你想要训练一个很大的模型，然后将这些知识转移到更小的模型中，并使用蒸馏来实现这一点。
121 00:11:01,298 --> 00:11:04,942 说话人 SPEAKER_02：蒸馏的一个优点是当你
122 00:11:05,327 --> 00:11:16,102 说话人 SPEAKER_12：训练学生从教师那里学习，并训练学生得到与教师相同的错误答案概率，实际上是在训练学生以与教师相同的方式进行泛化。
123 00:11:16,764 --> 00:11:20,789 说话人 SPEAKER_12：所以这是非常罕见的情况之一，你实际上是在训练学生如何进行泛化。
124 00:11:21,490 --> 00:11:24,615 说话人 SPEAKER_12：通常情况下，你只是训练它得到正确答案，并希望它在其他情况下也能得到正确答案。
125 00:11:25,035 --> 00:11:26,738 说话人 SPEAKER_12：但实际上，我们正在训练它进行泛化。
126 00:11:30,384 --> 00:11:33,427 说话人 SPEAKER_12：显然，一个标签并不是一个非常丰富的答案。
127 00:11:33,778 --> 00:11:42,119 说话人 SPEAKER_12：所以你最好通过给它一个图像，然后给它一个很长的图像描述，并训练它预测描述中的所有单词来训练学生。
128 00:11:42,740 --> 00:11:45,447 说话人 SPEAKER_12：这样你就可以为训练案例获取更多信息。
129 00:11:47,150 --> 00:11:48,514 说话人 SPEAKER_02：这样可以使蒸馏工作得更好。
130 00:11:53,049 --> 00:11:58,456 说话人 SPEAKER_12：这就是蒸馏的样子，如何在两个模拟系统之间获取信息。
131 00:11:59,116 --> 00:12:00,658 说话人 SPEAKER_12：这就是我们当时所做的事情。
132 00:12:01,139 --> 00:12:03,260 说话人 SPEAKER_12：你这里有一个非常老式的模拟系统。
133 00:12:03,881 --> 00:12:07,426 说话人 SPEAKER_12：你这里有一些旧的，还有很多新的模拟系统。
134 00:12:07,905 --> 00:12:12,171 说话人 SPEAKER_12：我们正在尝试将这个旧模拟系统的信息传输到这些新模拟系统中。
135 00:12:12,971 --> 00:12:17,736 说话人 SPEAKER_12：这次谈话的整个重点就是这个过程并不高效，正如我刚才所展示的。
136 00:12:17,777 --> 00:12:21,740 说话人 SPEAKER_12：这是一个缓慢而痛苦的过程。
137 00:12:22,177 --> 00:12:28,784 说话人 SPEAKER_12：我们无法获取，如果我能直接将我所知的一切输入到你的大脑里，那岂不是很好？
138 00:12:29,326 --> 00:12:30,126 说话人 SPEAKER_12：那会非常好。
139 00:12:31,427 --> 00:12:33,390 说话人 SPEAKER_12：这对大学来说可能没什么好处，但确实如此。
140 00:12:34,851 --> 00:12:39,778 说话人 SPEAKER_12：但这就是生物系统必须做的事情。
141 00:12:41,740 --> 00:12:43,543 说话人 SPEAKER_12：现在让我们谈谈学习算法。
142 00:12:43,743 --> 00:12:52,077 说话人 SPEAKER_12：因为思考这一点让我改变了关于数字系统或生物系统哪个更好的看法。
143 00:12:53,379 --> 00:13:07,404 说话人 SPEAKER_12：所以如果你不想反向传播，因为你实际上不知道硬件在做什么，你可以使用一个具有进化特点的简单算法，即对权重生成一个小随机扰动。
144 00:13:08,160 --> 00:13:10,244 说话人 SPEAKER_12：并且你有一个全局目标函数。
145 00:13:10,745 --> 00:13:12,067 说话人 SPEAKER_12：您通过一些例子来测试。
146 00:13:12,106 --> 00:13:16,933 说话人 SPEAKER_12：然后您看看在扰动之后，您在这个目标函数上的表现是更好还是更差。
147 00:13:17,615 --> 00:13:21,841 说话人 SPEAKER_12：然后您朝着扰动方向迈出一步，这一步与您做得有多好成比例。
148 00:13:22,861 --> 00:13:26,868 说话人 SPEAKER_12：关于这一点，平均来说，它是朝着正确的方向前进的。
149 00:13:27,168 --> 00:13:29,652 说话人 SPEAKER_12：如果你做足够多次，你会朝着反向传播相同的方向前进。
150 00:13:29,932 --> 00:13:31,094 说话人 SPEAKER_12：但它具有非常高的方差。
151 00:13:31,835 --> 00:13:33,577 说话人 SPEAKER_02：因此，它只适用于非常小的系统。
152 00:13:41,894 --> 00:13:47,623 说话人 SPEAKER_12：此外，如果你在示例的小批量中为所有内容使用相同的权重扰动，你会得到更差的变体。
153 00:13:48,043 --> 00:13:52,769 说话人 SPEAKER_12：如果你使用不同的权重扰动，就不能使用矩阵-矩阵乘法，但这只是对内行人而言。
154 00:13:54,773 --> 00:14:01,263 说话人 SPEAKER_12：使用活动扰动会更好，即扰动神经元的输入，并做同样的事情。
155 00:14:01,322 --> 00:14:07,412 说话人 SPEAKER_12：我们扰动所有神经元的输入，这样它们就能得到来自网络其他部分的输入，加上额外的扰动。
156 00:14:08,049 --> 00:14:15,158 说话人 SPEAKER_12：然后你看到由于这种扰动而得到的改进程度，并按照改进程度成比例地向那个方向迈出一步。
157 00:14:15,217 --> 00:14:20,684 说话人 SPEAKER_12：显然，神经元比权重少得多，所以它的方差要小得多。
158 00:14:21,105 --> 00:14:23,288 说话人 SPEAKER_12：这对于学习像 MNIST 这样的问题已经足够好了。
159 00:14:24,168 --> 00:14:27,753 说话人 SPEAKER_12：它比反向传播学习慢，但学习速度是合理的。
160 00:14:30,436 --> 00:14:33,940 说话人 SPEAKER_12：问题是，一旦你开始尝试将其扩展到大型网络，
161 00:14:34,190 --> 00:14:35,172 说话人 SPEAKER_12：真是毫无希望。
162 00:14:35,231 --> 00:14:36,533 说话人 SPEAKER_12：你可以学习像 MNIST 这样的东西。
163 00:14:36,594 --> 00:14:39,178 说话人 SPEAKER_12：如果你非常坚定，你可以学习像 CIFAR-10 这样的东西。
164 00:14:39,940 --> 00:14:44,727 说话人 SPEAKER_12：但是 ImageNet，那里有成百万张图片或者一百万张图片，它太慢了。
165 00:14:49,216 --> 00:14:58,711 说话人 SPEAKER_12：所以一种避免进行全局反向传播的方法是，我们实际上要做的就是要拥有数以亿计的局部目标函数。
166 00:14:59,772 --> 00:15:03,956 说话人 SPEAKER_12：所以我们要如何扩展这些，你自然会想，我得到一个小型神经网络，它工作得很好。
167 00:15:05,018 --> 00:15:06,919 说话人 SPEAKER_12：我有一个带有这个目标函数的小型神经网络。
168 00:15:06,980 --> 00:15:08,241 说话人 SPEAKER_12：我可以训练它，这没问题。
169 00:15:08,282 --> 00:15:10,203 说话人 SPEAKER_12：如果我想要一个大的神经网络怎么办？
170 00:15:10,244 --> 00:15:12,166 说话人 SPEAKER_12：你尝试相同的训练算法，但不起作用。
171 00:15:13,187 --> 00:15:19,214 说话人 SPEAKER_12：但如果我有许多小的神经网络，每个都有自己的目标函数，并且设想它们可以在空间上局部化呢？
172 00:15:20,235 --> 00:15:26,402 说话人 SPEAKER_12：我给它一个自己的目标函数，这样我就不会试图一次性从一个目标函数中学习大量的参数。
173 00:15:27,563 --> 00:15:28,884 说话人 SPEAKER_12：这行得通。
174 00:15:29,523 --> 00:15:35,312 说话人 SPEAKER_12：它不如反向传播效果好，但它在更大的网络中扩展得更好，这些网络由许多局部组组成。
175 00:15:36,474 --> 00:15:38,998 说话人 SPEAKER_12：所以问题是，你从哪里得到这些局部目标函数？
176 00:15:41,020 --> 00:15:43,625 说话人 SPEAKER_12：这里有一个修订的可能性。
177 00:15:45,489 --> 00:15:52,559 说话人 SPEAKER_12：你取图像的一部分，然后有一个小网络提取一些东西，一个将要代表图像部分内容的向量。
178 00:15:53,552 --> 00:16:03,524 说话人 SPEAKER_12：然后你说，我想提取与该图像其他部分提取的向量一致的向量，但与提取自其他图像的向量不一致。
179 00:16:04,726 --> 00:16:07,149 说话人 SPEAKER_12：所以这被称为对比无监督学习。
180 00:16:07,890 --> 00:16:10,573 说话人 SPEAKER_12：实际上，你可以在多个层面上做到这一点。
181 00:16:11,455 --> 00:16:17,962 说话人 SPEAKER_12：所以你在对局部区域进行学习，试图让它们在同一级别上与其他局部区域达成一致，试图让输出结果达成一致。
182 00:16:19,284 --> 00:16:21,147 说话人 SPEAKER_12：你也在多个级别上做这件事。
183 00:16:22,222 --> 00:16:25,768 说话人 SPEAKER_12：如果你非常坚持不懈，你可以使它工作得相当不错。
184 00:16:26,168 --> 00:16:32,096 说话人 SPEAKER_12：它比我所知的所有其他生物可学习算法都要好。
185 00:16:32,817 --> 00:16:35,440 说话人 SPEAKER_12：它几乎还没有像反向传播那样好。
186 00:16:36,562 --> 00:16:41,548 说话人 SPEAKER_12：关于这一点，在 ICLR 有一篇由 Mengyi Ren 撰写的论文，他做了所有困难的工作。
187 00:16:45,533 --> 00:16:51,201 说话人 SPEAKER_12：我对它的描述略有偏差，所以你可能更容易理解。
188 00:16:51,282 --> 00:16:53,264 说话人 SPEAKER_12：但论文已经在那里了，所以我不觉得这是不诚实的。
189 00:16:56,066 --> 00:16:58,268 说话人 SPEAKER_02：这需要很多努力，而且是一篇相当密集的论文。
190 00:17:03,653 --> 00:17:13,141 说话人 SPEAKER_12：好的，现在让我们来讨论本次演讲的核心问题，即代理如何共享知识。
191 00:17:13,181 --> 00:17:15,363 说话人 SPEAKER_12：这全部关乎不同代理之间的沟通。
192 00:17:16,323 --> 00:17:20,547 说话人 SPEAKER_12：所以我现在正在尝试将知识传达给你，而且我正在这样做
193 00:17:21,032 --> 00:17:21,973 说话人 SPEAKER_12：非常低效。
194 00:17:21,993 --> 00:17:24,896 说话人 SPEAKER_12：我这样做的方式是产生一串单词。
195 00:17:25,817 --> 00:17:36,349 说话人 SPEAKER_12：在老式的 AI 中，你会做的是，你会把那些词清理成逻辑上和模糊的语言，然后放入你的大脑中。
196 00:17:36,990 --> 00:17:39,292 说话人 SPEAKER_12：这就是教学。
197 00:17:41,015 --> 00:17:42,596 说话人 SPEAKER_12：这实际上是错误的。
198 00:17:42,676 --> 00:17:43,718 说话人 SPEAKER_12：这不是它的工作方式。
199 00:17:44,719 --> 00:17:46,862 说话人 SPEAKER_12：我认为它真正的工作方式是这样的。
200 00:17:47,561 --> 00:17:48,963 说话人 SPEAKER_12：我产生一串单词。
201 00:17:49,416 --> 00:17:54,642 说话人 SPEAKER_12：你试图弄清楚如何改变你大脑中的连接强度，以至于你会说出那样的话。
202 00:17:55,742 --> 00:17:57,025 说话人 SPEAKER_12：这是一个非常不同的过程。
203 00:17:57,065 --> 00:17:57,845 说话人 SPEAKER_12：这是蒸馏。
204 00:17:57,865 --> 00:18:03,191 说话人 SPEAKER_12：这与仅仅存储单词串或存储清理过的单词串非常不同。
