1 00:00:00,166 --> 00:00:07,655 说话人 SPEAKER_02：对我来说，能有机会与 Geoffrey Hinton 进行对话，这真是一件令人高兴的事情。
2 00:00:07,676 --> 00:00:11,961 主持人 SPEAKER_02：我已经跟随他的工作多年，但这是我们第一次有机会见面。
3 00:00:12,862 --> 00:00:19,411 主持人 SPEAKER_02：对我来说，这是我们“真实情况”播客的一个真正亮点。
4 00:00:19,431 --> 00:00:20,231 主持人 SPEAKER_02：所以欢迎，杰夫。
5 00:00:21,193 --> 00:00:21,934 主持人 SPEAKER_00：非常感谢。
6 00:00:22,054 --> 00:00:23,917 说话人 SPEAKER_00: 这对我来说也是一个真正的机会。
7 00:00:25,059 --> 00:00:28,283 说话人 SPEAKER_00: 你在一个领域是专家，我在另一个领域是专家，能见面真是太好了。
8 00:00:29,106 --> 00:00:32,631 说话人 SPEAKER_02: 嗯，这确实是一个真正的交汇点。
9 00:00:32,691 --> 00:00:44,463 说话人 SPEAKER_02: 我想也许我会从，你知道的，你最近经常出现在新闻中开始，当然，但让我想与你联系的是你在《60 分钟》节目中对斯科特·佩利的采访。
10 00:00:45,564 --> 00:00:50,209 说话人 SPEAKER_02：你说一个明显能带来巨大利益的地方是医疗保健。
11 00:00:50,850 --> 00:00:55,975 说话人 SPEAKER_02：人工智能在理解医学图像方面已经可以与放射科医生相媲美。
12 00:00:56,426 --> 00:00:58,829 说话人 SPEAKER_02：它将在设计药物方面非常出色。
13 00:00:58,850 --> 00:01:00,332 说话人 SPEAKER_02：它已经能够设计药物了。
14 00:01:00,593 --> 00:01:05,039 说话人 SPEAKER_02：所以这是一个几乎完全有益的领域。
15 00:01:05,198 --> 00:01:06,159 说话人 SPEAKER_02：我喜欢那个领域。
16 00:01:06,239 --> 00:01:08,423 说话人 SPEAKER_02：所以我非常喜欢那个引用，杰夫。
17 00:01:09,084 --> 00:01:10,665 说话人 SPEAKER_02：我认为我们可以从这里开始。
18 00:01:14,852 --> 00:01:26,147 说话人 SPEAKER_00: 嗯，回到 2012 年，我的一个研究生乔治·达尔（George Dahl）在 2009 年进行了语音识别，在那里做出了重大贡献。
19 00:01:26,617 --> 00:01:36,447 说话人 SPEAKER_00: 参加了默克-弗罗斯特（Merck-Frost）举办的比赛，预测特定化学物质与某物质结合的效果。
20 00:01:37,709 --> 00:01:39,652 说话人 SPEAKER_00: 他对此科学一无所知。
21 00:01:40,253 --> 00:01:48,902 说话人 SPEAKER_00: 他所拥有的只是这些化学物质的几千个描述符和可能结合的 15 个目标。
22 00:01:49,884 --> 00:01:52,887 说话人 SPEAKER_00: 他使用了我们用于语音识别的相同网络。
23 00:01:53,748 --> 00:01:55,510 说话人 SPEAKER_00: 因此他处理了 2000
24 00:01:55,927 --> 00:02:00,572 说话人 SPEAKER_00: 化学物质的描述符，就像它们是语音频谱中的东西。
25 00:02:01,534 --> 00:02:03,775 说话人 SPEAKER_00: 并且他赢得了比赛。
26 00:02:05,518 --> 00:02:12,185 说话人 SPEAKER_00：他在赢得比赛后，直到告诉默克他是如何做到的，才被允许领取 20,000 美元的奖金。
27 00:02:13,145 --> 00:02:16,650 说话人 SPEAKER_00：他们的问题之一是，你使用了哪种 QSAR？
28 00:02:18,230 --> 00:02:19,793 说话人 SPEAKER_00：所以他问，什么是 QSAR？
29 00:02:21,510 --> 00:02:31,122 说话人 SPEAKER_00：现在 QSAR 是一个领域，它有一个期刊，它举办过会议，已经发展了很多年，它是定量构效关系的领域。
30 00:02:31,883 --> 00:02:35,727 说话人 SPEAKER_00: 这就是试图预测某些化学物质是否会与某物结合的领域。
