1 00:00:12,686 --> 00:00:22,184 说话人 SPEAKER_00：大家好，非常感谢大家的参与，我们有幸并且非常高兴地邀请到 Jeff Hinton 教授与我们同在。
2 00:00:23,187 --> 00:00:27,355 说话人 SPEAKER_00：Hinton 教授代表摩洛哥人工智能社区向大家
3 00:00:27,672 --> 00:00:30,335 说话人 SPEAKER_00：摩洛哥人工智能科学家和研究人员。
4 00:00:30,657 --> 00:00:32,219 说话人 SPEAKER_00：能够邀请到您我们感到非常荣幸。
5 00:00:32,478 --> 00:00:39,609 说话人 SPEAKER_00：我相信 Hinton 教授无需介绍，但我很荣幸能阅读他的简介并介绍他。
6 00:00:39,729 --> 00:00:49,545 说话人 SPEAKER_00：Geoffrey Hinton 教授是引入反向传播算法的研究者之一，也是第一个将反向传播用于学习词嵌入的人。
7 00:00:50,335 --> 00:00:55,604 说话人 SPEAKER_00：Hinton 教授在其数十年的职业生涯中发明了几个基础性的深度学习技术。
8 00:00:56,185 --> 00:01:07,066 说话人 SPEAKER_00：他对神经网络研究的其他贡献包括玻尔兹曼机、分布式表示、时间延迟神经网络、专家混合、变分学习和深度学习。
9 00:01:07,406 --> 00:01:08,427 说话人 说话人_00: 他的研究
10 00:01:08,864 --> 00:01:16,153 说话人 说话人_00: 加拿大多伦多的研究小组在深度学习领域取得了重大突破，他们的革命性语音识别和物体分类技术。
11 00:01:16,855 --> 00:01:22,563 说话人 说话人_00: 鹤汀教授于1978年在爱丁堡大学获得人工智能博士学位。
12 00:01:23,024 --> 00:01:29,572 说话人 说话人_00: 在卡内基梅隆大学担任五年教职后，他成为了加拿大研究院的院士。
13 00:01:29,552 --> 00:01:36,740 讲者 SPEAKER_00：为了高级研究，他转到了多伦多大学的计算机科学系，现在是一名荣誉教授。
14 00:01:37,120 --> 00:01:42,947 讲者 SPEAKER_00：他还是谷歌的工程副总裁兼 Vector 研究所的首席科学顾问。
15 00:01:43,688 --> 00:01:48,072 讲者 SPEAKER_00：Hinton 教授获得了许多奖项，我无法一一列举。
16 00:01:48,093 --> 00:01:50,295 讲者 SPEAKER_00：他是院士，我只想提及一些。
17 00:01:50,314 --> 00:01:59,424 说话人 SPEAKER_00：他是英国皇家学会会员，美国国家工程院和美国艺术与科学学院的前成员。
18 00:01:59,658 --> 00:02:14,717 说话人 SPEAKER_00：他的其他奖项包括大卫·鲁梅尔哈特奖、基拉姆工程奖、IEEE 弗兰克·罗森布拉特奖、IEEE 詹姆斯·柯克·麦克斯韦尔金牌和本田奖，当然还有都灵奖。
19 00:02:14,979 --> 00:02:17,861 说话人 SPEAKER_00：我们有幸邀请您，Hinton 教授。
20 00:02:18,002 --> 00:02:19,264 说话人 SPEAKER_00：请，您开始吧。
21 00:02:20,806 --> 00:02:22,087 说话人 SPEAKER_01: 感谢您的介绍。
22 00:02:33,306 --> 00:02:38,995 说话人 SPEAKER_02: 好的，我今天要讲的演讲和我在 NeurIPS 上最近讲的演讲非常相似。
23 00:02:39,795 --> 00:02:41,618 说话人 SPEAKER_02: 这篇论文是关于前向-前向算法的。
24 00:02:43,562 --> 00:02:52,875 说话人 SPEAKER_02: 其动机是为了尝试理解大脑如何获取梯度。
25 00:02:52,895 --> 00:02:56,780 说话人 SPEAKER_02：我们都知道反向传播工作得非常好。
26 00:02:57,622 --> 00:03:01,407 说话人 SPEAKER_02：它创造了像 Chat GPT 这样的东西，非常令人印象深刻。
27 00:03:01,639 --> 00:03:07,370 说话人 SPEAKER_02：这引发了一个问题，大脑是使用反向传播还是使用其他方式来获取梯度？
28 00:03:08,752 --> 00:03:18,889 说话人 SPEAKER_02：而与其专注于制作更大、更好的模型，在过去几年里，我一直专注于大脑是如何获取梯度的。
