1 00:00:00,031 --> 00:00:04,716 说话人 SPEAKER_00: 这周，谷歌加入了人工智能竞赛，推出了 BARD。
2 00:00:05,158 --> 00:00:10,564 说话人 SPEAKER_00: 这个聊天机器人将与由微软资助的 OpenAI 的 ChatGBT 竞争。
3 00:00:10,685 --> 00:00:21,038 说话人 SPEAKER_00: 在短短几个月内，这些聊天机器人凭借回答复杂问题、撰写电子邮件和演讲稿、规划定制假期等功能，赢得了用户的惊叹。
4 00:00:21,457 --> 00:00:29,228 说话人 SPEAKER_00: 但随着技术的进步，这项技术带来了巨大的希望和，有些人认为，重大的、甚至生存的威胁。
5 00:00:29,207 --> 00:00:36,719 说话人 SPEAKER_00: 布鲁克·席尔瓦·布拉加前往多伦多，这是人工智能领先的研究中心之一，去见一些正在构建这个勇敢新世界的人。
6 00:00:37,578 --> 00:00:43,604 说话人 SPEAKER_04: 嗯，这是我们在我们的生成语言模型支持下开发的一个聊天机器人实验预览。
7 00:00:43,784 --> 00:00:44,466 说话人 SPEAKER_02: 好的。
8 00:00:44,485 --> 00:00:47,228 说话人 SPEAKER_02: 尼克·弗罗斯特是 Cohere 的联合创始人。
9 00:00:47,710 --> 00:00:56,841 说话人 SPEAKER_02：像谷歌和 OpenAI 一样，这家多伦多初创公司用数万亿个单词训练了强大的计算机，并让它们回答。
10 00:00:57,201 --> 00:01:00,564 说话人 SPEAKER_02：它能写，叫它写一篇书评。
11 00:01:00,545 --> 00:01:02,366 说话人 SPEAKER_02：关于《战争与和平》。
12 00:01:03,167 --> 00:01:03,848 说话人 SPEAKER_02：好的，它能。
13 00:01:04,308 --> 00:01:07,733 说话人 SPEAKER_02：战争与和平是俄国作家列夫·托尔斯泰的历史小说。
14 00:01:07,972 --> 00:01:15,281 说话人 SPEAKER_02：在计算领域的一次重大飞跃中，这些模型可以理解和创造自然语言。
15 00:01:15,301 --> 00:01:15,981 说话人 SPEAKER_02：它刚刚写了这个。
16 00:01:16,102 --> 00:01:18,525 说话人 SPEAKER_02：是的，但它基于它所看到的一切。
17 00:01:18,924 --> 00:01:21,628 说话人 SPEAKER_02：这项技术已在研究实验室中研究了多年。
18 00:01:22,168 --> 00:01:26,834 说话人 SPEAKER_02：去年秋天 ChatGPT 的发布... 奶酪，哦奶酪，如此美味而大胆。
19 00:01:26,853 --> 00:01:29,016 说话人 SPEAKER_02：...把它带到了一个毫无准备的大众面前。
20 00:01:28,995 --> 00:01:31,278 说话人 SPEAKER_02：它正在为我写一首关于奶酪的诗。
21 00:01:31,319 --> 00:01:32,801 说话人 SPEAKER_04：相当不错！
22 00:01:32,861 --> 00:01:37,987 说话人 SPEAKER_04：在老式编程中，我们会编写代码来告诉计算机该做什么。
23 00:01:38,528 --> 00:01:39,069 说话人 SPEAKER_04：我们仍然在做这件事。
24 00:01:39,209 --> 00:01:39,930 说话人 SPEAKER_04：很多人还在做这件事。
25 00:01:39,990 --> 00:01:44,337 说话人 SPEAKER_04：但我们现在还做的一件事是编写代码告诉计算机如何学习该做什么。
26 00:01:44,897 --> 00:01:48,742 说话人 SPEAKER_04：它是通过展示许多它应该做的例子来学习的。
