1 00:00:03,068 --> 00:00:03,810 主持人 SPEAKER_05：大家好。
2 00:00:04,812 --> 00:00:07,176 主持人 SPEAKER_05：我是来自计算机科学学院的安德鲁·海因斯博士。
3 00:00:08,499 --> 00:00:22,849 主持人 SPEAKER_05：代表我们学院、都柏林大学科学学院以及整个大学的同事们，我非常荣幸地欢迎各位今晚参加都柏林大学最高荣誉——尤利西斯奖的颁奖仪式，授予杰弗里·辛顿教授。
4 00:00:24,246 --> 00:00:33,100 主持人 SPEAKER_05：几点注意事项，请确保在活动期间关闭您的手机，并在紧急情况下注意最近的消防出口。
5 00:00:35,223 --> 00:00:41,554 说话人 SPEAKER_05：今晚的正式会议将由 UCD 校长奥拉·菲利教授主持。
6 00:00:43,176 --> 00:00:50,287 说话人 SPEAKER_05：这对大学来说是一个非常特别的时刻，也是将教职员工、学生和校友聚集在一起的美好理由。
7 00:00:51,634 --> 00:00:55,002 说话人 SPEAKER_05：在我们开始之前，我将解释我们将遵循的程序。
8 00:00:56,164 --> 00:00:59,051 说话人 SPEAKER_05：首先，我将为辛顿教授朗读一段引言。
9 00:01:00,473 --> 00:01:06,126 说话人 SPEAKER_05：都柏林大学校长奥拉·菲利将在这里舞台上颁发尤利西斯奖牌。
10 00:01:07,248 --> 00:01:10,015 说话人 SPEAKER_05：我将邀请辛顿教授对提名进行回应。
11 00:01:10,888 --> 00:01:23,903 说话人 SPEAKER_05：现在我将结束正式程序，在凯特·罗布森-布朗教授，都柏林大学研究、影响和创新副校长上台与我一起之前，我将请费利教授向各位致辞。
12 00:01:24,843 --> 00:01:34,153 说话人 SPEAKER_05：我很高兴辛顿教授同意接受观众的提问。
13 00:01:34,174 --> 00:01:39,259 主持人：校长、注册官、尊敬的嘉宾、同事们，再次，
14 00:01:39,930 --> 00:02:04,064 主持人：代表校长尼尔·赫利、计算机科学学院院长以及在此的全体同事，我很高兴向大家介绍杰弗里·埃弗斯特·辛顿，今晚我们表彰他在计算机科学领域的贡献，包括计算和工程上的突破，使深度神经网络成为计算的关键组成部分。
15 00:02:05,328 --> 00:02:11,199 主持人：都柏林大学学院的尤利西斯奖是都柏林大学所能授予的最高荣誉。
16 00:02:11,240 --> 00:02:17,973 主持人：该奖项于2005年设立，并以都柏林大学学院校友詹姆斯·乔伊斯的名字命名。
17 00:02:19,055 --> 00:02:24,044 说话人 SPEAKER_05：该奖项授予那些为全球作出杰出贡献的个人。
18 00:02:27,198 --> 00:02:37,092 说话人 SPEAKER_05：正如所有学者可能都熟悉的那样，撰写简洁而全面的综述是一项挑战，而 Geoffrey Hinton 的职业生涯尤其难以浓缩。
19 00:02:38,835 --> 00:02:45,243 说话人 SPEAKER_05：他花费了几十年时间来理解人脑，从中汲取灵感，以创造更好的计算机学习模型。
20 00:02:46,344 --> 00:02:54,437 说话人 SPEAKER_05：现在，这些技术已经集成到我们每天使用的产品和服务的日常使用中，称其为“人工智能之父”并非夸张。
21 00:02:56,188 --> 00:03:02,338 说话人 SPEAKER_05：在过去的一年里，他一直在与比他繁忙职业生涯中任何时候都要广泛的公众分享他的知识。
22 00:03:03,800 --> 00:03:09,109 说话人 SPEAKER_05：他在提高人们对人类如何使用和发展人工智能的认识和关注。
23 00:03:10,711 --> 00:03:18,143 说话人 SPEAKER_05：至于这会不会损害他一生积累的声誉，他曾经说过：“我并不真的在乎我的遗产。”
24 00:03:18,663 --> 00:03:21,268 说话人 SPEAKER_05：最好的做法就是挥霍一个好的声誉。
25 00:03:22,193 --> 00:03:26,478 说话人 SPEAKER_05：从我的角度来看，这些是值得我们认真倾听的话。
26 00:03:26,497 --> 00:03:35,927 说话人 SPEAKER_05：他在 1970 年从剑桥大学获得实验心理学学士学位，1978 年从爱丁堡大学获得人工智能博士学位。
27 00:03:36,427 --> 00:03:51,424 说话人 SPEAKER_05：他是多伦多大学的荣誉退休教授，是英国皇家学会、加拿大皇家学会、人工智能推进协会以及 ACM 协会的会员。
28 00:03:51,691 --> 00:04:01,522 说话人 SPEAKER_05：他在 2018 年获得了图灵奖，这是计算机科学界的诺贝尔奖，与 Yann LeCun 和 Yoshua Benigo 共同获奖。
29 00:04:02,082 --> 00:04:15,960 讲者 SPEAKER_05：完成博士学位后，他在苏塞克斯大学、加州大学圣地亚哥分校和卡内基梅隆大学度过了一段时间，然后在 1987 年移居加拿大，加入了多伦多大学。
30 00:04:17,053 --> 00:04:27,228 讲者 SPEAKER_05：1988 年，他作为伦敦大学学院 Gatsby 计算神经科学单元的创始主任回到英格兰，之后又回到了多伦多。
31 00:04:28,891 --> 00:04:40,889 讲者 SPEAKER_05：他在谷歌兼职工作了 10 年，担任杰出科学家，然后在 2023 年退休，以便他可以更自由地谈论人工智能，而不会与谷歌股东的潜在利益冲突。
32 00:04:42,069 --> 00:04:45,254 讲者 SPEAKER_05：所以他可以，用他自己的话说，谈论
33 00:04:45,961 --> 00:04:54,377 说话人 SPEAKER_05：关于不考虑对谷歌影响的情况下的人工智能的危险，因为谷歌表现得非常负责任。
34 00:04:54,396 --> 00:05:09,824 说话人 SPEAKER_05：作为 30 多名博士生的导师，那些在他实验室作为研究生和研究人员工作过的人继续指导着未来几代研究人员，无论是在学术界还是在工业界，比如 Meta 的 Yann LeCun 和 OpenAI 的 Ilya Sutskevar。
