1 00:00:01,042 --> 00:00:01,544 说话人 说话人_00：欢迎回来。
2 00:00:01,564 --> 00:00:04,950 说话人 说话人_00：我们想回到我们与杰弗里·辛顿的独家访谈。
3 00:00:05,030 --> 00:00:05,972 说话人 说话人_00：领先的 AI 研究者将他的职业生涯奉献给了更好地理解智能的未来。
4 00:00:06,032 --> 00:00:11,260 说话人 说话人_00：这位领先的研究者致力于更深入地理解智能的未来。
5 00:00:11,281 --> 00:00:17,772 说话人 SPEAKER_00：越来越，Hinton 敦促立法者要求大型科技公司增加在人工智能上的投入。
6 00:00:17,992 --> 00:00:18,434 说话人 SPEAKER_00：安全。
7 00:00:18,734 --> 00:00:21,739 说话人 SPEAKER_00：他的信念与人工智能变得更快以及与之相关的潜在风险有关。
8 00:00:21,839 --> 00:00:25,887 说话人 SPEAKER_00：他的信念与人工智能变得更快以及与之相关的潜在风险有关。
9 00:00:25,867 --> 00:00:32,569 说话人 SPEAKER_00：在这次对话的下一部分，我们首先询问了 Hinton 关于人工智能是否会比人类更聪明的可能性。
10 00:00:34,185 --> 00:00:40,652 说话人 SPEAKER_01：我所认识的几乎所有优秀的研究人员都认为，从长远来看，它的智能将超过我们。
11 00:00:40,912 --> 00:00:42,435 说话人 SPEAKER_01：它的智能不会停留在我们的水平上。
12 00:00:42,734 --> 00:00:46,920 说话人 SPEAKER_01：有些人认为，因为它目前是在训练我们提供的数据上。
13 00:00:47,720 --> 00:00:53,106 说话人 SPEAKER_01：但我认识的多数研究人员都相当确信它将比我们更聪明。
14 00:00:53,746 --> 00:00:56,369 说话人 SPEAKER_01：所以真正的问题是，这需要多长时间？
15 00:00:56,929 --> 00:00:59,332 说话人 SPEAKER_01：当它做到这一点时，我们还能否保持控制？
16 00:01:00,612 --> 00:01:05,504 说话人 SPEAKER_01：我认为在接下来的 20 年内，它比我们更聪明的可能性是 50-50。
17 00:01:07,147 --> 00:01:18,655 说话人 SPEAKER_00：那么，在控制方面，我们再次面临的问题是什么？这在我们帮助创造的社会中，我们的角色又是什么？
18 00:01:18,837 --> 00:01:20,218 说话人 SPEAKER_01：没有人真正知道。
19 00:01:20,418 --> 00:01:22,061 说话人 SPEAKER_01：我们以前从未遇到过这种情况。
20 00:01:22,341 --> 00:01:24,766 说话人 SPEAKER_01：我们从未处理过比我们更智能的事物。
21 00:01:25,947 --> 00:01:32,737 说话人 SPEAKER_01：因此人们应该对它的样子非常不确定。
22 00:01:33,438 --> 00:01:42,533 说话人 SPEAKER_01：当它比我们稍微笨一些的时候，进行大量的实证实验似乎非常明智，这样我们还有机会保持控制。
23 00:01:42,513 --> 00:02:00,927 说话人 SPEAKER_01：我认为政府，例如，应该要求大公司进行大量的安全实验，投入相当多的资源，比如将三分之一的计算资源用于安全实验，在这些事物还没有像我们一样智能的时候，看看它们可能会如何逃避控制，我们又能做些什么。
24 00:02:00,906 --> 00:02:02,909 说话人 SPEAKER_01：我认为这正是 OpenAI 辩论的主要内容。
25 00:02:03,370 --> 00:02:09,219 说话人 SPEAKER_01：对安全感兴趣的人，比如伊利亚·苏茨克维，希望投入大量资源用于安全。
26 00:02:09,759 --> 00:02:14,007 说话人 SPEAKER_01：对利润感兴趣的人，比如山姆·奥特曼，不希望在这方面投入太多资源。
27 00:02:14,907 --> 00:02:19,354 说话人 SPEAKER_00：我们现在对这笔开销的分布有什么感觉吗？
28 00:02:19,395 --> 00:02:20,637 说话人 SPEAKER_00：安全方面的开销？
29 00:02:21,138 --> 00:02:21,358 说话人 SPEAKER_01: 是的。
30 00:02:22,278 --> 00:02:24,502 说话人 SPEAKER_01: 在发展上远大于在安全上。
31 00:02:26,145 --> 00:02:28,027 说话人 SPEAKER_01: 因为这些是利润驱动的公司。
32 00:02:28,969 --> 00:02:36,122 说话人 SPEAKER_00: 你如何看待这个领域财富如此快速地被创造出来的事实？
33 00:02:36,181 --> 00:02:40,689 说话人 SPEAKER_00: 在您看来，这如何使安全故事变得复杂？
34 00:02:41,610 --> 00:02:45,938 说话人 SPEAKER_01: 嗯，这使大公司清楚地意识到他们想要全速前进。
35 00:02:46,759 --> 00:02:54,993 说话人 SPEAKER_01: 微软和谷歌之间有一场激烈的竞争，可能还有亚马逊、英伟达以及可能的其他大公司。
36 00:02:56,002 --> 00:02:57,444 说话人 SPEAKER_01: 以及 Meta。
37 00：02：58,325 --> 00：03：03,492 议长 SPEAKER_01：如果其中任何一个人撤出，其他人都会继续前进。
所以，你有了资本主义的标准竞争动态，人们试图在相对较短的时间内获得利润，并且他们全力以赴。
39 00：03：12,686 --> 00：03：17,592 议长 SPEAKER_01：我认为唯一能减缓这种情况的是严格的政府监管。
40 00：03：17,611 --> 00：03：20,256 议长 SPEAKER_01：我认为政府是唯一足够强大的东西来减缓这种情况。
41 00:03:20,793 --> 00:03:26,010 说话人 SPEAKER_00: 显然，各国政府代表各自的祖国。
42 00:03:26,070 --> 00:03:28,659 说话人 SPEAKER_00: 你对到目前为止的政府努力以及全球各国政府在涉及不止一个领土的问题上的协调有何观察？
43 00:03:29,990 --> 00:03:39,026 说话人 SPEAKER_00: 不仅是对政府努力的观察，还包括全球各国政府在涉及不止一个领土的问题上的协调。
44 00:03:39,486 --> 00:03:41,891 说话人 SPEAKER_01: 已经有一些协调，这非常鼓舞人心。
45 00:03:42,832 --> 00:03:46,901 说话人 SPEAKER_01：对于许多事情，比如自主致命武器，将会存在竞争。
46 00:03:47,301 --> 00:03:48,302 说话人 SPEAKER_01：它们不会进行协调。
47 00:03:49,384 --> 00:03:53,532 说话人 SPEAKER_01：美国不会与俄罗斯分享其自主致命武器的计划。
48 00:03:53,513 --> 00:04:01,872 说话人 SPEAKER_01：但是有一个问题，这些事物是否会变得超级智能并在我们都处于同一境地时接管我们？
