1 00:00:00,031 --> 00:00:01,993 说话人 SPEAKER_04: 好吧。
2 00:00:03,654 --> 00:00:06,958 说话人 SPEAKER_04: 嗯，正如比尔提到的，很高兴有 Geoffrey Hinton 在这里。
3 00:00:07,017 --> 00:00:12,624 说话人 SPEAKER_04: 我会提前简要列举一下您的成就，尽管感觉有点。
4 00:00:12,663 --> 00:00:13,285 说话人 SPEAKER_05: 继续说。
5 00:00:13,324 --> 00:00:17,088 说话人 SPEAKER_05：我说我无需介绍。
6 00:00:17,149 --> 00:00:22,134 说话人 SPEAKER_04：我的第一个要点是说他无需介绍是很老套的，所以我将为他做一个介绍。
7 00:00:22,153 --> 00:00:24,376 说话人 SPEAKER_04：所以我们结束了。
8 00:00:24,536 --> 00:00:25,376 说话人 SPEAKER_04：你第一个问题是什么？
9 00:00:25,797 --> 00:00:26,117 说话人 SPEAKER_04：你确定吗？
10 00:00:26,297 --> 00:00:26,818 说话人 SPEAKER_04：是的。
11 00:00:26,838 --> 00:00:28,300 说话人 SPEAKER_04：好吧。
12 00:00:28,718 --> 00:00:36,734 说话人 SPEAKER_04：好的，我对你的想法是如何改变的很好奇，就像比尔刚才提到的。
13 00:00:36,795 --> 00:00:47,216 说话人 SPEAKER_04：我不是要批评你，只是出于好奇，我想读一读你 2018 年说过的一些话，部分原因是因为我觉得现在很多人都在说这些话。
14 00:00:47,197 --> 00:00:52,869 说话人 SPEAKER_04：现在你对人工智能的总体态度和潜在风险似乎有所不同。
15 00:00:53,712 --> 00:01:03,534 说话人 SPEAKER_04：我在维基百科页面上找到的一些内容，你说“通用人工智能”这个短语带有这样的含义，即这种单一的机器人突然会比你还聪明。
16 00:01:03,515 --> 00:01:05,197 说话人 SPEAKER_04：我认为不会是这样的。
17 00:01:05,477 --> 00:01:09,465 说话人 SPEAKER_04：我认为我们越来越多地做的日常事情将被 AI 系统所取代。
18 00:01:09,924 --> 00:01:15,213 说话人 SPEAKER_04：未来的 AI 将了解你可能会希望它做的事情，但它不会取代你。
19 00:01:15,233 --> 00:01:19,561 说话人 SPEAKER_04：这似乎与我现在的看法有很大不同。
20 00:01:19,760 --> 00:01:25,911 说话人 SPEAKER_04：所以我很好奇，你是否能带我们回顾一下这六年间你所思考的演变过程。
21 00:01:26,887 --> 00:01:33,400 说话人 SPEAKER_05：那时候，我认为要让我们拥有比我们更聪明的东西还需要很长时间。
22 00:01:34,522 --> 00:01:39,072 说话人 SPEAKER_05：我还认为，随着我们制造出更类似大脑的东西，它们会变得更聪明。
23 00:01:39,256 --> 00:01:51,650 说话人 SPEAKER_05：然后在谷歌的最后几年，我试图思考如何使用模拟硬件来降低训练这些大型模型和部署大型模型所需的能耗。
24 00:01:53,513 --> 00:02:02,884 说话人 SPEAKER_05：显然，如果你可以使用模拟硬件，并且有一个可以利用模拟电路所有独特特性的学习算法，
25 00:02:02,864 --> 00:02:05,390 说话人 SPEAKER_05：你可以克服许多模拟的难题。
26 00:02:06,391 --> 00:02:08,897 说话人 SPEAKER_05：你不必让两个不同的计算机表现得一样。
27 00:02:09,338 --> 00:02:11,584 说话人 SPEAKER_05：它们只是学会利用它们所拥有的硬件。
28 00:02:12,806 --> 00:02:16,094 说话人 SPEAKER_05：这使得它们变得有点像凡人，当硬件损坏时，它们的权重就不再有效了。
29 00:02:17,758 --> 00:02:20,163 说话人 SPEAKER_05：但这同时也意味着你可以以更低的功耗运行。
30 00:02:20,144 --> 00:02:31,580 说话人 SPEAKER_05：所以一个经典的例子是，如果你想将神经活动向量乘以权重矩阵以获得下一层的输入，这就是一种核心操作。
31 00:02:31,600 --> 00:02:33,282 说话人 SPEAKER_05：这就是占用大部分计算资源的地方。
32 00:02:34,223 --> 00:02:38,811 说话人 SPEAKER_05：然后如果你将神经活动设为电压，将权重设为电导，
33 00:02:38,790 --> 00:02:41,897 说话人 SPEAKER_05：电压乘以电导等于每单位时间的电荷。
34 00:02:42,438 --> 00:02:44,843 说话人 SPEAKER_05：电荷可以自行累加，所以这就完成了。
35 00:02:45,384 --> 00:02:52,921 说话人 SPEAKER_05：你从未需要将活动转换为 16 位数字，然后进行 16 平方位操作来执行乘法。
36 00:02:53,423 --> 00:02:57,491 说话人 SPEAKER_05：它只是非常低功耗，非常简单快捷。
37 00:02:57,472 --> 00:03:01,182 说话人 SPEAKER_05：对于非线性的事物，做起来更难。
38 00:03:01,683 --> 00:03:06,959 说话人 SPEAKER_05：但问题是，能否使用模拟硬件来降低能耗？
39 00:03:08,282 --> 00:03:12,594 说话人 SPEAKER_05：当我越来越多地思考这个问题，各种问题变得清晰。
40 00:03:12,929 --> 00:03:18,175 说话人 SPEAKER_05：其中一个是，我们不知道如何在不知道系统行为的情况下学习。
41 00:03:19,116 --> 00:03:23,582 说话者 SPEAKER_05：如果你不知道系统如何表现，你不知道正向传播，那么你无法进行反向传播。
42 00:03:26,006 --> 00:03:29,729 说话者 SPEAKER_05：人们已经想出了绕过这个问题的方法，即近似。
