1 00:00:02,443 --> 00:00:06,528 说话人 SPEAKER_02：为这段视频的主题人物 Geoffrey Hinton 写一个简短的介绍。
2 00:00:09,192 --> 00:00:14,538 说话人 SPEAKER_02：Geoffrey Hinton 是多伦多大学的退休教授，被誉为人工智能之父。
3 00:00:16,161 --> 00:00:21,407 说话人 SPEAKER_02：他最近离开谷歌，以便更自由地讨论不受控制的 AI 发展带来的危险。
4 00:00:23,368 --> 00:00:30,577 说话人 SPEAKER_02：我们在他在伦敦的家中采访了他，谈论了他帮助创造的技术、它的许多好处以及他为什么突然担心人类面临风险。
5 00:00:35,350 --> 00:00:37,152 说话人 SPEAKER_00：我收到了华尔街日报的请求。
6 00:00:37,472 --> 00:00:39,415 说话人 SPEAKER_00：他们希望我更正我的讣告。
7 00:00:39,676 --> 00:00:40,097 说话人 SPEAKER_01：你的意思是什么？
8 00:00:40,838 --> 00:00:42,320 说话人 SPEAKER_00：他们希望我更正我的讣告。
9 00:00:42,340 --> 00:00:43,582 说话人 SPEAKER_01: 他们好像已经预先写好了。
10 00:00:43,601 --> 00:00:46,566 说话人 SPEAKER_00: 他们已经预先写好了我的讣告。
11 00:00:46,585 --> 00:00:48,168 说话人 SPEAKER_00: 我想知道马克·吐温会对此说些什么。
12 00:00:48,189 --> 00:01:01,628 说话人 SPEAKER_01: 所以我想我们这里不需要介绍，我就直接开始了。
13 00:01:03,262 --> 00:01:14,721 说话人 SPEAKER_01：你最近接受了一些采访，在采访中你说，用于聊天机器人和其他生成式人工智能的数字智能可能比我们拥有的生物智能更好。
14 00:01:15,683 --> 00:01:18,468 说话人 SPEAKER_01：你能简要解释一下是什么让你得出这个结论吗？
15 00:01:19,444 --> 00:01:26,334 说话人 SPEAKER_00：所以在数字计算机中，它是设计成你可以明确告诉它要做什么，它会按照你告诉它的去做。
16 00:01:27,275 --> 00:01:34,763 说话人 SPEAKER_00：即使它在学习东西，两个不同的数字计算机也可以用相同的学到的知识做完全一样的事情。
17 00:01:36,006 --> 00:01:44,135 说话人 SPEAKER_00：这意味着你可以制作 10,000 份相同的知识副本，让它们在不同的计算机上运行，
18 00:01:44,638 --> 00:01:49,685 说话人 SPEAKER_00：每当一个副本学到一些东西时，它可以非常高效地将其传达给所有其他副本。
19 00:01:50,966 --> 00:02:01,801 说话人 SPEAKER_00：因此，你可以有 10,000 个数字代理在外，一种蜂群思维，它们可以通过共享神经网络中的连接强度来极其高效地共享知识。
20 00:02:01,820 --> 00:02:02,882 说话人 SPEAKER_00：我们做不到这一点。
21 00:02:03,783 --> 00:02:09,009 说话人 SPEAKER_00：如果你学到一些东西，想要告诉我，你必须使用句子。
22 00:02:09,074 --> 00:02:15,260 说话人 SPEAKER_00：或者图片，那样你只能分享非常有限的信息。
23 00:02:15,801 --> 00:02:22,368 说话人 SPEAKER_00：所以，你向我传达你所学到的东西的速度，远远比不上这些数字智能传达信息的速度。
24 00:02:22,849 --> 00:02:24,010 说话人 SPEAKER_00：这使得它们（它们）更加出色。
25 00:02:24,792 --> 00:02:26,633 说话人 SPEAKER_00：他们之间可以学会很多东西。
26 00:02:27,435 --> 00:02:33,262 说话人 SPEAKER_01：你说数字智能是不朽的，而生物智能是有限的。
27 00:02:34,623 --> 00:02:35,925 说话人 SPEAKER_01：你这是什么意思？
28 00:02:36,377 --> 00:02:50,337 说话人 SPEAKER_00：所以，如果我在一个数字计算机上模拟的神经网络中学习了一些连接强度，那么如果某个计算机损坏了，这些相同的连接强度可以在另一台计算机上使用。
29 00:02:51,539 --> 00:03:00,393 说话人 说话人_00：即使所有的数字计算机都停止工作，如果你把连接强度存储在某个地方，你就可以在另一个数字计算机上运行相同的权重。
30 00:03:01,474 --> 00:03:02,436 说话人 说话人_00：但对我们来说，
31 00:03:03,326 --> 00:03:08,474 说话人 说话人_00：我们学到的知识，连接强度，是特定于我们的大脑的。
32 00:03:08,615 --> 00:03:09,856 说话人 说话人_00：每个大脑都有所不同。
33 00:03:10,317 --> 00:03:12,219 说话人 SPEAKER_00：你大脑中的神经元都略有不同。
34 00:03:12,961 --> 00:03:18,248 说话人 SPEAKER_00：而你学习是为了利用你大脑特有的所有特性。
35 00:03:18,308 --> 00:03:25,098 说话人 SPEAKER_00：因此，一旦你在大脑中学会了连接强度，如果你告诉我那些连接强度，它们对我没有任何好处，因为我的大脑是不同的。
36 00:03:26,445 --> 00:03:32,215 说话人 SPEAKER_00：所以数字计算机是永恒的，因为你可以将同样的知识运行在不同的硬件上。
37 00:03:32,936 --> 00:03:37,704 说话人 SPEAKER_00: 我们之所以不朽，是因为硬件和知识紧密相连。
38 00:03:38,185 --> 00:03:42,451 说话人 SPEAKER_00: 你无法将连接强度与它们运行的特定大脑分开。
39 00:03:43,554 --> 00:03:45,235 说话人 SPEAKER_00: 因此，如果大脑死亡，知识也会死亡。
40 00:03:47,819 --> 00:03:52,587 说话人 SPEAKER_02: 我们为什么要担心数字智能取代生物智能？
