1 00:00:16,265 --> 00:00:17,166 演讲者 SPEAKER_01：大家好。
2 00:00:17,185 --> 00:00:23,775 演讲者 SPEAKER_01：我叫梅里克·格特勒，很荣幸担任多伦多大学校长。
3 00:00:25,217 --> 00:00:33,890 演讲者 SPEAKER_01：我们来自世界各地，在线聚集一堂，以表彰和庆祝荣誉大学教授、2024 年诺贝尔物理学奖获得者杰弗里·辛顿。
4 00:00:35,112 --> 00:00:42,423 演讲者 SPEAKER_01：杰夫·辛顿在国际上被誉为人工神经网络和深度学习的先驱，备受尊敬和钦佩。
5 00:00:43,045 --> 00:00:54,959 讲者 SPEAKER_01：他的多学科研究项目不仅与人工智能和机器学习相关，还与物理学、认知心理学、神经生物学、数学优化和信息理论相关。
6 00:00:56,299 --> 00:01:00,164 讲者 SPEAKER_01：Hinton 教授对多个领域和学科产生了深远的影响。
7 00:01:01,045 --> 00:01:04,730 讲者 SPEAKER_01：他实际上创造了一种全新的思考和学习方式。
8 00:01:06,152 --> 00:01:10,436 讲者 SPEAKER_01：他和他的学生开发的算法具有惊人的应用范围。
9 00:01:10,923 --> 00:01:18,777 讲者 SPEAKER_01：他们奠定了数据处理和高级发现能力的基础，这些能力如今被广泛使用，令人惊讶。
10 00:01:18,837 --> 00:01:35,125 讲者 SPEAKER_01：Hinton 教授的基础性贡献及其深远影响，使他获得了全球范围内的广泛学术赞誉和更广泛的公众认可，以至于他经常被称为人工智能的教父。
11 00:01:36,876 --> 00:01:46,832 讲者 SPEAKER_01：Hinton 教授在多伦多大学度过了他杰出的学术生涯中的三十年，2006 年，他被授予大学教授称号，这是我们的最高学术荣誉。
12 00:01:46,912 --> 00:01:53,382 讲者 SPEAKER_01：这很大程度上归功于他的领导力和对年轻学者的典范式指导，
13 00:01:53,566 --> 00:01:57,251 讲者 SPEAKER_01: 多伦多大学已成为机器学习和人工智能领域的全球领导者。
14 00:01:58,031 --> 00:02:09,787 讲者 SPEAKER_01: 这包括人工智能的伦理后果和社会影响，这是一个教授 Hinton 最近提升的话题，帮助世界关注这些重要问题。
15 00:02:11,008 --> 00:02:20,340 讲者 SPEAKER_01: 有幸并非常高兴地介绍荣誉退休大学教授、2024 年诺贝尔物理学奖获得者杰弗里·辛顿教授。
16 00:02:21,001 --> 00:02:22,543 讲者 SPEAKER_01: 辛顿教授，欢迎您。
17 00:02:23,586 --> 00:02:24,307 演讲者 SPEAKER_02: 非常感谢。
18 00:02:25,088 --> 00:02:26,591 演讲者 SPEAKER_02: 我还是有点震惊。
19 00:02:26,931 --> 00:02:29,836 演讲者 SPEAKER_02: 我在加利福尼亚凌晨一点接到电话。
20 00:02:29,876 --> 00:02:33,861 演讲者 SPEAKER_02: 我在考虑是否应该接听。
21 00:02:33,901 --> 00:02:36,344 说话人 SPEAKER_02：幸运的是，我决定看看是谁打的电话。
22 00:02:37,045 --> 00:02:41,513 说话人 SPEAKER_02：我非常惊讶获得了诺贝尔物理学奖。
23 00:02:42,014 --> 00:02:43,276 说话人 SPEAKER_02：我从未想过这件事。
24 00:02:44,377 --> 00:02:53,289 说话人 SPEAKER_02：我认为这个奖项是对一个长期致力于神经网络研究、直到它们真正发挥作用之前一直默默付出的庞大群体的认可。
25 00:02:53,522 --> 00:03:01,096 讲者 SPEAKER_02：我特别想感谢我的两位主要导师，David Rummelhart，我和他一起研究了反向传播算法。
26 00:03:01,897 --> 00:03:07,187 讲者 SPEAKER_02：David 因一种可怕的脑部疾病过早去世，但如果是他而不是我，他现在会在这里。
27 00:03:08,449 --> 00:03:17,825 讲者 SPEAKER_02：还有我的同事 Terry Sanofsky，我在 20 世纪 80 年代与他合作很多，研究玻尔兹曼机，他教会了我很多关于大脑的知识。
28 00:03:17,991 --> 00:03:21,094 讲者 SPEAKER_02：我还想感谢我的学生们。
29 00:03:21,314 --> 00:03:29,141 讲者 SPEAKER_02：我很幸运拥有许多非常聪明的学生，他们比我聪明得多，实际上让事情得以运作。
30 00:03:30,683 --> 00:03:32,945 讲者 SPEAKER_02：他们已经取得了很大的成就。
31 00:03:33,545 --> 00:03:36,849 讲者 SPEAKER_02：我特别自豪的是，我的一个学生让 Sam Altman 下台了。
32 00:03:37,710 --> 00:03:43,134 讲者 SPEAKER_02：我想我最好到此为止，留给提问环节。
33 00:03:43,155 --> 00:03:44,877 讲者 SPEAKER_01: 非常感谢，Geoff。
34 00:03:45,329 --> 00:03:53,015 讲者 SPEAKER_01: 现在我们将接受媒体成员的提问，我邀请我的同事，来自多伦多大学媒体关系团队的 Lisa Pires 来主持我们的问答环节。
35 00:03:53,235 --> 00:03:53,556 讲者 SPEAKER_01: Lisa。
36 00:03:56,278 --> 00:03:57,719 讲者 SPEAKER_00: 谢谢，Gerler 校长。
37 00：03：57,780 --> 00：04：05,045 演讲者 SPEAKER_00：为了确保我们能回答尽可能多的问题，我们将只接受书面问题。
38 00：04：05,086 --> 00：04：15,235 演讲者 SPEAKER_00： 所以，在使用屏幕底部看到的问答框提交问题时，请包括您的姓名和您所属的新闻媒体。
39 00：04：16,007 --> 00：04：18,913 议长 SPEAKER_00：我们现在花点时间让问题进来。
40 00：04：25,343 --> 00：04：26,264 议长 SPEAKER_02：嗯，我们花一分钟时间。
41 00:04:26,283 --> 00:04:36,480 讲者 SPEAKER_02：我想说，我也应该感谢 Joshua Bengio 和 Yann LeCun，他们是我们这个领域的亲密同事，对整个领域的发展起到了非常重要的作用。
42 00:04:46,247 --> 00:04:52,857 讲者 SPEAKER_00：我们在问答框中看到了来自 CTV 国家新闻的 Adrian 提出的问题。
43 00:04:52,958 --> 00:04:58,425 讲者 SPEAKER_00：Adrian，如果你不介意输入你的问题，这将有助于我们回答。
44 00:05:06,076 --> 00:05:07,278 讲者 SPEAKER_00：非常感谢你，Adrian。
45 00:05:07,358 --> 00:05:10,362 说话人 说话人_00: 这是给 Hinton 博士的问题。
46 00:05:10,783 --> 00:05:15,850 说话人 说话人_00: Hinton 博士，您认为您在人工智能领域的遗产会是什么？
47 00:05:17,466 --> 00:05:26,600 说话人 说话人_02: 嗯，我希望人工智能将带来巨大的好处，大幅提高生产力，让每个人的生活都变得更好。
48 00:05:26,980 --> 00:05:29,805 说话人 说话人_02: 我相信它会在医疗保健领域做到这一点。
49 00:05:30,646 --> 00:05:36,053 说话人 SPEAKER_02：嗯，我的担忧是这也可能导致一些不好的事情。
50 00:05:36,795 --> 00:05:45,987 说话人 SPEAKER_02：嗯，特别是当我们创造出比我们自己更智能的东西时，没有人真正知道我们是否能够控制它们。
51 00:05:49,242 --> 00:05:53,588 说话人 SPEAKER_00：下一个问题来自多伦多星报的 Victoria Gibson。
52 00:05:54,470 --> 00:05:56,713 说话人 SPEAKER_00：这是给 Hinton 博士的另一个问题。
53 00:05:56,994 --> 00:06:02,461 讲者 讲者_00: 她问，您现在会如何使用神经网络来改善多伦多这个城市？
54 00:06:08,050 --> 00:06:11,334 讲者 讲者_02: 我不太确定神经网络如何能摆脱道格·福特。
55 00:06:15,870 --> 00:06:19,916 讲者 讲者_00: 好的，我再次从多伦多星报的维多利亚那里得到一个后续问题。
56 00:06:20,358 --> 00:06:27,869 讲者 讲者_00: 她再次问欣顿博士，加拿大研究环境现在与您刚开始时相比有何不同？
57 00:06:28,350 --> 00:06:33,076 说话人 说话人_00：那么，目前加拿大在取得更多研究突破方面最大的障碍是什么？
58 00:06:37,144 --> 00:06:38,225 说话人 说话人_02：让我先想想这个问题。
59 00:06:39,586 --> 00:06:44,595 说话人 说话人_02：显然，一个很大的不同是现在人们认识到神经网络实际上是有用的。
60 00:06:45,283 --> 00:06:47,309 说话人 说话人_02：但大部分的格局还是相似的。
61 00:06:48,091 --> 00:06:57,555 讲者 SPEAKER_02：有一个名为加拿大高级研究学院的机构，对在加拿大优势领域进行研究的人有很大帮助。
62 00:07:00,286 --> 00:07:09,428 我认为加拿大作为研究场所的主要特点是，那里的资金没有美国那么多，但它使用资金非常明智。
