1 00:00:16,129 --> 00:00:17,030 主持人 SPEAKER_01：大家好。
2 00:00:17,050 --> 00:00:23,638 主持人 SPEAKER_01：我叫梅里克·格特勒，很荣幸担任多伦多大学校长。
3 00:00:25,080 --> 00:00:33,752 主持人 SPEAKER_01：我们来自世界各地，在线聚集一堂，以表彰和庆祝荣誉退休教授、2024 年诺贝尔物理学奖获得者杰弗里·辛顿。
4 00:00:34,973 --> 00:00:42,323 主持人 SPEAKER_01：杰弗里·辛顿在国际上被誉为人工神经网络和深度学习的先驱，备受认可和尊敬。
5 00:00:42,909 --> 00:00:54,841 说话人 SPEAKER_01：他的多学科研究项目不仅与人工智能和机器学习相关，还与物理学、认知心理学、神经生物学、数学优化和信息理论相关。
6 00:00:56,164 --> 00:01:00,027 说话人 SPEAKER_01：Hinton 教授对多个领域和学科产生了深远的影响。
7 00:01:00,927 --> 00:01:04,591 说话人 SPEAKER_01：他实际上创造了全新的思考和学习方式。
8 00:01:06,013 --> 00:01:10,317 说话人 SPEAKER_01：他和他的学生开发的算法具有惊人的应用范围。
9 00:01:10,787 --> 00:01:18,641 说话人 SPEAKER_01：他们奠定了数据处理和高级发现能力的基础，这些能力如今被广泛而令人惊讶地使用。
10 00:01:18,701 --> 00:01:34,989 说话人 SPEAKER_01：Hinton 教授的基础性贡献及其深远影响，使他获得了全球范围内的广泛学术赞誉和更广泛的公众认可，以至于他经常被称为人工智能之父。
11 00:01:36,742 --> 00:01:46,706 说话人 SPEAKER_01：Hinton 教授在他辉煌的学术生涯中，有大约三十年是在多伦多大学度过的，他在 2006 年被授予大学教授称号，这是我们的最高学术荣誉。
12 00:01:46,766 --> 00:01:53,180 说话人 SPEAKER_01：这很大程度上归功于他的领导力和对年轻学者的典范式指导，
13 00:01:53,447 --> 00:01:57,114 主持人 SPEAKER_01：多伦多大学已成为机器学习和人工智能领域的全球领导者。
14 00:01:57,894 --> 00:02:09,633 主持人 SPEAKER_01：这包括人工智能的伦理后果和社会影响，这是一个教授 Hinton 最近提升的话题，帮助世界关注这些重要问题。
15 00:02:10,875 --> 00:02:20,209 主持人 SPEAKER_01：我很荣幸和高兴地介绍荣誉退休大学教授、2024 年诺贝尔物理学奖获得者杰弗里·辛顿教授。
16 00:02:20,870 --> 00:02:22,391 主持人 SPEAKER_01：辛顿教授，欢迎您。
17 00:02:23,451 --> 00:02:24,173 说话人 SPEAKER_02: 非常感谢。
18 00:02:24,932 --> 00:02:26,455 说话人 SPEAKER_02: 我还是有点震惊。
19 00:02:26,794 --> 00:02:29,698 说话人 SPEAKER_02: 我在加利福尼亚凌晨一点接到电话。
20 00:02:30,557 --> 00:02:33,721 说话人 SPEAKER_02: 我想过是否该接这个电话。
21 00:02:33,760 --> 00:02:36,183 说话人 SPEAKER_02：幸运的是，我决定看看是谁打的电话。
22 00:02:36,903 --> 00:02:41,367 说话人 SPEAKER_02：我非常惊讶获得了诺贝尔物理学奖。
23 00:02:41,868 --> 00:02:43,129 说话人 SPEAKER_02：我从未想过这件事。
24 00:02:44,230 --> 00:02:53,239 说话人 SPEAKER_02：我认为这个奖项是对一个长期致力于神经网络研究、最终取得显著成果的庞大团队的认可。
25 00:02:53,388 --> 00:03:00,956 主持人 SPEAKER_02：我特别想感谢我的两位主要导师，大卫·鲁梅哈特，我和他一起研究了反向传播算法。
26 00:03:01,758 --> 00:03:07,044 主持人 SPEAKER_02：大卫因一种可怕的脑部疾病过早去世，但如果是那样，他现在应该在这里而不是我。
27 00:03:07,084 --> 00:03:17,556 主持人 SPEAKER_02：还有我的同事，特里·桑诺夫斯基，我在 20 世纪 80 年代与他合作了很多，研究玻尔兹曼机，他教会了我很多关于大脑的知识。
28 00:03:17,872 --> 00:03:20,957 主持人 SPEAKER_02：我还想感谢我的学生们。
29 00:03:21,177 --> 00:03:28,991 说话人 SPEAKER_02：我很幸运，有很多非常聪明的学生，他们比我聪明得多，实际上让事情得以运作。
30 00:03:30,552 --> 00:03:32,796 说话人 SPEAKER_02：他们已经取得了很大的成就。
31 00:03:33,437 --> 00:03:36,723 说话人 SPEAKER_02：我特别自豪的是，我的一个学生解雇了 Sam Altman。
32 00:03:37,604 --> 00:03:43,014 说话人 SPEAKER_02：我想我最好到此为止，留给提问环节。
33 00:03:43,033 --> 00:03:44,556 主持人 SPEAKER_01: 非常感谢，Geoff。
34 00:03:45,193 --> 00:03:52,883 主持人 SPEAKER_01: 现在我们将接受媒体成员的提问，我邀请我的同事，来自多伦多大学媒体关系团队的 Lisa Pires 来主持我们的问答环节。
35 00:03:53,084 --> 00:03:53,425 主持人 SPEAKER_01: Lisa。
36 00:03:56,147 --> 00:03:57,590 主持人 SPEAKER_00: 谢谢，Gerler 校长。
37 00:03:57,610 --> 00:04:04,919 主持人：为确保我们能回答尽可能多的问题，我们只接受书面提问。
38 00:04:04,960 --> 00:04:15,133 主持人：请在提交问题时，在屏幕底部出现的问答框中包含您的姓名和您所属的新闻机构。
39 00:04:15,872 --> 00:04:18,798 主持人：现在我们留出一分钟时间接收问题。
40 00:04:25,189 --> 00:04:26,110 主持人02：我们留出一分钟时间。
41 00:04:26,151 --> 00:04:36,327 说话人 SPEAKER_02：我想说，我也应该感谢 Joshua Bengio 和 Yann LeCun，他们是我的亲密同事，在发展这个领域方面发挥了非常重要的作用。
42 00:04:46,112 --> 00:04:52,721 说话人 SPEAKER_00：我们在问答框中看到了来自 CTV 国家新闻的 Adrian 提出的问题。
43 00:04:52,822 --> 00:04:58,288 说话人 SPEAKER_00：Adrian，如果你不介意输入你的问题，这将有助于我们回答。
44 00:05:05,939 --> 00:05:07,120 说话人 SPEAKER_00：非常感谢你，Adrian。
45 00:05:07,221 --> 00:05:10,225 说话人 SPEAKER_00: 这是一个问题要问 Hinton 博士。
46 00:05:10,644 --> 00:05:15,732 说话人 SPEAKER_00: Hinton 博士，您认为您在人工智能领域的遗产会是什么？
47 00:05:17,331 --> 00:05:26,463 说话人 SPEAKER_02: 我希望人工智能将带来巨大的好处，大幅提高生产力，让每个人的生活都变得更好。
48 00:05:26,845 --> 00:05:29,668 说话人 SPEAKER_02: 我坚信它会在医疗保健领域做到这一点。
49 00:05:30,589 --> 00:05:35,916 说话人 SPEAKER_02：我的担忧是它也可能导致不好的事情发生。
50 00:05:36,677 --> 00:05:45,870 说话人 SPEAKER_02：尤其是当我们拥有比我们自己更智能的东西时，没有人真的知道我们是否能够控制它们。
51 00:05:49,107 --> 00:05:53,454 说话人 SPEAKER_00：下一个问题来自多伦多星报的 Victoria Gibson。
52 00:05:54,336 --> 00:05:56,581 说话人 SPEAKER_00：这是另一个问题，是给 Hinton 博士的。
53 00:05:56,862 --> 00:06:02,331 说话人 SPEAKER_00: 她问，您现在会如何使用神经网络来改善多伦多这个城市？
54 00:06:07,923 --> 00:06:11,149 说话人 SPEAKER_02: 我不太确定神经网络如何能摆脱道格·福特。
55 00:06:15,735 --> 00:06:19,779 说话人 SPEAKER_00: 好的，维多利亚在《多伦多星报》的跟进提问。
56 00:06:20,220 --> 00:06:27,726 说话人 SPEAKER_00: 她再次问希顿博士，加拿大研究环境现在与您刚开始时相比有何不同？
57 00:06:28,208 --> 00:06:32,932 说话人 说话人_00：那么，加拿大今天在实现更多研究突破方面最大的障碍是什么？
58 00:06:36,995 --> 00:06:38,076 说话人 说话人_02：让我先想想这个问题。
59 00:06:39,437 --> 00:06:44,442 说话人 说话人_02：显然，一个很大的不同是现在人们认识到神经网络实际上是可以工作的。
60 00:06:45,165 --> 00:06:47,170 说话人 说话人_02：但大部分的格局还是相似的。
61 00:06:47,209 --> 00:06:56,007 有一位名叫加拿大高级研究院的组织，对在加拿大优势领域进行研究的人们提供了很大帮助。
62 00:06:57,048 --> 00:07:06,245 我认为加拿大作为研究场所的主要特点是没有像美国那么多的资金。
63 00:07:06,665 --> 00:07:09,267 但它使用资金非常明智。
64 00:07:09,367 --> 00:07:34,495 尤其是这种研究的主要资助机构，称为 NSERC，它用钱进行基础的好奇心驱动研究，所有这些先进的神经网络都是从基础的好奇心驱动研究中产生的，而不是从向应用问题砸钱中产生的，而是让科学家们跟随他们的好奇心去尝试理解事物。
65 00:07:35,774 --> 00:07:37,156 说话人 SPEAKER_02：加拿大在这方面做得相当不错。
66 00:07:40,500 --> 00:07:40,860 说话人 SPEAKER_00：谢谢。
67 00:07:40,922 --> 00:07:45,908 说话人 SPEAKER_00：下一个问题来自法新社的伊萨姆·阿赫迈德。
68 00:07:46,550 --> 00:07:48,031 说话人 SPEAKER_00：他们说，恭喜。
