1 00:00:00,031 --> 00:00:05,157 说话人 SPEAKER_00：我所认识的几乎所有 AI 专家都认为它们将超越人类智能。
2 00:00:05,176 --> 00:00:06,158 说话人 SPEAKER_00：这只是个时间问题。
3 00:00:06,799 --> 00:00:14,246 说话人 SPEAKER_00：在 5 到 20 年之间，大约有一半的概率我们将不得不面对它们试图接管的问题。
4 00:00:16,109 --> 00:00:23,236 说话人 SPEAKER_01：我先问 Geoffrey Inton 是否认为世界正在开始应对这个问题，还是他仍然像以前一样担忧。
5 00:00:24,161 --> 00:00:28,109 说话人 SPEAKER_00：我仍然像以前一样担忧，但我非常高兴世界开始认真对待这个问题。
6 00:00:28,890 --> 00:00:37,567 说话人 SPEAKER_00：特别是，他们开始认真对待这种存在性威胁，即这些事物会变得比我们聪明，我们必须担心它们是否会想要从我们手中夺取控制权。
7 00:00:38,027 --> 00:00:41,515 说话人 SPEAKER_00：这是我们应当认真思考的问题，现在人们开始认真对待这个问题了。
8 00:00:41,554 --> 00:00:43,639 说话人 SPEAKER_00：几年前，他们还认为这只是科幻小说。
9 00:00:43,618 --> 00:00:53,350 说话人 SPEAKER_01：从您的角度来看，您在这个领域的顶端工作，并参与开发了支撑我们看到的 AI 爆炸性发展的理论，这种存在性威胁是真实存在的吗？
10 00:00:54,310 --> 00:00:54,551 说话人 SPEAKER_00：是的。
11 00:00:55,131 --> 00:00:57,715 说话人 SPEAKER_00：所以有些人认为这些事物实际上并不理解。
12 00:00:57,734 --> 00:00:59,057 说话人 SPEAKER_00：他们与我们非常不同。
13 00:00:59,417 --> 00:01:01,198 说话人 SPEAKER_00：他们只是使用了一些统计技巧。
14 00:01:01,859 --> 00:01:02,680 说话人 SPEAKER_00：事实并非如此。
15 00:01:03,942 --> 00:01:06,284 说话人 SPEAKER_00：例如，这些大型语言模型，
16 00:01:06,265 --> 00:01:10,969 说话人 SPEAKER_00：早期的研究是将大脑理解语言的理论。
17 00:01:10,989 --> 00:01:14,914 说话人 SPEAKER_00：这是你们目前拥有的关于大脑理解语言的最佳理论。
18 00:01:15,453 --> 00:01:21,519 说话人 SPEAKER_00：我们也不太清楚它们是如何工作的，或者大脑是如何详细工作的，但我们认为它们可能以相当相似的方式工作。
19 00:01:21,941 --> 00:01:23,561 说话人 SPEAKER_00：是什么引起了你的担忧？
20 00:01:24,043 --> 00:01:25,524 说话人 SPEAKER_00: 这是由两件事结合而成的。
21 00:01:26,325 --> 00:01:32,391 说话人 SPEAKER_00: 所以，玩大型聊天机器人，尤其是谷歌在 GPT-4 之前的那个，还有 GPT-4。
22 00:01:32,370 --> 00:01:34,436 说话人 SPEAKER_00: 它们显然非常能干。
23 00:01:34,456 --> 00:01:35,659 说话人 SPEAKER_00: 它们显然理解很多。
24 00:01:35,759 --> 00:01:38,084 说话人 SPEAKER_00：它们的知识比任何人都多。
25 00:01:38,525 --> 00:01:40,751 说话人 SPEAKER_00：它们就像一个在几乎所有事情上都不太好的专家。
26 00:01:41,914 --> 00:01:43,037 说话人 SPEAKER_00：所以这是第一个担忧。
27 00:01:43,378 --> 00:01:46,245 说话人 SPEAKER_00：第二个是理解
28 00:01:46,799 --> 00:01:59,114 说话者 SPEAKER_00：它们之所以是更高级的智能形式，是因为你可以复制相同的神经网络，每个副本可以查看不同的数据，然后它们可以共享所学到的知识。
29 00:01:59,814 --> 00:02:09,506 说话者 SPEAKER_00：想象一下，如果我们有 10,000 人，他们都可以去攻读一个学位，他们可以高效地分享所学，那么我们每个人都会有 10,000 个学位。
30 00:02:10,426 --> 00:02:11,949 说话者 SPEAKER_00：那时我们就知道很多了。
31 00:02:11,968 --> 00:02:16,754 说话者 SPEAKER_00：我们无法像相同的神经网络的副本那样高效地分享知识。
32 00:02:17,191 --> 00:02:24,745 说话人 SPEAKER_01: 好吧，这里的关键问题是它可能会超过人类智能，甚至超过人类智能的总量。
33 00:02:24,865 --> 00:02:27,911 说话人 SPEAKER_00: 很少有专家对此表示怀疑。
34 00:02:28,372 --> 00:02:33,662 说话人 SPEAKER_00: 我认识的几乎所有 AI 专家都认为它们将超过人类智能。
35 00:02:33,722 --> 00:02:34,764 说话人 SPEAKER_00: 这只是一个时间问题。
36 00:02:35,104 --> 00:02:38,912 说话人 SPEAKER_01：到那时，控制它们真的非常困难。
37 00:02:39,348 --> 00:02:40,188 说话人 SPEAKER_00：嗯，我们不知道。
38 00:02:40,248 --> 00:02:42,432 说话人 SPEAKER_00：我们以前从未遇到过这种情况。
39 00:02:42,772 --> 00:02:46,558 说话人 SPEAKER_00：有一些专家，比如我的朋友 Yann LeCun，他们认为这没问题。
40 00:02:46,658 --> 00:02:47,520 说话人 SPEAKER_00: 我们会给他们目标。
41 00:02:47,560 --> 00:02:48,221 说话人 SPEAKER_00: 没问题。
42 00:02:48,241 --> 00:02:48,961 说话人 SPEAKER_00: 他们会按照我们说的做。
43 00:02:49,383 --> 00:02:50,465 说话人 SPEAKER_00: 他们会服从我们。
44 00:02:52,687 --> 00:02:55,532 说话人 SPEAKER_00：有其他专家认为他们绝对会掌握控制权。
45 00:02:56,233 --> 00:03:00,900 说话人 SPEAKER_00：鉴于这种广泛的意见，我认为谨慎行事是明智的。
46 00:03:00,879 --> 00:03:06,054 说话人 SPEAKER_00：我认为他们有可能掌握控制权，这是一个很大的可能性，不是 1%，而是更多。
47 00:03:06,575 --> 00:03:12,391 说话人 SPEAKER_01：他们不能在某些领域，比如科学研究，而不是，例如，军队中，被控制吗？
48 00:03:13,317 --> 00:03:22,915 说话人 SPEAKER_00：也许吧，但实际上如果你看看所有现行立法，包括欧洲立法，其中都有一个小条款，即所有这些都不适用于军事应用。
49 00:03:23,556 --> 00:03:27,185 说话人 SPEAKER_00：政府不愿意限制自己在国防方面的使用。
50 00:03:28,347 --> 00:03:30,972 说话人 SPEAKER_01：有一些证据
51 00:03:30,951 --> 00:03:36,758 说话人 SPEAKER_01：甚至在当前冲突中，AI 在生成成千上万的目标方面的应用也得到了证实。
52 00:03:37,098 --> 00:03:37,938 说话人 SPEAKER_01: 是的。
53 00:03:37,959 --> 00:03:40,542 说话人 SPEAKER_01: 我的意思是，自从你开始警告 AI 以来，这种情况已经发生了。
54 00:03:40,662 --> 00:03:42,864 说话人 SPEAKER_01: 这是不是你担心的那种途径？
55 00:03:42,883 --> 00:03:44,586 说话人 SPEAKER_00: 我的意思是，这是破晓的边缘。
56 00:03:45,126 --> 00:03:49,591 说话人 SPEAKER_00：我最关心的是这些事物能否自主决定杀人。
57 00:03:50,852 --> 00:03:51,973 说话人 SPEAKER_00：所以是机器人士兵。
58 00:03:52,394 --> 00:03:52,593 说话人 SPEAKER_01：是的。
59 00:03:53,314 --> 00:03:54,915 说话人 SPEAKER_01：这些都很常见。
60 00:03:54,936 --> 00:03:55,456 说话人 SPEAKER_01: 类似于这样的。
61 00:03:55,437 --> 00:04:02,887 说话人 SPEAKER_00: 可能我们可以得到类似日内瓦公约来规范它们，但我认为这将在非常糟糕的事情发生后才会发生。
62 00:04:03,168 --> 00:04:14,743 说话人 SPEAKER_01: 这里有一个类比，与曼哈顿计划以及奥本海默，如果我们自己限制在 G7 和先进民主国家不用于军事，那么中国和俄罗斯正在发生什么？
63 00:04:15,085 --> 00:04:17,408 说话人 SPEAKER_00: 是的，这必须是一个国际协议。
64 00:04:17,427 --> 00:04:18,930 说话人 SPEAKER_00：但是如果你看看化学武器，
65 00:04:19,619 --> 00:04:22,583 说话人 SPEAKER_00：化学武器国际公约运作得相当好。
66 00:04:23,122 --> 00:04:26,947 说话人 SPEAKER_01：你对像俄罗斯这样的地方是否已经摆脱了束缚有什么感觉吗？
67 00:04:27,247 --> 00:04:31,413 说话人 SPEAKER_00：普京几年前说过，谁控制了人工智能，谁就控制了世界。
68 00:04:32,254 --> 00:04:34,197 说话人 SPEAKER_00：我想他们一定非常努力。
69 00:04:34,617 --> 00:04:38,581 说话人 SPEAKER_00：幸运的是，西方在研究上可能比他们领先。
70 00:04:40,403 --> 00:04:44,928 说话人 SPEAKER_00：我们可能仍然略领先于中国，但中国正在投入更多资源。
71 00:04:45,750 --> 00:04:49,574 说话人 SPEAKER_00：至于军事用途的 AI，我认为将会有一场竞赛。
72 00:04:49,622 --> 00:04:57,896 说话人 SPEAKER_01：听起来非常理论化，但如果你顺着这个论点，这个论点线索追踪下去，你真的会非常担心灭绝级事件。
73 00:04:58,697 --> 00:05:00,701 说话人 SPEAKER_00：所以我们应该区分这些不同的风险。
74 00:05:01,262 --> 00:05:06,329 说话人 SPEAKER_00：使用 AI 进行自主致命性武器的风险并不取决于 AI 比我们更聪明。
75 00:05:06,992 --> 00:05:11,738 说话人 SPEAKER_00：这是一个与 AI 本身会变得反叛并试图接管的风险完全不同的风险。
76 00:05:12,440 --> 00:05:13,482 说话人 SPEAKER_00：我对这两件事都感到担忧。
77 00:05:13,843 --> 00:05:16,406 说话人 SPEAKER_00：自主武器显然将会到来。
78 00:05:16,387 --> 00:05:21,875 说话人 SPEAKER_00：至于 AI 是否会失控并试图接管，这是我们可能能够控制也可能无法控制的事情，我们不知道。
79 00:05:21,915 --> 00:05:30,247 说话人 SPEAKER_00：因此，在它变得比我们更聪明之前，我们应该投入大量资源来了解我们是否能够控制它。
80 00:05:30,809 --> 00:05:33,091 说话人 SPEAKER_01：您认为哪种社会正在演变？
81 00:05:33,293 --> 00:05:36,076 说话人 SPEAKER_01：哪些工作还会存在？
82 00:05:36,858 --> 00:05:43,288 说话人 SPEAKER_00：是的，我对 AI 接管大量枯燥的工作非常担忧。
83 00:05:43,387 --> 00:05:45,851 说话人 SPEAKER_00：这应该是个好事。
