1 00:00:02,478 --> 00:00:04,120 说话人 SPEAKER_01：让我检查一下它是否可以点击通过。
2 00:00:04,500 --> 00:00:05,621 说话人 SPEAKER_01：你现在能看到下一张幻灯片了吗？
3 00:00:05,801 --> 00:00:05,982 说话人 SPEAKER_02：是的。
4 00:00:06,261 --> 00:00:07,442 说话人 SPEAKER_02：我们在这里看到了下一张幻灯片。
5 00:00:08,023 --> 00:00:08,484 说话人 SPEAKER_02：完美。
6 00:00:08,624 --> 00:00:08,864 演讲者 SPEAKER_02: 好吧。
7 00:00:08,923 --> 00:00:09,884 演讲者 SPEAKER_02: 谢谢，Hinton 博士。
8 00:00:09,965 --> 00:00:11,106 演讲者 SPEAKER_02: 扎克，请随意去掉。
9 00:00:11,606 --> 00:00:12,028 演讲者 SPEAKER_02: 很好。
10 00:00:12,048 --> 00:00:12,628 演讲者 SPEAKER_02：我会把它拿掉。
11 00:00:13,249 --> 00:00:17,312 演讲者 SPEAKER_06：我认为在所有演讲者中，Hinton 博士不需要介绍。
12 00:00:20,556 --> 00:00:20,835 演讲者 SPEAKER_01：很好。
13 00:00:20,896 --> 00:00:21,797 说话人 SPEAKER_06：我可以开始讲话了吗？
14 00:00:22,417 --> 00:00:23,498 演讲者 SPEAKER_01: 是的，你可以开始讲话。
15 00:00:24,339 --> 00:00:25,100 演讲者 SPEAKER_01: 好的，很好。
16 00:00:25,120 --> 00:00:25,501 演讲者 SPEAKER_01: 好的。
17 00:00:25,521 --> 00:00:28,103 演讲者 SPEAKER_01: 所以今天我要讲一些不同寻常的事情。
18 00:00:28,123 --> 00:00:31,286 说话人 SPEAKER_01：我将要谈论 Hopfield 网络和玻尔兹曼机。
19 00:00:31,638 --> 00:00:33,119 说话人 SPEAKER_01：这些最近变得热门。
20 00:00:34,142 --> 00:00:39,929 说话人 SPEAKER_01：这些是神经网络历史上的事物，现在从事神经网络的大多数人都不了解。
21 00:00:39,950 --> 00:00:46,279 说话人 SPEAKER_01：所以，我可以假设你对它们一无所知，但你确实对机器学习和神经网络有所了解。
22 00:00:47,381 --> 00:00:47,661 说话人 SPEAKER_01：好的。
23 00:00:49,444 --> 00:00:58,557 说话人 SPEAKER_01：所以，约翰·霍普菲尔德发明了被称为霍普菲尔德网络的东西，霍普菲尔德网络由具有它们之间循环连接的二进制阈值单元组成。
24 00:00:59,954 --> 00:01:04,001 说话人 SPEAKER_01：现在，一般来说，当你有一个循环网络时，它可以表现出各种不同的行为。
25 00:01:04,481 --> 00:01:08,629 说话人 SPEAKER_01：它可以稳定下来，它可以振荡，它可以变得混沌，所以你无法预测它会做什么。
26 00:01:09,590 --> 00:01:15,602 说话人 SPEAKER_01：但是 Hopfield 意识到，如果你使这种连接对称，那么就有一个全局能量函数。
27 00:01:16,082 --> 00:01:19,147 说话人 SPEAKER_01：并且连接的对称性等同于牛顿第三定律。
28 00:01:19,168 --> 00:01:21,992 说话人 SPEAKER_01：这相当于说作用力和反作用力大小相等，方向相反。
29 00:01:22,414 --> 00:01:24,257 说话人 SPEAKER_01：这就是全局能量函数所需要的。
30 00:01:26,481 --> 00:01:29,906 演讲者 SPEAKER_01：现在整个网络的每个二进制配置都有一个能量。
31 00:01:30,168 --> 00:01:35,995 演讲者 SPEAKER_01：我所说的二进制配置是指将所有神经元的值分配为 1 和 0。
32 00:01:36,918 --> 00:01:37,838 演讲者 SPEAKER_01：这就是一种配置。
33 00:01:39,781 --> 00:01:47,534 说话人 SPEAKER_01：二值阈值决策规则将使单元采用最小化能量的任何状态。
34 00:01:49,957 --> 00:01:53,602 说话人 SPEAKER_01：如果我们有一大堆神经元，
35 00:01:54,275 --> 00:01:57,257 说话人 SPEAKER_01：存在一个能量函数，它是许多不同贡献的总和。
36 00:01:57,698 --> 00:02:01,262 说话人 SPEAKER_01：这个能量函数将控制网络稳定下来时会发生什么。
37 00:02:02,644 --> 00:02:07,709 说话人 SPEAKER_01：所以能量函数有一个与单个神经元偏差有关的项。
38 00:02:07,728 --> 00:02:08,729 说话人 SPEAKER_01：我们先忽略这个。
39 00:02:09,431 --> 00:02:12,454 说话人 SPEAKER_01：然后主要术语涉及到神经元之间的交互。
40 00:02:13,455 --> 00:02:20,282 说话人 SPEAKER_01：因此第二个术语表示神经元 i 和神经元 j 之间存在一个权重 ij。
41 00:02:21,241 --> 00:02:24,425 说话人 SPEAKER_01：这就是那两个神经元的两种状态，要么是一，要么是零。
42 00:02:25,606 --> 00:02:29,954 说话人 SPEAKER_01：所以，只有当两个神经元都处于激活状态时，第二个项才会发挥作用。
43 00:02:30,715 --> 00:02:38,186 说话人 SPEAKER_01：如果两个神经元都处于激活状态，它们之间的权重就会对负能量做出贡献，或者我称之为“良好度”。
44 00:02:39,307 --> 00:02:46,358 说话人 SPEAKER_01：因此，良好的状态是指那些具有大量具有大权重的单元对的状况，这些单元对之间具有大的正权重。
45 00:02:46,377 --> 00:02:48,260 说话者 SPEAKER_01：我们先忽略偏差项。
46 00:02:50,856 --> 00:03:01,748 说话者 SPEAKER_01：所以这个二次能量函数使得每个神经元都能知道它对全局的贡献，以及它的状态对全局能量的贡献。
47 00:03:02,850 --> 00:03:17,387 说话者 SPEAKER_01：对于神经元 I，它会有一个我称之为能量间隙的概念，即在关闭神经元 I 的情况下，整个网络的能量减去在开启神经元 I 的情况下整个网络的能量，给定所有其他神经元的状态。
48 00:03:17,974 --> 00:03:20,337 说话者 SPEAKER_01：这就是神经元的能量间隙。
49 00:03:20,358 --> 00:03:22,801 说话人 SPEAKER_01：这就是随着神经元状态的改变，能量的变化。
50 00:03:23,842 --> 00:03:33,276 说话人 SPEAKER_01：这个能量间隙正是神经元 i 的偏置加上来自其他所有神经元 j 的连接权重之和。
51 00:03:34,016 --> 00:03:37,021 说话人 SPEAKER_01：这当然就是二进制阈值神经元所计算的内容。
