1 00:00:05,498 --> 00:00:06,259 演讲者 演讲者_00: 下午好。
2 00:00:06,299 --> 00:00:09,743 演讲者 演讲者_00: 我叫 Sylvia Schvag-Serger。
3 00:00:10,044 --> 00:00:26,166 演讲者 演讲者_00: 我是相对新任命的瑞典皇家工程科学院院长，我很高兴下午能欢迎您参加这次由诺贝尔物理学奖获得者，霍金顿教授主持的研讨会。
4 00:00:26,365 --> 00:00:26,966 演讲者 演讲者_00: 欢迎光临。
5 00:00:34,000 --> 00:00:41,265 讲者 SPEAKER_00：我之前有幸与他有过简短交谈，我认为你们将度过一个非常有趣的时光。
6 00:00:41,606 --> 00:00:42,046 讲者 SPEAKER_00：希望如此。
7 00:00:44,029 --> 00:00:54,218 讲者 SPEAKER_00：在请 Hinton 教授上台并发表开场白之前，我想说几句话。
8 00:00:54,457 --> 00:01:02,725 讲者 SPEAKER_00：我是经济历史学教授，作为一名经济历史学教授，我研究过技术变革。
9 00:01:03,329 --> 00:01:12,158 演讲者 SPEAKER_00：人工智能作为数字化的部分和延伸，但它在人类历史的大技术变革中绝对是一个。
10 00:01:13,560 --> 00:01:17,784 演讲者 SPEAKER_00：当我们处理技术变革时，它会产生很多后果。
11 00:01:18,766 --> 00:01:33,200 演讲者 SPEAKER_00：我还会争辩，当这些技术变革与，例如，日益严重的气候危机、地缘政治紧张和民主的侵蚀同时发生时，
12 00:01:33,180 --> 00:01:38,179 演讲者 SPEAKER_00：那么你可能会在糟糕的一天称之为一种有毒鸡尾酒。
13 00:01:39,221 --> 00:01:41,685 讲者 SPEAKER_00: 但今天我们不是来讨论这个的。
14 00:01:41,765 --> 00:01:49,433 讲者 SPEAKER_00: 我们在这里是为了讨论如何以建设性、积极主动和成功的方式处理我们今天所面临的问题。
15 00:01:50,453 --> 00:01:55,500 讲者 SPEAKER_00: 如果允许，我想就我曾是其中一员的瑞典政府 AI 委员会说几句话。
16 00:01:55,540 --> 00:02:05,870 讲者 SPEAKER_00: 我们在过去九个月里准备了一份报告，与数百人进行了交谈，上周我们将我们的报告提交给了瑞典政府。
17 00:02:05,850 --> 00:02:13,098 说话人 SPEAKER_00: 这份报告，就像许多其他国家的报告一样，与其他国家的 AI 战略有一些相似之处。
18 00:02:13,840 --> 00:02:21,729 说话人 SPEAKER_00: 它试图提出如何提高计算能力、如何推动科学、如何促进创新和竞争力的建议。
19 00:02:22,610 --> 00:02:30,558 说话人 SPEAKER_00: 但 AI 委员会报告中也有一些方面，我认为与其他国家的 AI 战略或 AI 委员会报告略有不同。
20 00:02:31,889 --> 00:02:44,902 说话人 SPEAKER_00: 其中之一是我们雄心勃勃的目标，我希望在报告中体现出来，那就是让瑞典人民和民众对这项技术拥有自主权。
21 00:02:45,484 --> 00:02:47,885 讲者 SPEAKER_00: 这是我们报告中的一个重要强调点。
22 00:02:48,826 --> 00:03:01,760 讲者 SPEAKER_00: 这与今年诺贝尔经济学奖得主的信息非常一致，他们谈论的是如何利用技术力量为善而建立包容性机构。
23 00:03:03,715 --> 00:03:26,382 讲者 SPEAKER_00: 此外，这也是我认为它与其他国家在人工智能方面的方法或抱负略有不同之处，它提出了非常强烈的信息和建议，关于我们如何加强公共部门以提供更好的公共服务，以及公共部门实际上也可以成为人工智能的推动者，而不仅仅是迟到的采用者。
24 00:03:27,644 --> 00:03:35,018 讲者 SPEAKER_00: 因此，我认为这两点使瑞典在人工智能方面与其他国家的方法有所不同。
25 00:03:35,659 --> 00:03:42,813 讲者 SPEAKER_00: 正如我所说，我认为这与我们从诺贝尔经济学奖得主那里得到的消息非常一致。
26 00:03:43,655 --> 00:03:44,978 讲者 SPEAKER_00: 然而，
27 00:03:44,957 --> 00:03:47,200 讲者 SPEAKER_00: 这是我晚上难以入睡的事情。
28 00:03:48,062 --> 00:04:14,020 讲者 SPEAKER_00: 如果我们相信人们的能动性或人们对技术的能动性以及包容性机构对于确保积极的技术、为善的技术发展至关重要，那么当出现不相信机构的政府和领导人，世界领导人时，我们该怎么办？
29 00:04:17,053 --> 00:04:23,487 讲者 SPEAKER_00：部分地，也许，他们不相信机构，因为这些机构并没有像它们应该的那样具有包容性。
30 00:04:24,108 --> 00:04:25,932 讲者 SPEAKER_00：所以我认为这是我们必须考虑的一点。
31 00:04:26,291 --> 00:04:36,252 讲者 SPEAKER_00：但这是一个问题，我认为我们正在见证的，不仅仅是民主的侵蚀，而且与之相伴的是对机构的信念的侵蚀。
32 00:04:37,795 --> 00:04:38,656 讲者 SPEAKER_00：其次，
33 00：04：40,173 --> 00：04：47,802 演讲者 SPEAKER_00：在一个目睹国际合作信念下降的世界里，我们该怎么办？
