1 00:00:00,031 --> 00:00:01,252 说话人 SPEAKER_02: Jeff，欢迎。
2 00:00:01,433 --> 00:00:03,214 说话人 SPEAKER_02: 我们非常高兴今天能邀请您来。
3 00:00:03,314 --> 00:00:09,042 说话人 SPEAKER_02: 我们与世界上一些最大公司的 HR 负责人齐聚一堂。
4 00:00:09,202 --> 00:00:12,586 说话人 SPEAKER_02: 我们试图弄清楚人工智能。
5 00:00:13,348 --> 00:00:15,590 说话人 SPEAKER_02：我们真的很想知道未来会是什么样子。
6 00:00:16,172 --> 00:00:19,356 说话人 SPEAKER_02：但为了理解这一点，我想回顾一下过去。
7 00:00:19,335 --> 00:00:35,604 说话人 SPEAKER_02：如果我们回顾到，比如说，2010 年左右，那么大约 15 年前，如果你尝试去，你知道的，Geoffrey Hinton 在 2010 年的预测，你对进步速度的预测是过于乐观还是过于悲观？
8 00:00:36,485 --> 00:00:38,609 说话人 SPEAKER_02：从那时起，这个领域是如何发展的？
9 00:00:39,399 --> 00:00:41,384 说话人 SPEAKER_00: 所以稍后再问我关于 2016 的事情。
10 00:00:43,508 --> 00:00:57,375 说话人 SPEAKER_00: 所以我认为，如果你在 2010 年问那些甚至相当热情、相信神经网络的人，我们现在会达到什么程度，他们不会相信我们会拥有像 GPT-4 这样的东西。
11 00:00:57,490 --> 00:01:06,060 说话人 SPEAKER_00: 他们会说，不，在接下来的 14 年里，你们不可能开发出对任何事情都精通的东西。
12 00:01:06,980 --> 00:01:08,843 说话人 SPEAKER_00: 不是一个很好的专家，但是对任何事情都精通的专家。
13 00:01:08,864 --> 00:01:24,121 说话人 SPEAKER_00: 你不可能拥有一个系统，你可以问任何你想问的问题，无论是关于英国税法的某个晦涩的问题，还是关于如何解方程的某个奇怪问题，它都能给出一个相当不错的答案，一个比 99%的人给出的答案都要好的答案。
14 00:01:25,721 --> 00:01:27,885 说话人 SPEAKER_00: 这太惊人了，我们无法预测到这一点。
15 00:01:28,989 --> 00:01:32,856 说话人 SPEAKER_02: 所以进步的速度比你预期的要快。
16 00:01:33,477 --> 00:01:33,798 说话人 SPEAKER_00: 是的。
17 00:01:33,819 --> 00:01:34,680 说话人 SPEAKER_02：你能分享更多吗？
18 00:01:35,100 --> 00:01:40,070 说话人 SPEAKER_02：作为该领域的主要研究人员之一，体验这个过程是怎样的？看着它加速发展是什么感觉？
19 00:01:40,090 --> 00:01:45,822 说话人 SPEAKER_00：这太令人惊叹了，因为在 80 年代，当 Rommelhart
20 00:01:45,921 --> 00:01:51,028 说话人 SPEAKER_00：重新发明了反向传播算法，他重新发现了它，我和他一起合作将其用于其他事物。
21 00:01:51,650 --> 00:01:55,293 说话者 说话者_00：起初我们认为这可以解决一切问题。
22 00:01:55,754 --> 00:02:00,320 说话者 说话者_00：我们得到了一种可以学习的，而且似乎没有限制。
23 00:02:00,340 --> 00:02:03,945 说话者 说话者_00：然后我们非常失望，我们不明白为什么它没有工作得更好。
24 00:02:04,727 --> 00:02:11,096 说话者 说话者_00：部分原因是架构问题，大约30年来，我们使用了一种看起来像这样的输入-输出函数，而我们应该使用一种看起来像这样的函数。
25 00:02:12,877 --> 00:02:14,460 说话人 SPEAKER_00: 太疯狂了。
26 00:02:15,772 --> 00:02:29,371 说话人 SPEAKER_00: 但主要是规模问题，我们当时根本不明白这个想法只有在拥有大量连接和大量训练数据以及巨大的计算能力时才能真正发挥其作用。
27 00:02:30,111 --> 00:02:31,413 说话人 SPEAKER_00: 所以我们当时做不到。
28 00:02:31,473 --> 00:02:39,525 说话人 SPEAKER_00: 如果当时我们说，是的，但如果我们把它放大一百万倍，并拥有百万倍的数据，它真的会起作用，那听起来就像一个可怜的借口。
29 00:02:40,164 --> 00:02:41,426 说话人 说话人_00: 但结果证明这是真的。
30 00:02:41,407 --> 00:02:42,388 说话人 说话人_02: 这很令人着迷。
31 00:02:42,829 --> 00:02:52,641 说话人 说话人_02: 所以我们之前讨论的一个问题是，如果我们使用“下一个词预测”这个术语，那么大型语言模型所做的事情被低估了。
