1 00:00:01,110 --> 00:00:02,753 说话人 SPEAKER_05：我们将迎来超级智能。
2 00:00:03,193 --> 00:00:07,841 说话人 SPEAKER_05：这不是炒作，也不是为了分散人们对人工智能其他问题的注意力。
3 00:00:08,340 --> 00:00:10,263 说话人 SPEAKER_05：这是我们长期以来所坚信的。
4 00:00:10,523 --> 00:00:14,050 说话人 SPEAKER_05：我认为在 5 到 20 年内，我们将得到类似超级智能的东西。
5 00:00:14,589 --> 00:00:19,236 说话人 说话人_00: 人工智能将是人类有史以来最强大，如果不是最强大的技术之一。
6 00:00:19,718 --> 00:00:23,722 说话人 说话人_00: 我们必须非常认真地对待这些风险，而且我们没有太多时间进行研究。
7 00:00:23,803 --> 00:00:25,565 说话人 说话人_00: 你后悔过什么吗？
8 00:00:30,321 --> 00:00:35,427 说话人 说话人_01: 我们处在一个非常特殊的地方，瑞典皇家科学院的大楼里。
9 00:00:36,530 --> 00:00:45,200 诺贝尔奖每年根据阿尔弗雷德·诺贝尔的遗愿在物理学、化学和经济学领域颁发。
10 00:00:46,081 --> 00:00:53,789 今天的采访对象是人工智能之父、诺贝尔物理学奖获得者杰弗里·辛顿。
11 00:00:54,752 --> 00:00:56,734 他是否后悔自己创造的一切？
12 00:00:57,118 --> 00:01:01,396 欢迎来到这场新闻发布会和瑞典皇家科学院。
13 00:01:02,240 --> 00:01:05,474 主持人 SPEAKER_04：当然，热烈欢迎我们的获奖者。
14 00:01:06,164 --> 00:01:07,546 主持人 SPEAKER_04：我叫汉斯·埃勒格林。
15 00:01:07,585 --> 00:01:09,668 主持人 SPEAKER_04：我是学院的秘书长。
16 00:01:09,870 --> 00:01:11,052 主持人 SPEAKER_04：我宣布新闻发布会开始。
17 00:01:11,992 --> 00:01:13,275 说话人 SPEAKER_04: 谁想先开始？
18 00:01:13,295 --> 00:01:13,635 说话人 SPEAKER_04: 请。
19 00:01:14,656 --> 00:01:17,981 说话人 SPEAKER_06: 我的第一个问题是向杰弗里·辛顿教授。
20 00:01:18,001 --> 00:01:21,487 说话人 SPEAKER_06: 您是人工神经网络的之父。
21 00:01:21,688 --> 00:01:27,257 说话人 SPEAKER_06：当您回顾今天的 AI 发展时，您后悔过什么吗？
22 00:01:28,018 --> 00:01:32,745 说话人 SPEAKER_06：如果您可以回到过去，您会这样做吗？
23 00:01:34,091 --> 00:01:35,274 说话人 SPEAKER_05：有两种后悔。
24 00:01:35,313 --> 00:01:39,739 说话人 SPEAKER_05：一种是当你做了某事，当时你知道你不应该这么做时的内疚后悔。
25 00:01:39,760 --> 00:01:41,402 说话人 SPEAKER_05：我没有那些。
26 00:01:42,022 --> 00:01:44,706 说话人 SPEAKER_05：如果在同样的情况下，我会再次这样做。
27 00:01:45,367 --> 00:01:52,117 说话人 SPEAKER_05：然而，我认为这可能是不幸的，因为我们可能会比我想的更快地获得超级智能。
28 00:01:52,677 --> 00:01:55,021 说话人 SPEAKER_05：我希望我早点考虑安全性。
29 00:01:55,542 --> 00:02:01,450 说话人 SPEAKER_06：我的第二个问题是向杰弗里·辛顿教授和德米斯·哈萨比斯提问，如果达到这个水平，您是否真的相信存在类似超人类的人工智能，或者这只是大科技和大型公司的营销手段？
30 00:02:01,801 --> 00:02:15,205 说话人 SPEAKER_06：您是否真的相信，如果我们达到这个水平，存在类似超人类的人工智能，还是这只是大科技和大型公司的营销手段？
31 00:02:15,225 --> 00:02:18,872 说话人 SPEAKER_05：我认为我和德米斯都相信我们将实现超智能。
32 00:02:18,893 --> 00:02:20,215 说话人 SPEAKER_05：这不是炒作。
33 00:02:20,194 --> 00:02:23,519 说话人 SPEAKER_05：它并不是为了分散人们对 AI 其他问题的关注。
34 00:02:24,020 --> 00:02:25,923 说话人 SPEAKER_05：这是我们长期以来所坚信的。
35 00:02:25,962 --> 00:02:33,491 说话人 SPEAKER_05：现在，我以为它还会远一些，但最近发展的速度意味着我认为它将会很快到来。
36 00:02:34,193 --> 00:02:40,521 说话人 SPEAKER_05：我认为在 5 到 20 年之间，我认为 Demis 认为大约在 10 年后，我们将得到类似超级智能的东西。
37 00:02:40,542 --> 00:02:43,806 说话人 SPEAKER_05：我们必须认真考虑如何保持控制。
38 00:02:43,937 --> 00:02:47,364 说话人 SPEAKER_00：我同意 Hinton 教授刚才所说的。
39 00:02:47,604 --> 00:03:01,268 说话人 SPEAKER_00：实际上，我们早在 2010 年 DeepMind 成立之初，就思考过如果构建这类智能会发生什么。
40 00:03:02,028 --> 00:03:04,073 说话人 SPEAKER_00：当然，我的热情始终是
41 00:03:04,052 --> 00:03:19,108 主持人：构建这些工具来帮助我们进行科学发现，正如我们今天所看到的，我认为我们会从中得到惊人的成果，比如治疗疾病、帮助能源、气候，以及我们人类今天面临的许多重大挑战。
