1 00:00:05,684 --> 00:00:16,539 说话人 说话人_00: 谢谢。
2 00:00:17,039 --> 00:00:30,018 说话人 说话人_00: 很高兴再次回到这里，我也很高兴能与杰弗里·辛顿同台，他是这个领域中最聪明、最可爱、最有能力、最善良的人之一。
3 00:00:30,419 --> 00:00:31,640 说话人 说话人_00: 你好，杰弗里·辛顿？
4 00:00:32,835 --> 00:00:33,396 说话人 说话人_01: 我很好。
5 00:00:33,417 --> 00:00:35,238 说话人 SPEAKER_01: 感谢你那超凡脱俗的介绍。
6 00:00:35,560 --> 00:00:37,101 说话人 SPEAKER_00: 好吧。
7 00:00:37,121 --> 00:00:43,350 说话人 SPEAKER_00: 嗯，杰夫，我想从我们大约一年前的一次简短对话开始。
8 00:00:44,152 --> 00:00:47,036 说话人 SPEAKER_00: 我们当时在多伦多，即将上台。
9 00:00:48,057 --> 00:00:49,820 说话人 说话人_00：我的两个孩子当时和我在一起。
10 00:00:49,920 --> 00:00:51,662 说话人 说话人_00：他们当时分别是14岁和12岁。
11 00:00:52,484 --> 00:00:57,692 说话人 说话人_00：然后你看了那个大的，你说，你会像你父亲一样进入媒体行业吗？
12 00:00:57,712 --> 00:00:59,433 说话人 说话人_00：他回答了。
13 00:00:59,936 --> 00:01:00,216 说话人 说话人_00: 不。
14 00:01:00,957 --> 00:01:02,359 说话人 说话人_00: 你说，好。
15 00:01:02,399 --> 00:01:07,885 说话人 说话人_00: 然后，我说，如果他不去媒体行业，他应该做什么？
16 00:01:08,566 --> 00:01:11,490 说话人 说话人_00: 你说，他应该成为一名水管工。
17 00:01:12,451 --> 00:01:16,816 说话人 SPEAKER_00: 所以那个儿子刚刚申请了学校报纸。
18 00:01:17,358 --> 00:01:24,426 说话人 SPEAKER_00: 我很好奇你是否认为他犯了一个严重的错误，我应该真的下楼去帮他修鸭子。
19 00:01:26,245 --> 00:01:27,968 说话人 SPEAKER_01: 不，我只是在开个玩笑。
20 00:01:28,549 --> 00:01:32,659 说话人 SPEAKER_01: 但我认为管道工这个职业会比大多数职业存在的时间更长。
21 00:01:33,701 --> 00:01:38,432 说话人 SPEAKER_01：我认为目前，在 AI 方面，
22 00:01:38,698 --> 00:01:40,941 说话人 SPEAKER_01：它最不擅长的是物理操作。
23 00:01:41,001 --> 00:01:44,566 说话人 SPEAKER_01：它正在快速进步，但与人类相比，这正是它最不擅长的地方。
24 00:01:45,227 --> 00:01:46,168 说话人 SPEAKER_00：好的，太棒了。
25 00:01:46,408 --> 00:01:52,594 说话人 SPEAKER_00：好吧，我想从 Hinton 博士的背景开始，先把这个基础打好。
26 00:01:53,055 --> 00:01:58,402 说话人 SPEAKER_00：然后我想进入一个环节，我会问他一些最有趣的技术问题，一些我们在舞台上讨论过的问题。
27 00:01:58,783 --> 00:02:04,849 说话人 SPEAKER_00：我们将讨论一点“AI 向善”，然后是“AI 向恶”，接着我们会讨论一下监管框架。
28 00:02:05,049 --> 00:02:05,870 说话人 SPEAKER_00：杰夫，这样可以吗？
29 00:02:06,813 --> 00:02:07,894 说话人 SPEAKER_00: 好的，太棒了。
30 00:02:07,914 --> 00:02:30,745 说话人 SPEAKER_00: 好吧，我想从 40 年前开始讲起，那时你是一个孤独的科学家，你意识到，要制造一台极其强大的计算机，你应该通过模仿人脑的架构来实现这一点，这最终被证明是这个领域最重要的洞察之一，可能是 20 世纪后期的。
31 00:02:31,286 --> 00:02:33,528 说话人 SPEAKER_00: 现在听起来这似乎很显然。
32 00:02:33,508 --> 00:02:34,409 说话人 SPEAKER_00: 但当时并不是这样。
33 00:02:34,430 --> 00:02:38,415 说话人 SPEAKER_00：那么，请告诉我那个真正推动这个领域发展的洞察时刻。
34 00:02:40,218 --> 00:02:44,125 说话人 SPEAKER_01：这是一个美好的神话，但很多人都有这样的想法。
35 00:02:44,585 --> 00:02:49,132 说话人 SPEAKER_01：特别是在 20 世纪 50 年代，冯·诺伊曼和图灵都这么认为。
36 00:02:49,733 --> 00:02:54,419 说话人 SPEAKER_01：他们俩都英年早逝非常不幸，否则我们这个领域的历史可能完全不同。
37 00:02:55,008 --> 00:03:01,334 说话人 SPEAKER_01：但在我看来，如果你想理解智能，你就需要理解我们所知的最高级的智能，那就是我们自己。
38 00:03:02,455 --> 00:03:09,862 说话人 SPEAKER_01：我们的智能并非来自人们编程的大量命题，然后通过逻辑对这些命题进行推理。
39 00:03:10,563 --> 00:03:15,848 说话人 SPEAKER_01：它源自一个主要设计用于视觉和运动控制的头脑。
40 00:03:16,729 --> 00:03:23,597 说话人 SPEAKER_01：显然，随着你的学习，那个头脑中的连接强度会发生变化，我们只需弄清楚这是如何发生的。
41 00:03:24,336 --> 00:03:26,439 说话人 说话人_00: 好吧，这很有道理。
42 00:03:26,460 --> 00:03:27,322 说话人 说话人_00: 你在历史上有根基。
43 00:03:27,342 --> 00:03:28,423 说话人 说话人_00: 现在我们快速进行。
44 00:03:28,824 --> 00:03:29,444 说话人 说话人_00: 你来处理这个。
45 00:03:30,265 --> 00:03:32,169 说话人 SPEAKER_00：人们说你走错了路。
46 00:03:32,468 --> 00:03:33,090 说话人 SPEAKER_00：你继续走下去。
47 00:03:33,450 --> 00:03:34,292 说话人 SPEAKER_00：其他人会加入你。
48 00:03:34,513 --> 00:03:36,354 说话人 SPEAKER_00：最终，你会明白你走的是一条正确的路。
49 00:03:36,435 --> 00:03:37,537 说话人 说话人_00：它不清楚会去哪里。
50 00:03:38,057 --> 00:03:39,139 说话人 说话人_00：你赢得了图灵奖。
51 00:03:39,620 --> 00:03:40,300 说话人 说话人_00：你加入了谷歌。
52 00:03:40,320 --> 00:03:41,483 说话人 说话人_00：你把公司卖给了谷歌。
53 00:03:42,204 --> 00:03:45,990 说话人 说话人_00：你当时，大约一年半以前，
54 00:03:46,156 --> 00:03:47,296 说话人 说话人_00：你离开了谷歌。
55 00:03:47,317 --> 00:03:52,462 说话人 说话人_00：请告诉我你离开的那一幕，那是在 Chat GPT 发布几个月后。
56 00:03:52,962 --> 00:03:56,706 说话人 说话人_00：请告诉我你最后工作的内容以及你离开的那一刻。
57 00:03:58,188 --> 00:03:59,389 说话人 SPEAKER_01：首先，让我先把一些事情说清楚。
58 00:03:59,550 --> 00:04:04,616 说话人 SPEAKER_01：我离开的原因有几个，其中一个原因是我 75 岁了，我决定那时候无论如何都应该退休。
59 00:04:05,377 --> 00:04:14,627 说话人 SPEAKER_01：我离开不仅仅是为了谈论 AI 的危险，这又是另一个原因。
60 00:04:14,606 --> 00:04:22,538 说话人 SPEAKER_01：而且我在 2023 年初，大约在 3 月份，突然意识到 AI 的危险，这是存在的威胁。
61 00:04:23,139 --> 00:04:30,610 说话人 SPEAKER_01：我开始和其他对存在性威胁感到恐惧的人交谈，比如罗杰·格罗斯，他们鼓励我公开表态。
62 00:04:31,190 --> 00:04:34,776 说话人 SPEAKER_01：然后我决定离开谷歌，这样我就可以自由地发言了。
63 00:04:34,755 --> 00:04:45,447 说话人 SPEAKER_01：我感到恐惧的原因是我正在尝试弄清楚如何让模拟计算机在 30 瓦而不是兆瓦的功率下实现大型语言模型。
64 00:04:46,367 --> 00:04:55,055 说话人 SPEAKER_01：在这样做的时候，我确信数字计算有一些东西使得它比大脑做得更好。
直到那时，我花了50年时间思考，如果我们能让它更像大脑，那就更好了。
66 00:05:01,502 --> 00:05:07,076 发言人 SPEAKER_01：我终于在 2023 年初意识到，它拥有大脑永远无法拥有的东西。
因为它是数字的，你可以制作许多相同模型，它们以完全相同的方式工作，并且每个副本可以查看数据集的不同部分。
他们可以得到一个梯度，并且可以将这些梯度结合起来，这使得他们能够学习到更多、更多。
69 00:05:24,473 --> 00:05:27,459 说话人 SPEAKER_01：这就是为什么 GPT-4 能知道比人更多的原因。
70 00:05:28,161 --> 00:05:34,276 说话人 SPEAKER_01：这是在多种不同的硬件上运行的多份不同副本，它们查看了整个互联网。
71 00:05:34,257 --> 00:05:36,259 说话人 SPEAKER_01：这是我们永远无法拥有的。
72 00:05:36,338 --> 00:05:41,365 说话人 SPEAKER_01：所以他们拥有的而我们没有的是，他们可以非常高效地共享。
73 00:05:41,865 --> 00:05:44,007 说话人 SPEAKER_01：我们可以非常低效地分享。
74 00:05:44,367 --> 00:05:45,428 说话人 SPEAKER_01：现在就是这样做的。
75 00:05:46,009 --> 00:05:51,255 说话人 SPEAKER_01：我产生句子，你尝试找出如何改变你大脑中的突触，以便你可能说出那样的话。
76 00:05:51,896 --> 00:05:53,877 说话人 SPEAKER_01：这是一种非常缓慢且低效的分享方式。
77 00:05:54,838 --> 00:06:01,766 说话人 SPEAKER_01：数字智能，如果是同一模型的副本，可以以万亿比特的带宽进行共享。
78 00:06:02,826 --> 00:06:09,413 说话人 SPEAKER_00：所以你有了这个时刻，这个突然的认识，这些系统可以比你想象的强大得多。
79 00:06:09,434 --> 00:06:12,096 说话人 SPEAKER_00：这肯定是一个既令人兴奋又令人激动的时刻。
80 00:06:12,757 --> 00:06:15,259 说话人 SPEAKER_00：那么为什么这种巨大的恐惧也会如此普遍呢？
81 00:06:17,442 --> 00:06:22,706 说话人 SPEAKER_01：嗯，这让我觉得它们会比我想的更快地变得比我们更聪明。
82 00:06:24,189 --> 00:06:27,552 说话人 SPEAKER_01：这也让我觉得它们是更高级的智能形式。
83 00:06:28,762 --> 00:06:32,913 说话人 SPEAKER_00：让我问你关于其他两位人工智能之父的问题。
84 00:06:32,973 --> 00:06:34,978 说话人 SPEAKER_00：所以你和三个人一起获得了图灵奖。
85 00:06:35,418 --> 00:06:39,870 说话人 说话人_00: Meta 人工智能负责人 Yann LeCun，以及 Yoshua Bengio。
86 00:06:40,692 --> 00:06:42,456 说话人 说话人_00: 我试图弄清楚你们之间的区别。
87 00:06:42,475 --> 00:06:43,619 说话人 说话人_00: 让我知道这行不行。
88 00:06:43,639 --> 00:06:45,101 说话人 说话人_00: 你们都是教父。
89 00:06:45,418 --> 00:06:51,709 说话人 SPEAKER_00: 简认为 AI 就像弗雷多·科莱昂，不太能干，容易控制。
90 00:06:52,471 --> 00:06:56,838 说话人 SPEAKER_00: 约书亚可能把它看作桑尼，你知道的，可能相当危险。
91 00:06:57,298 --> 00:07:01,987 说话人 SPEAKER_00: 你把它看作迈克尔·科莱昂，可能极其危险。
92 00:07:02,468 --> 00:07:03,569 说话人 SPEAKER_00: 这样理解对吗？
93 00:07:03,610 --> 00:07:05,333 说话人 SPEAKER_00: 我认为不是这样。
94 00:07:05,353 --> 00:07:08,338 说话人 SPEAKER_00: 我认为约书亚和我对危险的观点非常相似。
95 00:07:08,942 --> 00:07:14,410 说话人 SPEAKER_00: 但你和简的不同之处在于，你将这视为一个比他更强大的系统。
96 00:07:14,709 --> 00:07:17,012 说话人 SPEAKER_00: 正因如此，你比他更担心。
97 00:07:19,937 --> 00:07:21,499 说话人 SPEAKER_01：这是一个区别，是的。
98 00:07:21,978 --> 00:07:23,721 说话人 SPEAKER_01：这是一个主要区别。
99 00:07:23,742 --> 00:07:26,685 说话人 SPEAKER_01：所以我认为它已经很智能了。
100 00:07:27,386 --> 00:07:29,007 说话人 SPEAKER_01：而且 Jan 认为猫更聪明。
101 00:07:29,689 --> 00:07:29,889 说话人 SPEAKER_01: 对。
102 00:07:30,430 --> 00:07:34,274 说话人 SPEAKER_00: 好吧，让我们来探讨一下这个智能问题，我认为这是最有趣的问题之一。
103 00:07:35,233 --> 00:07:42,937 说话人 SPEAKER_00: 你认为人类大脑中有什么是这些机器和人工智能系统无法复制的吗？
104 00:07:43,016 --> 00:07:47,610 说话人 SPEAKER_00: 我们的大脑能做些什么是机器无法复制的吗？
105 00:07:48,694 --> 00:07:48,754 说话人 SPEAKER_01: 不。
106 00:07:50,793 --> 00:07:59,322 说话人 SPEAKER_00: 那这意味着我们无法做到的事情，这些智能机器都能超越吗？
107 00:08:00,182 --> 00:08:07,672 说话人 SPEAKER_00: 比如说，他们最终能够创作出更美的音乐。
108 00:08:08,172 --> 00:08:13,658 说话人 SPEAKER_00: 他们将能够比我们做得更好，涉及简单认知的所有事情。
109 00:08:14,920 --> 00:08:16,040 说话人 SPEAKER_01：这就是我的信念，是的。
110 00:08:17,742 --> 00:08:29,074 说话人 SPEAKER_00：你不认为有什么精神上的或者超出了神经网络所能捕捉的范围的东西吗？
111 00:08:30,617 --> 00:08:35,261 我认为我们所说的“精神”可能被这些外星智能所捕捉。
