1 00:00:00,031 --> 00:00:06,641 说话人 SPEAKER_00: 在 5 到 20 年之内，有很大可能性，有 50%的可能性，我们会得到比我们更聪明的 AI。
2 00:00:11,587 --> 00:00:21,481 说话人 SPEAKER_00: 所以，我在加利福尼亚的一家酒店房间里差不多睡着了，我的手机倒扣在床头柜上，声音已经关掉了。
3 00:00:22,289 --> 00:00:30,022 说话人 SPEAKER_00: 我刚好侧着睡，手机在我的视线范围内，突然亮了起来。
4 00:00:30,042 --> 00:00:37,075 说话人 SPEAKER_00: 我看到这小条亮光，手机开始震动。
5 00:00:37,256 --> 00:00:40,661 说话人 SPEAKER_00：我在加利福尼亚，我认识的人几乎都在东海岸。
6 00:00:41,362 --> 00:00:43,567 说话人 SPEAKER_00：所以我好奇究竟是谁在打电话给我。
7 00:00:44,088 --> 00:00:50,237 说话人 SPEAKER_00：于是我接了电话，然后是一个我认不出区号和国家的长电话号码。
8 00:00:51,039 --> 00:00:53,883 说话人 SPEAKER_00：然后某个地方有瑞典口音的人问我是否是杰弗里·辛顿。
9 00:00:54,204 --> 00:00:56,067 说话人 说话人_00: 然后他告诉我我获得了诺贝尔物理学奖。
10 00:00:56,087 --> 00:00:59,311 说话人 说话人_00: 我的第一个反应是，等等，我不做物理。
11 00:01:00,232 --> 00:01:02,015 说话人 说话人_00: 这可能是个恶作剧。
12 00:01:01,996 --> 00:01:03,338 说话人 说话人_00: 我觉得这很可能是个恶作剧。
13 00:01:04,739 --> 00:01:07,082 说话人 说话人_00: 但他说的听起来非常可信。
14 00:01:07,763 --> 00:01:09,706 说话人 说话人_00: 然后出现了其他的瑞典口音。
15 00:01:11,087 --> 00:01:12,469 说话人 说话人_00: 我确信它是真的。
16 00:01:12,950 --> 00:01:14,453 说话人 说话人_00: 嗯，我有点确信它是真的。
17 00:01:15,274 --> 00:01:19,399 说话人 SPEAKER_00: 但在那之后几天，我觉得自己可能在做梦。
18 00:01:20,140 --> 00:01:22,582 说话人 SPEAKER_00: 因此我进行了一些统计分析。
19 00:01:23,084 --> 00:01:25,287 说话人 SPEAKER_00: 统计分析是这样的。
20 00:01:25,704 --> 00:01:32,293 说话人 SPEAKER_00: 一个真正的心理学家，试图理解大脑如何工作的人，获得诺贝尔物理学奖的概率有多大？
21 00:01:33,114 --> 00:01:35,058 说话人 SPEAKER_00: 好吧，让我们说，概率是两百万分之一。
22 00:01:35,659 --> 00:01:37,641 说话人 SPEAKER_00: 这是对概率的一个相当宽泛的估计。
23 00:01:39,784 --> 00:01:44,391 说话人 SPEAKER_00: 如果是我的梦想，我获得诺贝尔物理学奖的概率是多少？
24 00:01:45,212 --> 00:01:46,594 说话人 SPEAKER_00: 好吧，让我们说，概率是二分之一。
25 00:01:47,977 --> 00:01:54,665 说话人 SPEAKER_00：现在你更可能是在做梦，而不是在现实中。
